id,date,estimatedTotalAmt,transType,title,awardeeName
1501900,2014-11-18,194620,Continuing Grant,"CAREER: Sparse-sampling inference for functional proteomics, metabolomics and ionomics",Northeastern University
1505253,2014-11-18,382362,Standard Grant,ABI Innovation: Compressed Single-Cell Sequencing of Bacterial Communities,Colorado State University
1509575,2014-12-02,200000,Standard Grant,RAPID Ebola outbreak: A Web Tool for Tracking Pathogen Evolution Impact on Immune Responses,University of California-San Diego
1515704,2015-01-15,758418,Continuing Grant,"ABI Innovation: Beyond dN/dS: Population Genetics, Genome Structure, and Protein Structure",Temple University
1520781,2015-01-20,255934,Standard Grant,Collaborative research:  ABI Development:  Making Advanced Statistical Tools Accessible for Quantitative Research Synthesis and Discovery in Ecology and Evolutionary Biology,University of Texas at Austin
1351502,2015-01-22,450000,Continuing Grant,CSBR: Living Stocks: San Diego Drosophila Species Stock Center,University of California-San Diego
1460735,2015-02-05,359999,Standard Grant,REU Site: Molecular Biosciences at the University of Oregon,University of Oregon Eugene
1451127,2015-02-10,380726,Continuing Grant,IDBR TYPE A: Optofluidic laser array based ultrasensitive ELISA instrument with a large dynamic range,Regents of the University of Michigan - Ann Arbor
1459519,2015-02-10,776713,Continuing Grant,REU Site: A forest full of Big Data: the Harvard Forest Summer Research Program in Ecology 2015-2019,Harvard University
1452622,2015-02-11,876075,Continuing Grant,CAREER: Next-generation inference of evolutionary paramaters from genome-wide sequence data,Brown University
1460671,2015-02-11,314119,Standard Grant,REU Site: Research in Prokaryotic Biology,University of Georgia Research Foundation Inc
1521928,2015-02-12,16000,Standard Grant,From the Field to the Folder: Workshop on Herbarium Specimen Curation and Best Practices,University of Georgia Research Foundation Inc
1349350,2015-02-25,450000,Continuing Grant,CSBR: Living Stocks: Provasoli-Guillard National Center for Marine Algae and Microbiota,Bigelow Laboratory for Ocean Sciences
1461057,2015-02-26,262768,Continuing Grant,New REU Site: Landscape Ecology and Ecosystem Dynamics: Integrating Terrestrial and Aquatic Perspectives,Washington State University
1460507,2015-03-09,316925,Standard Grant,REU Site: Program in Molecular Biosciences,Colorado State University
1457541,2015-03-17,499901,Continuing Grant,RCN: Enabling comparative studies of the process and products of sexual selection in a genomic context,University of Florida
1523330,2015-03-18,9000,Standard Grant,iDigBio/SERNEC Herbarium Workflows Workshop,Appalachian State University
