id,date,estimatedTotalAmt,transType,title,awardeeName
1464471,2014-10-21,124730,Standard Grant,CAREER:   Polyploid speciation in the Achillea millefolium aggregate,Black Hills State University
1464389,2014-10-29,316711,Continuing Grant,LTREB Renewal:  Long-Term Studies of Seedling and Small Sapling Community Dynamics in a Neotropical Forest,Yale University
1440297,2014-10-31,6921208,Continuing Grant,LTER: Comparative Study of a Suite of Lakes in Wisconsin,University of Wisconsin-Madison
1440409,2014-10-31,6762000,Continuing Grant,Long-Term Ecological Research at the H.J. Andrews Experimental Forest (LTER7),Oregon State University
1440484,2014-10-31,6762000,Continuing Grant,LTER: Long-Term Research on Grassland Dynamics- Assessing Mechanisms of Sensitivity and Resilience to Global Change,Kansas State University
1464866,2014-10-31,375582,Standard Grant,Collaborative Research: Intraspecific variation in drought responses of tropical tree seedlings - consequences for species distributions under climate change,Yale University
1514671,2014-12-03,200000,Standard Grant,RAPID Proposal: Ebola virus stability in the environment - Implications for outbreak control,University of Wisconsin-Madison
1514673,2014-12-03,199890,Standard Grant,RAPID: Optimal allocation of both non-pharmaceutical and pharmaceutical interventions toward controlling Ebola virus transmission in West Africa,Yale University
1514704,2014-12-03,200000,Standard Grant,RAPID: Value of Information and Structured Decision-Making for Management of Ebola,Pennsylvania State Univ University Park
1516428,2014-12-04,199162,Standard Grant,RAPID: Designing Ebola Interventions for Large Urban Areas through Agent-Based Modeling and Network Analysis,University of Chicago
1516615,2014-12-15,192577,Standard Grant,RAPID: Creating and Analyzing Hybrid Multiscale Models for Forecasting and Mitigating an Outbreak of the Ebola Virus Disease,Tulane University
1521049,2014-12-16,72165,Standard Grant,RAPID: Tackling Critical Issues in the Ebola Epidemic through Modeling: Viral Evolution,Regents of the University of Idaho
1503804,2015-01-13,329369,Standard Grant,Collaborative Research: Southern Amazonian birds and their symbionts: Biodiversity and endemicity of parasites from the most diverse avifauna on Earth,Academy of Natural Sciences Philadelphia
1440485,2015-01-20,2560000,Continuing Grant,LTER: The Interacting Effects of Hydroclimate Variability and Human Landscape Modification in the Southern Appalachian Mountains,University of Georgia Research Foundation Inc
1500774,2015-01-20,47608,Standard Grant,Connecting New Systematic Biologists Across Borders: A Workshop in Model-Based Phylogenetics at Evolution 2015,University of Colorado at Boulder
1518534,2015-01-20,152232,Standard Grant,Collaborative Research: A Field-experimental Test for Evolutionary Trait-mediated Indirect Effects in Food Webs,University of Missouri-Columbia
1519383,2015-01-28,36001,Standard Grant,"Meeting Proposal: Microbiomes for Sustainable Agriculture; Asilomar, CA - Summer, 2015",Regents of the University of Idaho
1453473,2015-02-03,817000,Continuing Grant,CAREER: The genetics underlying adaptive diversification of mimicry patterns in bumble bees,Pennsylvania State Univ University Park
1457835,2015-02-05,149998,Standard Grant,SG: Exploring the Impact of Model (Mis) Specification on Empirical Divergence-Time Estimates,University of California-Davis
1501355,2015-02-05,21125,Standard Grant,DISSERTATION RESEARCH: Quantitative test of evolutionary bet-hedging theory in a mirobial model system,Brown University
1501788,2015-02-05,19571,Standard Grant,DISSERTATION RESEARCH: The fitness landscape of a yeast tRNA gene,Regents of the University of Michigan - Ann Arbor
1501803,2015-02-05,19353,Standard Grant,Dissertation Research: The evolutionary significance of autopolyploidy in Tolmiea (Saxifragaceae),University of Florida
1457758,2015-02-10,711000,Continuing Grant,Constraints on the evolution of chromosome dosage compensation: a test in butterflies and moths,University of Kansas Center for Research Inc
1453157,2015-02-24,817595,Continuing Grant,CAREER: Understanding sociality and symbiosis through the eye of non-Neoisopteran termites using molecular and morphological data,Rutgers University Newark
1457300,2015-02-24,487536,Continuing Grant,Collaborative Research: Phylogeny and diversification of the orb weaving spiders (Araneae),George Washington University
1457463,2015-02-24,670562,Standard Grant,Parallel Evolution of a Gene Family in Two Vertebrate Radiations,Virginia Polytechnic Institute and State University
1457539,2015-02-24,489857,Continuing Grant,Collaborative Research: Phylogeny and diversification of the orb weaving spiders (Araneae),Harvard University
1453452,2015-02-26,697770,Continuing Grant,"CAREER: Teaching Modern Biodiversity Science from Fieldwork to Phylogeny: Diversity, Systematics, & Evolution of Ecologically Promiscuous Aquatic Beetles",University of Kansas Center for Research Inc
1455506,2015-02-26,208416,Standard Grant,OPUS: Geographical gradients and contemporary end points of organic evolution,University of Oregon Eugene
1501693,2015-02-26,20648,Standard Grant,DISSERTATION RESEARCH: Assessing adaptative capacity in response to climate change: terrestrial salamanders in an urban heat island mesocosm,Duke University
1457351,2015-03-02,242046,Standard Grant,Collaborative Research: ARTS: Taxonomy and phylogeny of Capsicum and Lycianthes (Solanaceae),University of California-Davis
1457366,2015-03-02,649822,Standard Grant,Collaborative Research: ARTS: Taxonomy and phylogeny of Capsicum and Lycianthes (Solanaceae),University of Utah
1442456,2015-03-06,747119,Standard Grant,Collaborative Research: Blending Ecology and Evolution using Emerging Technologies to Determine Species Distributions with a Non-native Pathogen in a Changing Climate,Oregon State University
1442486,2015-03-06,528066,Standard Grant,Collaborative Research: Blending Ecology and Evolution using Emerging Technologies to Determine Species Distributions with a Non-native Pathogen in a Changing Climate,Virginia Commonwealth University
1442597,2015-03-06,2824102,Standard Grant,Collaborative Research: Blending Ecology and Evolution using Emerging Technologies to Determine Species Distributions with a Non-native Pathogen in a Changing Climate,Northern Arizona University
1453041,2015-03-06,450000,Standard Grant,"LTREB: Instability, contingency, and global change in a terrestrial food chain",Michigan Technological University
1453089,2015-03-06,900000,Continuing Grant,"CAREER: Two phenotypes, one genome: genomic conflict as a research framework for professional development of science educators",University of Virginia Main Campus
1455611,2015-03-06,494487,Standard Grant,Discovery and analysis of Aphelidea and Rozella species of the Cryptomycota phylum,University of Alabama Tuscaloosa
1456225,2015-03-06,449995,Standard Grant,LTREB Renewal: Climatic drivers of temporal and spatial dynamics of a focal herbivore,University of California-Davis
1457694,2015-03-06,489925,Standard Grant,COLLABORATIVE RESEARCH: Evolution of virulence in a host-pathogen system,New Mexico Institute of Mining and Technology
1457730,2015-03-06,176195,Standard Grant,COLLABORATIVE RESEARCH: Evolution of virulence in a host-pathogen system,Tulane University
1457762,2015-03-06,395925,Standard Grant,Collaborative Research: Developing novel methods for estimating coevolutionary processes using tapeworms and their shark and ray hosts,University of Connecticut
1457763,2015-03-06,714997,Standard Grant,"Divergence of novel, parallel, and speciation traits: the mechanisms and consequences of yellow monkeyflower adaptation to extreme geothermal habitats",University of Montana
1457776,2015-03-06,317648,Standard Grant,Collaborative Research: Developing novel methods for estimating coevolutionary processes using tapeworms and their shark and ray hosts,University of Kansas Center for Research Inc
1501867,2015-03-06,17060,Standard Grant,DISSERTATION RESEARCH: Evolutionary Trends Within the Polemoniaceae (Ericales),University of Wisconsin-Madison
1456375,2015-03-10,549999,Standard Grant,Collaborative Research: Chance or necessity? Adaptive vs. non adaptive evolution in plant-frugivore interactions,University of Washington
1456455,2015-03-10,246000,Standard Grant,Collaborative Research: Chance or necessity? Adaptive vs. non adaptive evolution in plant-frugivore interactions,SUNY at Stony Brook
1457800,2015-03-10,721094,Continuing Grant,Disentangling the roles of mutation and selection in the evolution of host-repression of transposable elements,University of Houston
1456615,2015-03-11,189286,Standard Grant,OPUS: ECOLOGICAL AND EVOLUTIONARY PERSPECTIVES ON THE ORIGINS OF COMMUNITY DIVERSITY,Michigan State University
1457227,2015-03-11,450000,Standard Grant,"LTREB Renewal: Multiscale effects of climate variability and change on hydrologic regimes, ecosystem function, and community structure in a desert stream and its catchment",Arizona State University
1457630,2015-03-11,519343,Standard Grant,The genetic consequences of phenotypic loss: Transcriptomic and genome-wide analyses of pigmentation regression in cavefish.,University of Cincinnati Main Campus
1457815,2015-03-11,615534,Standard Grant,A Mechanistic framework for elucidating temperature effects on population and community dynamics,University of California-Los Angeles
1501215,2015-03-11,19362,Standard Grant,DISSERTATION RESEARCH: Evolution of hyperaccumulation in wild Helianthus: a phylogenetically explicit assessment of evolutionary history and adaptive hypotheses,University of Georgia Research Foundation Inc
1501304,2015-03-11,19663,Standard Grant,"DISSERTATION RESEARCH: Form, function, and modularity in the modern bat skull: understanding the evolution of phenotypic complexity",Regents of the University of Michigan - Ann Arbor
1501326,2015-03-11,18850,Standard Grant,DISSERTATION RESEARCH: Evolution and domestication genetics of the mango,Florida International University
1502017,2015-03-11,17427,Standard Grant,DISSERTATION RESEARCH: Historical Changes in Food Web Structure of Large Rivers,University of Kansas Center for Research Inc
1523605,2015-03-11,581629,Continuing Grant,"ARTS:   Systematics of the darkling beetle genus Eleodes: Integrating morphology, DNA, and biodiversity informatics to resolve a taxonomically impeded genus",Northern Arizona University
