id,date,estimatedTotalAmt,transType,title,awardeeName
1444353,2014-12-03,299878,Standard Grant,EAGER: Developing and Integrating Advanced NEON AOP Data Products in the Yellowstone Ecosystem,University of Montana
1505946,2014-12-11,1000000,Standard Grant,2014 Waterman Award,"Broad Institute, Inc."
1442417,2014-12-15,291159,Standard Grant,Multi-scale Dynamics of White-nose Syndrome in North America,University of Georgia Research Foundation Inc
1455894,2015-04-03,149963,Standard Grant,SG: Continental and Century Scale Assessment of Forest Nitrogen Cycling in the United States Using Dendroisotopes,Kansas State University
1546749,2015-06-11,196614,Standard Grant,NSF Ideas Lab - Cracking the Olfactory Code,William Marsh Rice University
1515349,2015-07-14,250000,Standard Grant,Evolution of Function of Bacterial PecS Family Transcription Factors,Louisiana State University
1550907,2015-07-23,29998,Standard Grant,"Collaborative Research EAGER-NEON: Probabilistic Forecasting of Biodiversity Response to Intensifying Drought by Combining NEON, National Climate, Species, and Trait Data Bases",North Carolina State University
1550911,2015-07-23,266279,Standard Grant,"Collaborative Research EAGER-NEON: Probabilistic Forecasting of Biodiversity Response to Intensifying Drought by Combining NEON, National Climate, Species, and Trait Data Bases",Duke University
1550641,2015-07-29,113719,Standard Grant,COLLABORATIVE RESEARCH: EAGER-NEON: Prototyping Assessment of Ecoclimate Teleconnections Affecting NEON Domains,University of Washington
1550765,2015-07-29,134550,Standard Grant,Collaborative Research: EAGER-NEON: Using Intraspecific Trait Variation to Understand Processes Structuring Continental-scale Biodiversity Patterns,Michigan State University
1550628,2015-08-03,167148,Standard Grant,Collaborative Research: EAGER-NEON: NEON Sites as a Platform for Transformative Wildlife Research,"Ichauway, Inc."
1550639,2015-08-03,59952,Standard Grant,Collaborative Research: EAGER-NEON: Is Canopy Structural Complexity a Global Predictor of Primary Production?: Using NEON to Transform Understanding of Forest Structure-function,Purdue University
1550640,2015-08-03,215604,Standard Grant,COLLABORATIVE RESEARCH: EAGER-NEON: How do Microscale Biophysical Processes Mediate Ecosystem Shifts during Climate Change-driven Drought?,Arizona State University
1550650,2015-08-03,59941,Standard Grant,Collaborative Research: EAGER-NEON: Is Canopy Structural Complexity a Global Predictor of Primary Production?: Using NEON to Transform Understanding of Forest Structure-function,Morton Arboretum
1550653,2015-08-03,63513,Standard Grant,COLLABORATIVE RESEARCH: EAGER-NEON: How do Microscale Biophysical Processes Mediate Ecosystem Shifts during Climate Change-driven Drought?,University of California-Santa Barbara
1550657,2015-08-03,180047,Standard Grant,Collaborative Research: EAGER-NEON: Is Canopy Structural Complexity a Global Predictor of Primary Production?: Using NEON to Transform Understanding of Forest Structure-function,Virginia Commonwealth University
1550852,2015-08-03,173451,Standard Grant,EAGER-NEON: Collaborative Research: Formation of a NEON Microbial Metagenomics Data Synthesis Working Group,University of Chicago
1555458,2015-08-03,234622,Standard Grant,EAGER:  Collaborative Research:   Evaluating  Identifier Services for the Life Cycle of Biological Data,University of Texas at Austin
1548416,2015-08-04,1040325,Interagency Agreement,US Participation in the Global Diversity Information Facility (GBIF),SMITHSONIAN INSTITUTION
1550171,2015-08-05,25000,Standard Grant,"Workshop: The Past, Present, and Future of NSF's Macrosystems Biology Program, August 5-6, 2015, Arlington, Virginia",University of Notre Dame
1550853,2015-08-07,144001,Standard Grant,EAGER-NEON: Image-Based Ecological Information System (IBEIS) for Animal Sighting Data for NEON,University of Illinois at Chicago
1550880,2015-08-07,105999,Standard Grant,EAGER-NEON: Image-Based Ecological Information System (IBEIS) for Animal Sighting Data for NEON,Rensselaer Polytechnic Institute
1550881,2015-08-07,50000,Standard Grant,EAGER-NEON: Image-Based Ecological Information System (IBEIS) for Animal Sighting Data for NEON,Princeton University
1550582,2015-08-10,95132,Standard Grant,"Workshop-NEON: Integrating NEON ANPP Data with Existing Long-term and Spatially Extensive Data Sets - Providing Context and Testing Theory; 3 Meetings; Fort Collins, Co; 2016-2017",Colorado State University
1550814,2015-08-18,99958,Standard Grant,"Workshop-NEON: Integrated Carbon and Water for Ecological and Biogeochemical Synthesis (ICWEBS); Wind River Experimen. Forest, WA; Sept. 2016; Boulder, CO; March, 2017; AGU-2017",Oregon State University
1555491,2015-08-18,49986,Standard Grant,"Meeting: Identifying, understanding, and overcoming technical issues in identifier systems, Oracle, Arizona, winter 2015-16",University of Arizona
1442501,2015-09-09,366664,Standard Grant,COLLABORATIVE RESEARCH: Defining Stream Biomes to Better Understand and Forecast Stream Ecosystem Change,University of Wyoming
