id,date,estimatedTotalAmt,transType,title,awardeeName
1456560,2014-11-04,132693,Continuing Grant,Neural Circuits for the Executive Control of Action,American University
1502141,2014-11-05,300000,Standard Grant,EAGER: Improvement of Ammonia and Nitrogen Dioxide Uptake and Utilization in Crops,Purdue University
1461868,2014-11-06,1122494,Continuing Grant,"Combining Genomics, Remote Sensing, and Geospatial Modeling to Understand Adaptation to Growing Season Length in Balsam Poplar",University of Vermont & State Agricultural College
1463720,2014-11-18,221524,Continuing Grant,"Replicated Ecological Speciation in Extreme Habitats: Patterns, Mechanisms, and Consequences of Multi-Trait Divergence",Kansas State University
1340112,2014-11-19,4044134,Continuing Grant,cROP:   Common Reference Ontologies and Applications for Plant Biology,Oregon State University
1505247,2014-11-19,683365,Continuing Grant,CAREER: The physiology and genetics of adaptation in a complex environment,University of Nebraska-Lincoln
1516648,2014-11-20,41490,Standard Grant,"Interagency BRAIN Intitiave Awardees Meeting in Bethesda, MD, November 20-21, 2014",University of Texas at San Antonio
1503250,2014-11-21,197450,Continuing Grant,Collaborative Research: Elucidating the interactive effects of sensory response and signal function on the evolution of signal diversity,University of Missouri-Columbia
1339211,2014-12-03,1556406,Continuing Grant,Elucidating the Gene Networks Controlling Branch Angle and the Directional Growth of Lateral Meristems in Trees,Cornell University
1444974,2014-12-08,1299497,Standard Grant,Genomics of Host-Microbiome Interactions in Rice,University of California-Davis
1457000,2014-12-08,403714,Standard Grant,IOS: Acclimation to Hypoxia in Deer Mice,University of California-Riverside
1502804,2014-12-11,17513,Standard Grant,COLLABORATIVE RESEARCH:  Natural Selection on Growth and Locomotor Development in Eastern Cottontail Rabbits (Sylvilagus floridanus),Kent State University
1440117,2014-12-23,16450,Standard Grant,"Symposium & Workshop: Thinking about change: an integrative approach for examining cognition in a changing world, SICB Annual Meeting, West Palm Beach, Florida, January 3-7, 2015",Franklin and Marshall College
1507854,2014-12-23,9900,Standard Grant,"Breaking Boundaries for Evolutionary Synthesis: An Interactive and Integrative Symposium Linking Crustacean and Insect Physiology- West Palm Beach, Florida; January, 2015",Society for Integrative and Comparative Biology
1450842,2015-01-15,150954,Continuing Grant,Collaborative Research: Iodine-enhanced micro-CT Imaging:  Repeated Measures Design to Improve Visualization of Vertebrate Soft-tissue Anatomy,SUNY at Stony Brook
1450850,2015-01-15,148040,Continuing Grant,Collaborative Research: Iodine-enhanced micro-CT Imaging:  Repeated Measures Design to Improve Visualization of Vertebrate Soft-tissue Anatomy,Oklahoma State University Center for Health Sciences
1339246,2015-01-20,1814628,Standard Grant,Comparative Functional Genomics of Nectaries and Nectar in the Dicots,University of Minnesota-Twin Cities
1515023,2015-01-20,43656,Standard Grant,"CONFERENCE: 57th Annual Maize Genetics Conference to be held March 12-15, 2015, at the Pheasant Run Resort in St. Charles, Illinois",University of Florida
1456658,2015-01-21,719999,Continuing Grant,The role of the FEI Pathway in Regulating Cell Wall Synthesis,University of North Carolina at Chapel Hill
1455185,2015-01-22,385043,Standard Grant,"Collaborative Proposal: Cellular and Molecular Dissection of ""Organizing Activity"" during Development in the Spiralia",Iowa State University
1457102,2015-01-22,600418,Continuing Grant,"Collaborative Proposal: Cellular and Molecular Dissection of ""Organizing Activity"" during Development in the Spiralia",University of Florida
1464919,2015-01-28,9942,Standard Grant,"2015 Plant Lipids GRC & GRS Conference; Galveston, TX - February 1-6, 2015",Gordon Research Conferences
1456959,2015-02-10,454358,Continuing Grant,IEP: Deconstructing bacterial community biomass stoichiometry one cell at a time,Colorado State University
1457183,2015-02-10,647525,Standard Grant,Integrating Photoassimilate Source to Sink Transport in Legumes to Enhance Seed Development and Nutrition,Washington State University
1522491,2015-02-10,42147,Continuing Grant,CAREER:  Social and coevolutionary feedbacks between mating and parental investment: Insights from theory and data,University of California-Santa Cruz
1444585,2015-02-11,411417,Standard Grant,ABR-PG: The Use of Pentaploid Surrogates for Assembly and Anchoring of Octoploid Strawberry Genomes,University of New Hampshire
1444832,2015-02-11,499792,Standard Grant,RCN: Plant Nitrogen Network (PlaNNet);Coordinating Research on Plant Nitrogen for Sustainable and Productive Agriculture,"Noble Research Institute, LLC"
1457369,2015-02-12,412795,Continuing Grant,"The impact of symbiotic nitrogen fixation on plant defense, herbivores and higher trophic levels",Portland State University
1456290,2015-02-26,650000,Continuing Grant,Integrating Iron Sensing and Iron Deficiency Signaling in Plants,Dartmouth College
1456682,2015-02-26,308321,Standard Grant,Collaborative Research: Physiology of Long Distance Assimilate Transport,Washington State University
1456845,2015-02-26,336696,Standard Grant,Collaborative Research: Physiology of Long Distance Assimilate Transport,Harvard University
