id,date,estimatedTotalAmt,transType,title,awardeeName
1453219,2014-11-04,700000,Continuing Grant,CAREER: A Systems Approach to Study Horizontal Acquisition of Regulatory DNA,Columbia University
1453863,2014-11-21,1070573,Continuing Grant,CAREER: Relative perception: from organisms to cells to molecules,California Institute of Technology
1453147,2014-12-03,605542,Continuing Grant,CAREER: Synthetic Regulatory Systems for Dynamic Metabolic Pathways,Washington University
1509821,2014-12-03,199919,Standard Grant,RAPID:  Novel Bioreactor-Based Systems for Producing Anti-Ebola Monoclonal Antibodies  in Nicotiana benthamiana Plant Cell Suspension Culture,University of California-Davis
1513330,2014-12-03,197223,Standard Grant,RAPID: Host molecular responses after Ebola virus infection,Institute for Systems Biology
1453459,2014-12-04,1800225,Continuing Grant,CAREER: Regulation and Function of Imprinted Gene Expression in Seeds,Whitehead Institute for Biomedical Research
1518528,2014-12-15,199966,Standard Grant,Prevalence of Immune Response for Ebola in the Endemic Populations,Arizona State University
1515890,2014-12-16,102549,Standard Grant,RAPID: The membrane-bound structure of fusion loops of the Ebola virus envelope glycoprotein,CUNY City College
1516686,2014-12-16,200000,Standard Grant,"RAPID: Ebola virus population structure, genetic diversity and evolution",University of California-San Francisco
1453579,2014-12-17,651119,Continuing Grant,CAREER:Determine the mechanical properties of molecular motors in vesicle transports,Wayne State University
1461310,2015-01-15,7200,Standard Grant,"Conference: Keystone Symposia on ""RNA Silencing in Plants"" to be held in Keystone, CO from February 17-22, 2015",Keystone Symposia on Molecular and Cellular Biology
1451839,2015-01-20,830673,Continuing Grant,CAREER: Targeted genome elimination by a selfish B chromosome in the jewel wasp Nasonia vitripennis,Claremont McKenna College
1452441,2015-01-20,750000,Continuing Grant,CAREER: Uncovering Quantitative Design Principles of RNA Regulators For Synthetic Biology,Cornell University
1452902,2015-01-20,600000,Continuing Grant,CAREER: Harnessing Endogenous Defense Systems as Genetic Tools for Microbial Communities,North Carolina State University
1505848,2015-01-21,363411,Continuing Grant,Division Plane Orientation in Plant Cells,University of California-Riverside
1520903,2015-01-22,5000,Standard Grant,"Conference: Evolution of Plant Phenotypes, from Genomes to Traits to be held in Barcelona, Spain on March 17-18, 2015",Iowa State University
1408217,2015-01-28,1000000,Continuing Grant,Icosahedral virion assembly and function,University of Arizona
