id,date,estimatedTotalAmt,transType,title,awardeeName
1461698,2014-11-05,114452,Standard Grant,SHF: Small: Collaborative Research: STEMS: STatistic Emerging Memory Simulator,University of California-Santa Barbara
1457664,2014-11-12,10000,Standard Grant,GENSIPS 2014: Workshop on Genomic Signal Processing and Statistics,Georgia Tech Research Corporation
1500848,2014-11-14,896428,Standard Grant,SHF: Medium: ASKS - Architecture Support for darK Silicon,University of California-Santa Barbara
1506901,2014-11-25,12000,Standard Grant,The Nineteenth International Conference on Research in Computational Molecular Biology (RECOMB 2015),Massachusetts Institute of Technology
1515943,2014-11-25,19992,Standard Grant,Student Travel Support for VMCAI 2015,Yale University
1507998,2014-12-01,200000,Standard Grant,RAPID: Methods for Estimating Genetic Diversity of the Ebola Virus,University of Texas at Austin
1513520,2014-12-04,15000,Standard Grant,Student Travel Support for the 2014 Career Workshop for Women and Minorities in Computer Architecture (CWWMCA),Arizona State University
1506586,2014-12-10,464609,Continuing Grant,SHF: Medium: Collaborative: Transfer Learning in Software Engineering,North Carolina State University
1514189,2015-01-09,238925,Continuing Grant,CAREER: Combating Performance Bugs in Software Systems,University of Chicago
1461021,2015-01-12,359793,Standard Grant,REU Site: REUMass: A Summer Computing Research Experience in Data Science,University of Massachusetts Amherst
1461065,2015-01-14,359991,Standard Grant,REU Site: Secure Software Testing for Web and Mobile Applications: Research Experience for Undergraduates,University of North Texas
1522705,2015-01-14,10000,Standard Grant,Travel and Registration Support for Computer Aided Verification 2015,Carnegie Mellon University
1453086,2015-01-15,545000,Continuing Grant,"CAREER: Semantics, Abstractions, and Tools for a Pragmatic Verified LLVM Compiler",Rutgers University New Brunswick
1453142,2015-01-15,461025,Continuing Grant,CAREER: Addressing Deepening Variability Challenges for Next-Generation Margin-Free VLSI Computing Platform Design,Columbia University
1453796,2015-01-15,508092,Continuing Grant,CAREER: Verified Compilers for a Multi-Language World,Northeastern University
