id,date,estimatedTotalAmt,transType,title,awardeeName
1464092,2014-10-16,134706,Standard Grant,NeTS: Small: Collaborative Research: Distributed Robust Spectrum Sensing and Sharing in Cognitive Radio Networks,Florida State University
1464487,2014-10-20,225139,Standard Grant,EARS: Collaborative Research: Intelligence Measure of Cognitive Radio Networks,George Mason University
1462142,2014-10-21,240272,Standard Grant,CI-ADDO-NEW: Collaborative Research: A Repository for Annotating Multilingual Code Switched Data,University of Houston
1503590,2014-10-21,367806,Standard Grant,CSR: Small: Energy-Shared Computing in Sustainable Sensor Networks,University of Maryland Baltimore County
1505175,2014-10-29,120927,Continuing Grant,CSR: Medium: Collaborative Research: Guardian Angel---Enabling Mobile Safety Systems,Florida State University
1459803,2014-10-30,25000,Standard Grant,Student Travel Support for the Eleventh Symposium on Operating Systems Design and Implementation (OSDI 2014),University of Washington
1464801,2014-10-30,226791,Continuing Grant,CAREER: Bridging the Semantic Gap in Virtualization-based Security Solutions via Collaboration between Guest OS and Virtual Machine,University of Florida
1505790,2014-10-30,225000,Standard Grant,TWC SBE: TTP Option: Medium: Collaborative: EPICA: Empowering People to Overcome Information Controls and Attacks,University of Illinois at Urbana-Champaign
1502462,2014-11-04,872122,Standard Grant,CS 10K: Leading the Way to CS10K: Assessing a Just-in-Time Professional Development Approach for Teacher Knowledge Growth in Computer Science,Michigan State University
1503609,2014-11-06,300000,Standard Grant,NeTS: Small: Towards Real-Time Video Streaming in the Internet of Underwater Things,Northeastern University
1502258,2014-11-12,10000,Standard Grant,The Ninth ACM International Conference on Underwater Networks & Systems (WUWNet'14) - Student Travel Awards,The University of Central Florida Board of Trustees
1513697,2014-11-18,227482,Standard Grant,EARS: Collaborative Research: Laying the Foundations of Social Network-Aware Cellular Device-to-Device Communications,Virginia Polytechnic Institute and State University
1445770,2014-11-24,162122,Continuing Grant,Closed-Loop Formal Verification of ICDs Using Cardiac Electrophysiological Models,SUNY at Stony Brook
1503080,2014-12-02,19356,Standard Grant,RAPID: Extraction of Robot Use Cases for the Ebola Epidemic,Texas A&M Engineering Experiment Station
1503654,2014-12-02,43130,Standard Grant,"Transitioning Funded Research Outcomes to Practice: Barriers, Opportunities, and Challenges",University of South Alabama
1519576,2014-12-04,67347,Standard Grant,CSR: Small: Collaborative Research:  Transparent and Energy-Efficient Speculation on NUMA Architectures for Embedded Multiprocessor Systems,Trustees of Boston University
1515845,2014-12-09,10000,Standard Grant,CSR: Student Travel Support for SIGMETRICS 2015,Michigan State University
1513141,2014-12-11,50000,Standard Grant,NSF Workshop on Wireless Security,Arizona State University
1505091,2014-12-16,9800,Standard Grant,Student Travel Support for ACM HotMobile 2015,Dartmouth College
1522546,2014-12-16,250000,Standard Grant,"NeTS: Small: Collaborative Research: Software Defined Network Function Virtualization (SDNFV) - Flexible, High Performance Network and Data Center Virtualization",University of California-Riverside
1460971,2015-01-07,342525,Standard Grant,REU Site: Enhancing Undergraduate Experience in Mobile Cloud Computing,Temple University
1458928,2015-01-12,359367,Standard Grant,REU Site: An REU Site on Ubiquitous Sensing,University of South Florida
1461119,2015-01-12,355922,Standard Grant,REU Site: Security of Smart Things: From Small Devices to Large Infrastructures,Florida International University
