id,date,estimatedTotalAmt,transType,title,awardeeName
1464553,2014-10-29,470000,Continuing Grant,RI: Small: Language Induction meets Language Documentation: Leveraging bilingual aligned audio for learning and preserving languages,University of Notre Dame
1501386,2014-10-29,30596,Standard Grant,FORCE 11 Travel,University of California-San Diego
1506786,2014-11-13,59964,Continuing Grant,"HCC: Medium: Collaborative Research: Generating Accurate, Understandable Sign Language Animations Based on Analysis of Human Signing",Rochester Institute of Tech
1452078,2014-11-17,17610,Standard Grant,The 20th SIGART/AAAI Doctoral Consortium,Association for the Advancement of Artificial Intelligence
1509782,2014-11-24,200000,Standard Grant,RAPID: Realization of a Medical Cyber-Physical System to Enhance Safety of Ebola Workers,Worcester Polytechnic Institute
1513369,2014-11-26,99965,Standard Grant,RAPID: SCH: A Framework for Epidemic Contact Tracing Using Multi-contextual Information,University of North Texas
1513639,2014-11-26,137209,Standard Grant,RAPID: SCH: Effectiveness of contact tracing for detection of Ebola risk during early introduction of the virus within the USA,Kansas State University
1513221,2014-12-02,73025,Standard Grant,RAPID: Tele-Nursing Robots for Remote Treatment of Ebola Patients,Duke University
1513324,2014-12-02,188730,Standard Grant,RAPID: III: Data Collection and Risk Evaluation Learning in Identifying High Risk Ebola Subpopulations for the Intervention and Prevention of Large-scale Ebola Virus Spreading,University of Kansas Center for Research Inc
1514390,2014-12-02,119834,Standard Grant,RAPID:  Computational Methods for Quantifying Regional Ebola-Specific Resource Coverage,University of North Texas
1514649,2014-12-02,75243,Standard Grant,RAPID: Robot-assisted Doffing of Personal Protective Equipment,Worcester Polytechnic Institute
1516340,2014-12-02,132504,Standard Grant,RAPID: SCH: NODE: A Real-Time Smartphone Epidemiological Tool,University of Rochester
1518939,2014-12-02,119985,Standard Grant,RAPID: Understanding the Evolution Patterns of the Ebola Outbreak in West-Africa and Supporting Real-Time Decision Making and Hypothesis Testing through Large Scale Simulations,Arizona State University
1503169,2014-12-04,20000,Standard Grant,Doctoral Mentoring Consortium at the Fourteenth International Conference on Autonomous Agents and Multi-Agent Systems,The University of Central Florida Board of Trustees
1455533,2014-12-05,59973,Standard Grant,CAP: Advancing Technology and Practice for Learning Reading and Writing Skills in Secondary Science Education,Columbia University
1509625,2014-12-05,87847,Standard Grant,RAPID: Automatic and Non-intrusive Screening for Potential Viral Disease Carriers,West Virginia University Research Corporation
1516204,2014-12-16,411911,Continuing Grant,"HCC: Small: How Do-It-Yourself Makers are Reinventing Production, Labor, and Innovation",Regents of the University of Michigan - Ann Arbor
1518652,2014-12-16,72002,Standard Grant,RAPID: Teleoperated Robot Systems in Support of Health Care Workers,Oregon State University
1519023,2014-12-16,99902,Standard Grant,RAPID: Socio-technical systems and Big Data Analytics in the Ebola Response,Pennsylvania State Univ University Park
1520761,2014-12-16,215654,Standard Grant,EAGER: WeatherBlur,Maine Mathematics and Science Alliance
1519031,2014-12-17,117572,Standard Grant,RAPID: Robotic Nursing Assistant for Contagious Patient,Hstar Technologies Co
1504658,2014-12-19,12500,Standard Grant,Supporting Student Travel in Bioinformatics,Pennsylvania State Univ University Park
