id,date,estimatedTotalAmt,transType,title,awardeeName
1500487,2014-10-16,265493,Standard Grant,CAREER:  Parallel Dynamic Meshing Techniques for Simulation-Assisted Medical Interventions,University of Kansas Center for Research Inc
1440730,2014-11-18,50042,Standard Grant,RUI: CC*IIE Campus Design: Planning Grant to Enhance Scientific Network Infrastructure at Carroll University,Carroll University
1445604,2014-11-20,6576101,Cooperative Agreement,"High Performance Computing System Acquisition: Jetstream - A Self-Provisioned, Scalable Science and Engineering Cloud Environment",Indiana University
1445606,2014-11-20,9650000,Cooperative Agreement,Bridges: From Communities and Data to Workflows and Insight,Carnegie Mellon University
1521388,2015-01-29,75527,Standard Grant,Software Infrastructure for Sustained Innovation - A 2015 SI^2 PI Workshop,Arizona State University
1449418,2015-02-13,50000,Standard Grant,CI TraCS Research Starter Supplement: Computational Nanoscience for Energy-Efficient Electronic and Thermoelectric Materials and Devices,University of Massachusetts Amherst
1521303,2015-02-20,299321,Standard Grant,EAGER: XSight - A Distributed Measurement Infrastructure for Data Transfer Nodes,Carnegie Mellon University
1523208,2015-02-26,50000,Standard Grant,The BrainstormHPCD-1 Workshop,University of Illinois at Urbana-Champaign
1440699,2015-02-27,150000,Standard Grant,CC*IIE Region: Accelerating the Adoption of Campus Cyberinfrastructure Technologies in Pennsylvania,Keystone Initiative for Network Based Education and Research
1450904,2015-02-27,4800000,Cooperative Agreement,IRNC-BackBone- TransPAC4 - Pragmatic Application-Driven International Networking,Indiana University
1453430,2015-03-03,412969,Standard Grant,CAREER: Enabling Distributed and In-Situ Analysis for Multidimensional Structured Data,University of New Mexico
1535651,2015-03-09,427003,Standard Grant,"SI2-SSE: yt: Reusable Components for Simulating, Analyzing and Visualizing Astrophysical Systems",University of Illinois at Urbana-Champaign
1530344,2015-03-10,49999,Standard Grant,The BrainstormHPCD-2 Workshop,University of Illinois at Urbana-Champaign
1453864,2015-03-11,519753,Standard Grant,CAREER: Organizational Capacity and Capacity Building for Cyberinfrastructure Diffusion,Chapman University
1450871,2015-03-23,2500000,Cooperative Agreement,IRNC: RXP: StarLight SDX A Software Defined Networking Exchange for Global Science Research and Education,Northwestern University
1464317,2015-03-23,171257,Standard Grant,CRII: CI: Exploring Advanced Cyber-Infrastructure Co-Design for Big Data Analytics,Rutgers University New Brunswick
1451018,2015-03-24,5000000,Cooperative Agreement,IRNC: Backbone: AmLight Express and Protect (ExP),Florida International University
1452367,2015-03-24,389550,Standard Grant,REU Site: RE-ICE: Research Experiences in Integrated Computational Entomology,University of California-Riverside
1521728,2015-03-24,199995,Standard Grant,RAPID: Optimizing Experimental Approaches to Ebola Membrane Fusion Inhibitor Peptide Design through High-Throughput Biomolecular Simulation Workflows on Blue Waters,University of Utah
1524703,2015-03-24,200000,Standard Grant,RAPID: Development of Rapid In-Field Ebola Infection Screening Guided by Biomolecular Simulation and Collaborative Remote Visualization,University of Illinois at Urbana-Champaign
1461264,2015-03-27,357552,Standard Grant,REU Site: Computation Across the Disciplines,Marquette University
1450937,2015-03-30,502104,Standard Grant,IRNC: AMI: Collaborative Research: Software-Defined and Privacy-Preserving Network Measurement Instrument and Services for Understanding Data-Driven Science Discovery,University of Kentucky Research Foundation
1450975,2015-03-30,416574,Standard Grant,IRNC: AMI: Collaborative Research: Software-Defined and Privacy-Preserving Network Measurement Instrument and Services for Understanding Data-Driven Science Discovery,University of Massachusetts Boston
1450996,2015-03-30,1254935,Standard Grant,IRNC: AMI: Collaborative Research: Software-Defined and Privacy-Preserving Network Measurement Instrument and Services for Understanding Data-Driven Science Discovery,University of Massachusetts Lowell
1450997,2015-03-30,175430,Standard Grant,IRNC: AMI: Collaborative Research: Software-Defined and Privacy-Preserving Network Measurement Instrument and Services for Understanding Data-Driven Science Discovery,University of Texas at El Paso
1524972,2015-03-31,50000,Standard Grant,Collaborative Research: Simulation-Based Policy Analysis for Reducing Ebola Transmission Risk in Air Travel,Embry-Riddle Aeronautical University
1525012,2015-03-31,100000,Standard Grant,Collaborative Research: Simulation-Based Policy Analysis for Reducing Ebola Transmission Risk in Air Travel,Arizona State University
1525061,2015-03-31,50000,Standard Grant,Collaborative Research: Simulation-Based Policy Analysis for Reducing Ebola Transmission Risk in Air Travel,Florida State University
1451024,2015-04-02,3658020,Cooperative Agreement,IRNC: RXP: AtlanticWave-Software Defined Exchange: A Distributed Intercontinental Experimental Software Defined Exchange (SDX),Florida International University
1440661,2015-04-08,300000,Standard Grant,CC*IIE Campus Design: Saint Anselm Science DMZ,Saint Anselm College
1453548,2015-04-09,535349,Standard Grant,CAREER: Sustaining Scientific Infrastructure:  Researching Transition from Grants to Peer Production,University of Texas at Austin
1535522,2015-04-13,299793,Standard Grant,EAGER Proposal - White Box Switch Testbed,Indiana University
1535799,2015-04-13,25000,Standard Grant,NSF Travel Grant Support for IEEE/ACM CCGrid 2015 Conference,University of Texas at San Antonio
1450934,2015-04-17,3608030,Cooperative Agreement,IRNC:NOC - Global Research Network Operations Center at Indiana University Enabling International Science and Innovation,Indiana University
1451058,2015-04-21,4632433,Cooperative Agreement,IRNC Backbone: SXTransPORT Pacific Islands Research and Education Network,University of Hawaii System
1443062,2015-04-27,1498604,Standard Grant,Beyond Data Discovery: Shared Services for Community Metadata Improvement,The HDF Group
1445806,2015-04-29,9063861,Cooperative Agreement,XD Metrics Service (XMS),SUNY at Buffalo
