id,date,estimatedTotalAmt,transType,title,awardeeName
1457488,2014-11-24,52000,Fellowship Award,Graduate Research Fellowship Program (GRFP),CUNY City College
1518767,2014-12-09,44000,Fellowship Award,Graduate Research Fellowship Program (GRFP),University of Kansas Medical Center Research Institute Inc
1433736,2014-12-19,3899433,Continuing Grant,SFS: Preparing Crosscutting Cybersecurity Scholars,Rochester Institute of Tech
1503742,2014-12-19,4423569,Continuing Grant,Scholarship Track: Scholarships for Service at WPI,Worcester Polytechnic Institute
1503875,2014-12-19,2785558,Continuing Grant,CyberCorps: Scholarship for Service to Create Community Cyber Security Champions (CCSC) and a Collaborative Learning Environment,St. Cloud State University
1504526,2014-12-19,1795785,Continuing Grant,"SFS (Scholarship Track): An Interdisciplinary, Learning-by-Doing Approach  to Identify and Prepare Cyber Warriors","Cal Poly Pomona Foundation, Inc."
1445632,2014-12-31,300000,Standard Grant,Classroom Artifacts as Indicators of Quality in STEM Education,Rutgers University New Brunswick
1519310,2015-02-26,245500,Standard Grant,Workforce Development: Graduate Data Science Workshop & Community Building,University of Washington
1535785,2015-03-12,620000,Contract Interagency Agreement,Interagency Agreement with OPM,"PERSONNEL MANAGEMENT, U S OFFICE OF"
1449785,2015-03-27,2970000,Standard Grant,NRT-DESE: Computational Materials Education and Training - Bridging Methods and Applications (COMET),Pennsylvania State Univ University Park
1450006,2015-03-27,2966598,Standard Grant,NRT-DESE: Training in Data-Driven Discovery - From the Earth and the Universe to the Successful Careers of the Future,Northwestern University
1450032,2015-03-27,2966134,Standard Grant,"NRT-DESE: Generating, Analyzing, and Understanding Sensory and Sequencing Information--A Trans-Disciplinary Graduate Training Program in Biosensing and Computational Biology",Colorado State University
1449617,2015-03-31,2965339,Standard Grant,NRT: Education Model Program on Water-Energy Research (EMPOWER) at Syracuse University,Syracuse University
1449815,2015-03-31,2969817,Standard Grant,NRT-DESE: Flexibility in Language Processes and Technology: Human- and Global-Scale,"University of Maryland, College Park"
1449828,2015-03-31,2965341,Standard Grant,NRT-DESE:  Graduate Training in Data-Enabled Research into Human Behavior and its Cognitive and Neural Mechanisms,University of Rochester
1449999,2015-03-31,2824395,Standard Grant,"NRT: Training Next-Generation Scientists with Experimental, Theoretical, and Computational Competencies for Complex Interfaces (INTERFACE)",University of Southern Mississippi
1450053,2015-03-31,2946352,Standard Grant,NRT-DESE: Environment and Society: Data Science for the 21st century (DS421),University of California-Berkeley
1438871,2015-05-06,99990,Standard Grant,Cyber Defense Bootcamp for High School Technology Teachers,James Madison University
1539715,2015-05-07,49000,Standard Grant,Cyber Education Project,Metropolitan State University
1464800,2015-05-16,289590,Standard Grant,SaTC-EDU: EAGER: Development and Evaluation of Privacy Education Tools via Open Collaboration,Stevens Institute of Technology
1437514,2015-06-03,233444,Standard Grant,SFS: Capacity Building: Cybersecurity Education Across Disciplines with Focus on Minorities and Women,University of Hawaii
1465260,2015-06-03,286819,Standard Grant,SaTC-EDU:EAGER:A Wiki Space for Information Security Education Exchange,University of Houston
1500052,2015-06-03,194439,Standard Grant,SaTC-EDU: EAGER: Transforming Usable Security and Privacy Education,University of North Carolina at Charlotte
1500077,2015-06-03,270019,Standard Grant,SaTC-EDU: EAGER: Education Initiative TECH MeD: Transdisciplinary Education for Critical Hacks of Medical Devices,Texas Christian University
1500101,2015-06-03,300000,Standard Grant,SaTC-EDU: EAGER: Peer Instruction for Cybersecurity Education,University of New Orleans
1500084,2015-06-04,300000,Standard Grant,SaTC-EDU: EAGER: Big Data and Security: Educating the Next-Generation Security Analysts,Georgia Tech Research Corporation
1534175,2015-06-04,27333,Fellowship Award,Graduate Research Fellowship Program (GRFP),SUNY College of Environmental Science and Forestry
1540502,2015-06-10,352000,Fellowship Award,Graduate Research Fellowship Program (GRFP),University of Kansas Center for Research Inc
1542121,2015-06-17,90000,Fellowship Award,Graduate Research Fellowship Program (GRFP),Yeshiva University
1515256,2015-06-19,224187,Standard Grant,Mobile Forensic Security Project,Robert Morris University
1452780,2015-06-22,89167,Fellowship Award,Graduate Research Fellowship Program (GRFP),Northern Arizona University
1455558,2015-06-22,92000,Fellowship Award,Graduate Research Fellowship Program (GRFP),The University of Texas Health Science Center at Houston
1516100,2015-06-22,166526,Standard Grant,"EDURange:  Supporting cyber security education with hands-on exercises, a student-staffed help-desk, and webinars",Lewis and Clark College
1516113,2015-06-22,280706,Standard Grant,Cyber4All: An Interdisciplinary Cybersecurity Minor for all Undergraduates,Towson University
1516471,2015-06-22,37317,Standard Grant,Collaborative Research: Capacity building in Cybersecurity-literacy: An inter-disciplinary approach,Truckee Meadows Community College
1516724,2015-06-22,262534,Standard Grant,Collaborative Research: Capacity building in Cybersecurity-literacy: An inter-disciplinary approach,"Board of Regents, NSHE, obo University of Nevada, Reno"
1516730,2015-06-22,240690,Standard Grant,"EDURange:  Supporting cyber security education with hands-on exercises, a student-staffed help-desk, and webinars",Evergreen State College
1541523,2015-06-22,44000,Fellowship Award,Graduate Research Fellowship Program (GRFP),The University of Texas Health Science Center at Houston
1515358,2015-06-23,399753,Standard Grant,Integrating Cybersecurity with Undergraduate IT Programs,University of Maryland Baltimore County
1438921,2015-06-29,300020,Standard Grant,SFS: Cyber Security of Industrial Control Systems,Texas Tech University
1543817,2015-06-29,46000,Fellowship Award,Graduate Research Fellowship Program (GRFP),Oakland University
1545659,2015-06-29,46000,Fellowship Award,Graduate Research Fellowship Program (GRFP),Boise State University
1545679,2015-06-29,46000,Fellowship Award,Graduate Research Fellowship Program (GRFP),University of South Dakota Main Campus
1545680,2015-06-29,46000,Fellowship Award,Graduate Research Fellowship Program (GRFP),Southern Oregon University
1545870,2015-06-29,46000,Fellowship Award,Graduate Research Fellowship Program (GRFP),Southern Illinois University at Carbondale
1545956,2015-06-29,46000,Fellowship Award,Graduate Research Fellowship Program (GRFP),Jackson State University
1545957,2015-06-29,46000,Fellowship Award,Graduate Research Fellowship Program (GRFP),University of Nebraska at Omaha
1545959,2015-06-29,46000,Fellowship Award,Graduate Research Fellowship Program (GRFP),"Georgia Southern University Research and Service Foundation, Inc"
1546590,2015-06-29,46000,Fellowship Award,Graduate Research Fellowship Program (GRFP),California Polytechnic State University Foundation
1546593,2015-06-29,36497,Fellowship Award,Graduate Research Fellowship Program (GRFP),CAL POLY HUMBOLDT SPONSORED PROGRAMS FOUNDATION
1546594,2015-06-29,261479,Fellowship Award,Graduate Research Fellowship Program (GRFP),University of Texas Southwestern Medical Center
1546595,2015-06-29,176986,Fellowship Award,Graduate Research Fellowship Program (GRFP),University of Iowa
1544099,2015-07-02,35000,Standard Grant,2015 Cyber Security Education Workshop,Georgia Tech Research Corporation
1500046,2015-07-08,299376,Standard Grant,SaTC-EDU: EAGER Enhancing Cybersecurity Education Through a Representational Fluency Model,Purdue University
1500083,2015-07-08,300000,Standard Grant,SaTC-EDU: EAGER: Broadening Cyber Security Education Beyond Computing - Educating Everyone to Safeguard Our Online Lives,Georgia Tech Research Corporation
1547507,2015-07-08,211973,Standard Grant,Collaborative Research: STEM Workforce Training: A Quasi-Experimental Approach Using the Effects of Research Funding,New York University
1501177,2015-07-13,6000000,Continuing Grant,University of Tulsa Cyber Corps Initiative -- Training the Next Generation of MacGyvers,University of Tulsa
1503949,2015-07-13,2212933,Continuing Grant,Information Security and Assurance for Technology Leadership and Innovation,Johns Hopkins University
1523096,2015-07-14,299977,Standard Grant,EDU: Developing Security Education Materials for Future Advanced Manufacturing Engineering Workforce,University of North Carolina at Charlotte
