id,date,estimatedTotalAmt,transType,title,awardeeName
1462063,2014-10-31,216026,Standard Grant,COLLABORATIVE RESEARCH: REAL: INTRINSICS: An Interactive Narrative Technology to Reduce Implicit Negative Stereotyping and Improve the Climate in STEM for Underrepresented Students,SUNY at Buffalo
1451275,2014-11-13,114099,Standard Grant,Exploring Longitudinal Research on Out-of-school Time Experiences in STEM,University of Virginia Main Campus
1451284,2014-11-13,115000,Standard Grant,A Collaboration to Develop Tools for Mapping and Assessing the Impact of STEM Experiences Across Different Ecologies,Kent State University
1451290,2014-11-20,115000,Standard Grant,Move2Learn: Engaging Preschool Scientists through Embodiment and Technology,"Museum of Science, Inc."
1451303,2014-11-20,115000,Standard Grant,Planning a Design-based Implementation Research Agenda to Investigate Digital Badges as Transformative Assessment in Informal Science Learning,Education Development Center
1451313,2014-11-20,114997,Standard Grant,Investigating the Long-term Impacts of Informal Science Learning at Zoos and Aquariums,Wildlife Conservation Society
1451321,2014-11-20,114979,Standard Grant,Affinity Spaces for Informal Science Learning: Developing a Research Agenda,Twin Cities Public Television
1461833,2014-11-21,43705,Standard Grant,Smarter together working conference: Developing a shared curriculum of Complex Instruction for elementary mathematics methods courses,Michigan State University
1506494,2014-12-01,621578,Continuing Grant,CAREER: Exploring Beginning Mathematics Teachers' Career Patterns,University of Washington
1417261,2014-12-31,2999941,Continuing Grant,Refining a Model with Tools to Develop Math PD Leaders: An Implementation Study,Stanford University
1512186,2015-01-07,200000,Standard Grant,"PBS NewsHour Coverage of Non-Medical, Non-Clinical Care Research Addressing The Ebola Challenge",Greater Washington Educational Telecommunications Association
1433185,2015-01-08,1199322,Standard Grant,A Sleep Education Program to Improve STEM education in Elementary School,University of Arizona
1505527,2015-01-08,199836,Standard Grant,RAPID: ASPiRe: Formative Assessment of Scientific Practices Research Practice Partnership,University of Colorado at Boulder
1518824,2015-01-08,198384,Standard Grant,Online Resources for Educating Students about Ebola and Other Emerging and Re-emerging Infectious Diseases,Education Development Center
1518346,2015-01-12,197495,Standard Grant,Understanding Ebola Virus Disease,BSCS Science Learning
1453493,2015-01-21,874017,Continuing Grant,CAREER: Proof in Secondary Classrooms: Decomposing a Central Mathematical Practice,University of Delaware
1505165,2015-01-21,33164,Standard Grant,EAGER Proposal to Examine Potential Threshold Concepts Specific to the Biological Sciences,Utah State University
1446112,2015-02-02,100000,Standard Grant,Collaborative Research: Personalizing Recommendations in a Large-scale Education Analytics Pipeline,University of Southern California
1446138,2015-02-02,99323,Standard Grant,Collaborative Research: Personalizing Recommendations in a Large-scale Education Analytics Pipeline,Ednovo
1446641,2015-02-02,99999,Standard Grant,Collaborative Research: Personalizing Recommendations in a Large-scale Education Analytics Pipeline,University of California-Berkeley
1433280,2015-02-06,537514,Standard Grant,Strategies: Acquainting Metro Atlanta Youth with STEM (AMAYS),"Georgia State University Research Foundation, Inc."
1433440,2015-02-06,773237,Standard Grant,A Reciprocal Model for Teaching and Learning Computational Competencies: Connecting Pre-Service Teachers and Urban Latino Youth,"Georgia State University Research Foundation, Inc."
1445853,2015-02-06,299215,Standard Grant,Design and Execution of a Design Laboratory (Learning Lab) for STEM Projects,Carnegie Foundation for the Advancement of Teaching
1452000,2015-02-06,1037567,Continuing Grant,CAREER: Spatial Foundations of Symbolic Numeracy Skills in Young Children,Temple University
1501158,2015-02-06,49470,Standard Grant,Workshop Proposal: Integrating Citizen Science into the STEM Learning Ecosystem,Schoodic Institute at Acadia National Park
1530979,2015-02-12,49481,Standard Grant,Learning from Successful Big Data Projects,Computing Research Association
1459625,2015-02-13,1174597,Continuing Grant,The Origins of Numerical Concepts from Nonverbal Perception,University of Rochester
1520689,2015-02-20,199430,Standard Grant,Stopping an Epidemic of Misinformation: Leveraging the K-12 Science Education System to Respond to Ebola,Horizon Research Inc
1450755,2015-03-02,2264145,Continuing Grant,CAREER SBP Creating Equitable STEM Environments: A Multi-Method Contextual Approach to Mitigating Social Identity Threat Among Women in STEM,Indiana University
1453822,2015-03-02,976257,Continuing Grant,"CAREER: Transforming College Students' Statistical Thinking: Data, Technology & Modeling",Portland State University
1519282,2015-03-16,49926,Standard Grant,"Communicating Research to Public Audiences (CRPA) Program: Collecting, Sharing and Building from Successful Practices","Vox Television, Inc."
1420724,2015-03-24,291051,Standard Grant,Expanding Repertoires of Practice: Improving Informal Science Learning Experiences for Dual Language Learners,Franklin County Historical Society
1461358,2015-03-30,99038,Standard Grant,Building on the Success of Critical Issues in Mathematics Education Workshops,Mathematical Sciences Research Institute
