id,date,estimatedTotalAmt,transType,title,awardeeName
1459792,2014-11-17,99563,Standard Grant,Research and Evaluation: Boston University's Noyce Scholarship Programs,San Diego State University Foundation
1457785,2014-11-26,49986,Standard Grant,MPWR II: Mentoring Partnerships for Women in RUME,Colorado State University
1513519,2014-12-12,49994,Standard Grant,Shaping the Future of Geoscience Education Research: Synthesizing Results and Articulating Future Directions,College of William and Mary
1347681,2014-12-31,659046,Standard Grant,COLLABORATIVE RESEARCH:  WIDER:  Improving Undergraduate Education Through Community Building and Adoption of an Evidence-based Practice to Evaluate Undergraduate Research,SUNY College at Buffalo
1347727,2014-12-31,127273,Standard Grant,COLLABORATIVE RESEARCH:  WIDER:  Improving Undergraduate Education Through Community Building and Adoption of an Evidence-based Practice to Evaluate Undergraduate Research,Council on Undergraduate Research
1460028,2015-01-05,983554,Standard Grant,Assessing Intrapersonal and Interpersonal Competencies,National Academy of Sciences
1355800,2015-02-03,598808,Standard Grant,Santa Barbara City College STEM Scholars,The Foundation for Santa Barbara City College
1439839,2015-02-03,797823,Standard Grant,"Recruit and Engage - Mathematics And Science Teachers, while Conducting a Longitudinal Study of Factors Influencing Effectiveness",Newberry College
1458520,2015-02-05,623764,Standard Grant,"Science and Mathematics Attraction, Retention, and Training for Texas (SMART Texas)",Stephen F. Austin State University
1456248,2015-02-09,27047,Standard Grant,Collaborative Research: Exploring Partnered Teaching of Interdisciplinary CS+X Courses,Wellesley College
1456255,2015-02-09,25708,Standard Grant,Collaborative Research: Exploring Partnered Teaching of Interdisciplinary CS+X Courses,Rochester Institute of Tech
1456275,2015-02-09,63564,Standard Grant,Collaborative Research: Exploring Partnered Teaching of Interdisciplinary CS+X Courses,Franklin W. Olin College of Engineering
1456443,2015-02-09,31854,Standard Grant,Collaborative Research: Exploring Partnered Teaching of Interdisciplinary CS+X Courses,University of Delaware
1457711,2015-02-09,430291,Standard Grant,Developing Students' Troubleshooting Skills in Energy Programs,Lone Star College System District
1458353,2015-02-09,613428,Standard Grant,"Science, Technology, Engineering, and Mathematics Connections",Lewis University
1458514,2015-02-09,639136,Standard Grant,Geoscience Scholarships to Improve Recruitment and Retention of Academically Talented Students,SUNY College at Geneseo
1458261,2015-02-10,622430,Standard Grant,The Science Scholars Program,Alma College
