id,date,estimatedTotalAmt,transType,title,awardeeName
1417582,2014-12-04,197128,Standard Grant,Developing a Model of Solar Energy Performance,College of the Menominee Nation
1417605,2014-12-04,199956,Standard Grant,Linkages between soil and food quality in traditional plant systems,Northwest Indian College
1400946,2014-12-12,194651,Standard Grant,Research Initiation Award: Establishment of Pale Yellow Golden Pothos Plant-based Transgenic System for Studying Nuclear Genes Involved in Chloroplast Biogenesis,North Carolina Central University
1505261,2014-12-22,31519,Standard Grant,Targeted Infusion Project:  Educational Partnership in Climate Change and Sustainability (EPiCCS),University of Maryland Eastern Shore
1410586,2014-12-31,199267,Standard Grant,Catalyst Project:  Computational Research On Music and Audio,Lincoln University
1411209,2015-01-21,250001,Standard Grant,Terrestrial Gamma Flashes at Ground Level - a Research and Education Program,Xavier University of Louisiana
1436972,2015-01-22,500000,Standard Grant,Targeted Infusion Project - Building on A Foundation of Stone: The Future Growth of Wiley College's Division of Sciences,Wiley College
1400792,2015-02-09,1499293,Continuing Grant,LSAMP Bridge to the Baccalaureate:  North Carolina STEM Alliance (NCSA),Central Piedmont Community College
1505371,2015-02-09,49370,Standard Grant,Montana Tribal College Faculty Professional Development Workshop,University of Montana
1452114,2015-02-11,255728,Standard Grant,A Pilot Project: Inquiry-based science learning using cultural heritage materials and other locally accessible resources,Hampton University
1453213,2015-02-12,453359,Continuing Grant,CAREER:Broadening Participation in STEM: Intersectional and Institutional Influences on Underrepresented Minorities' College and Career Pathways in Longitudinal Perspective,Virginia Polytechnic Institute and State University
1446997,2015-03-10,299427,Standard Grant,Cultural Engagement and Recruitment of American Indian Males into Computer Science through Computational Linguistics,QEM Network HQ
1536007,2015-03-12,40550,Standard Grant,International Gender Summit,The Chicago School of Professional Psychology
1457940,2015-03-17,65697,Continuing Grant,HACU STEM Task Force,Hispanic Association of Colleges and Universities
1458930,2015-03-19,999450,Standard Grant,RISE: Embedded Systems Security via Reverse Engineering and Countermeasures,Morgan State University
1458980,2015-03-19,999240,Standard Grant,Advanced Nanomaterials for Energy Research and Applications (ANERA),Delaware State University
1459007,2015-03-19,1000000,Standard Grant,NSF-RISE: Enhancement of Research and Educational Infrastructure in Nanobiomaterials Science and Engineering at Tuskegee University,Tuskegee University
1500138,2015-03-19,987000,Standard Grant,Bridge to the Doctorate: Wisconsin Louis Stokes Alliance for Minority Participation,University of Wisconsin-Madison
1500284,2015-03-19,987000,Standard Grant,California LSAMP Bridge to the Doctorate Program at the University of California-Irvine (2015-2017),University of California-Irvine
