id,date,estimatedTotalAmt,transType,title,awardeeName
1463960,2014-10-14,454632,Standard Grant,NRI-Small: Context-Driven Haptic Inquiry of Objects Based on Task Requirements for Artificial Grasp and Manipulation,University of California-Los Angeles
1464383,2014-10-16,134872,Standard Grant,Multiple wake interactions in large wind farms,Cornell University
1464621,2014-10-16,162615,Standard Grant,Collaborative Research: Deciphering Induced-Charge Electrokinetics: Multiscale Simulations and Nanoscale Flow Characterization,Virginia Polytechnic Institute and State University
1501113,2014-10-16,25739,Standard Grant,Collaborative Research: Electrochemical Reduction of CO2 to Small Organic Fuels on Encapsulated Metal Catalysts in Gas Diffusion Electrode Environment,Iowa State University
1501124,2014-10-16,149974,Standard Grant,Selective Electrocatalytic Oxidation of Biorenewable Polyols over Bimetal Catalysts,Iowa State University
1501587,2014-10-17,165257,Standard Grant,Collaborative Research: Thermal Transport in Elastic Turbulence,University of Alabama in Huntsville
1502477,2014-10-17,104999,Standard Grant,Collaborative Research: High-speed Imaging Guided Large Eddy Simulation (LES) Model Development for Turbulent Flames,Regents of the University of Michigan - Ann Arbor
1463932,2014-10-21,125432,Standard Grant,GOALI/Collaborative Research: Fundamentals of Microemulsion Boiling: from Interfacial Thermodynamics to Multiphase Heat Transfer,Virginia Polytechnic Institute and State University
1461842,2014-10-28,299250,Standard Grant,Non-Equilibrium Transport of Strongly Correlated Electrolytes in Nanopores: Fundamentals and Applications,Virginia Polytechnic Institute and State University
1464673,2014-10-30,215316,Standard Grant,Collaborative Research: Optimization of Sperm Sorting in Microfluidic Channels Using Coarse-Grained Modeling,Stanford University
1464504,2014-10-31,400000,Standard Grant,CAREER:Multi-Scale Meniscus Thin-Film Evaporation Enhancement using Hierarchical Tri-Porous Media,University of Missouri-Columbia
1504174,2014-11-14,171736,Standard Grant,MRI:  Acquisition of a CNC Micro-Milling Workstation to Enhance Multidisciplinary Research and Teaching at Texas A&M International University and Texas A&M Kingsville,Texas A&M University-Kingsville
1517273,2014-11-24,299057,Continuing Grant,Collaborative Research: Development of Novel Two-photon Fluorescence Polymer Probes for High Resolution Deep Tissue Intravital Imaging,New Jersey Institute of Technology
1503409,2014-11-25,50000,Standard Grant,"AEESP Proposal and Career Workshop: Environmental Engineering and Science: At the Nexus; Location: Yale University, CT; Date: June 13-16,2015",Yale University
1515671,2014-11-25,20000,Standard Grant,"Workshop: ""Global Solutions to Regional Problems: Collecting Global Expertise to the Problem of Harmful Algal Blooms"" at Bowling Green State University, Ohio on April 13-14, 2015",Bowling Green State University
1464062,2014-12-01,35773,Standard Grant,Workshop on Development of Green Fracturing Fluids and Remedial Technologies,University of Arkansas Little Rock
