id,date,estimatedTotalAmt,transType,title,awardeeName
1462420,2014-10-14,251748,Standard Grant,CAREER: Models for Supply Chain Design and Logistics Management of Biofuels,Clemson University
1463732,2014-10-14,221719,Standard Grant,Transformative Skin: Controlled Electromechanical Instability on Polymer Surfaces,Massachusetts Institute of Technology
1463869,2014-10-14,181531,Standard Grant,Scalable Nanomanufacturing of Graphene Based Composites with Controllable Properties,Worcester Polytechnic Institute
1463926,2014-10-14,133047,Standard Grant,Collaborative Research: Coupling System Chemistry and Time-Dependent Deformation of Cementitious Materials through Evolving Thermodynamic States,Texas A&M Engineering Experiment Station
1464616,2014-10-14,163520,Standard Grant,CAREER:  Atomic Scale Defect Engineering in Graphene Membranes,Trustees of Boston University
1464853,2014-10-14,397149,Standard Grant,CAREER: Deformation-Based Surface Generation for Microstructure Control,Georgia Tech Research Corporation
1465158,2014-10-14,62150,Standard Grant,Collaborative Research:  Deformation Phenomena in Surface Texturing by Machining-Based Processes,Georgia Tech Research Corporation
1501863,2014-10-14,8699,Standard Grant,"Student Support: 2014 Manufacturing Science and Engineering Conference (MSEC) and 42nd North American Manufacturing Research Conference (NAMRC); Ann Arbor, MI; 09-13 June 2014",Pennsylvania State Univ University Park
1463881,2014-10-16,172744,Standard Grant,"Collaborative Research: Damage Tolerant 3-D Periodic Interpenetrating Phase Composites with Enhanced Mechanical Performance - Design, Fabrication, Analysis and Testing",Southern Methodist University
1505125,2014-10-28,294590,Standard Grant,"Snapping Shells: Coupling Geometry, Dynamics, and Materials to Harvest Energy through Instability",Trustees of Boston University
1463717,2014-10-30,372433,Standard Grant,"Collaborative Research: Increasing Solar Panel Adoption by Modeling the Interrelated Impacts of Design Decisions, Industry Incentives, Public Policies, and Market Response",Stanford University
1505260,2014-10-30,224270,Standard Grant,"Collaborative Research: Data-Driven Smart Monitoring of Alzheimer's Disease via Data Fusion, Personalized Prognostics, and Selective Sensing",University of Washington
1464737,2014-11-03,558527,Standard Grant,NRI: Human Cognition Assisted Control of Industrial Robots for Manufacturing,University of Illinois at Urbana-Champaign
1502392,2014-11-04,299842,Standard Grant,DMREF/Collaborative Research:  Multi-Scale Fundamental Investigation of Sintering Anisotropy,Clemson University
1458029,2014-11-05,49974,Standard Grant,Workshop: Disaster Communication Redesigned,University of Kentucky Research Foundation
1503579,2014-11-06,67188,Standard Grant,CAREER:  Advanced Acceleration Control Methods and Substructure Techniques for Shaking Table Tests,Clarkson University
1503681,2014-11-12,195005,Standard Grant,"CAREER:  Detailed Characterization of Graphene Quantum Dots of Controlled Size, Shape and Chemistry",University of Illinois at Chicago
1516097,2014-11-18,184832,Standard Grant,Direct-Write Nanomanufacturing of High Density and High Aspect Ratio Metal Electrode Arrays,Georgia Tech Research Corporation
1463847,2014-11-24,221076,Standard Grant,Structures of Long-Term Disaster Recovery: Organizational Roles and Collaboration in Six Cities,Louisiana State University
1518710,2014-12-02,319587,Standard Grant,"Consideration, Design, and Energy Policy",Stanford University
1514592,2014-12-09,12799,Standard Grant,"Workshop: 2015 NSF Proposal Writing Workshop; Charlotte, North Carolina; June 8, 2015",University of North Carolina at Charlotte
1522513,2014-12-23,425000,Standard Grant,Rational Design of Thermoelectric Materials and Material Processing Approaches Based on Microwave Processing of Silicides,North Carolina State University
1452911,2015-01-05,500000,Standard Grant,CAREER: Loading on Coastal Bridges in Windstorms Using Rapidly Deployable Sensor Network,University of Florida
1454650,2015-01-05,500000,Standard Grant,CAREER: RecovUS - An Agent Based Model of Collective Post Disaster Housing Recovery,Texas Tech University
1450798,2015-01-06,77779,Standard Grant,EAGER: A New Methodology for Studying Dynamical Systems Using Probabilistic Digital Logic,University of Minnesota-Twin Cities
1452852,2015-01-06,500000,Standard Grant,CAREER: Role of Variations in Tissue Material Properties in Bone Fracture Behaviors,Cornell University
1452943,2015-01-06,500000,Standard Grant,CAREER: Understanding Endothelial-Mesenchymal Transformation in the Heart Valve,University of Arkansas
1453103,2015-01-06,500000,Standard Grant,"CAREER: Experimental, Numerical, and Case Studies of Landslide Mobility",Pennsylvania State Univ University Park
1453330,2015-01-06,500000,Standard Grant,CAREER:  Multi-Physics Transient Holography: A Non-Intrusive Imaging Approach for the Identification of Structural Damage in Mechanical Systems,University of Notre Dame
1453346,2015-01-06,500000,Standard Grant,CAREER: Using Multiple Gaits and Inherent Dynamics for Legged Robots With Improved Mobility,Regents of the University of Michigan - Ann Arbor
1453502,2015-01-06,500000,Standard Grant,"CAREER: Structural Health Monitoring, Diagnosis and Prognosis of Minimally Instrumented Structural Systems",University of Vermont & State Agricultural College
1454016,2015-01-06,500000,Standard Grant,CAREER: History-Dependent Cell Motility in Heterogeneous Microenvironments,Washington University
1454181,2015-01-06,500000,Standard Grant,CAREER: An Integrated Research and Educational Program to Understand Nano Additive Manufacturing by Electrochemical Deposition,University of Cincinnati Main Campus
1454248,2015-01-06,500000,Standard Grant,CAREER: 3D Printing of Heart Muscle Using Soft Hydrogels,Carnegie Mellon University
1454257,2015-01-06,500000,Standard Grant,CAREER: Force-activated Protein Dynamics in Mechanobiology,Duke University
1454284,2015-01-06,500000,Standard Grant,CAREER: Understanding the Printability of Liquid Metal Dispersions for Additive Manufacturing,Purdue University
1454360,2015-01-06,500000,Standard Grant,CAREER: Water-based Gels containing Polymer and Cement-like Particles for Improved Curing of High-Performance Concrete,Purdue University
1454405,2015-01-06,500000,Standard Grant,CAREER: Highly-Efficient Dynamic Prediction Models for Quality Improvement in Cold Rolling,Saint Louis University
1454406,2015-01-06,500000,Standard Grant,CAREER: Scalable Electrospray Processing of High-Efficiency Perovskite Solar Cells,The University of Central Florida Board of Trustees
1454431,2015-01-06,500000,Standard Grant,CAREER: Toward a New Paradigm in Evaluating and Mitigating Urban Liquefaction,University of Colorado at Boulder
1454543,2015-01-06,500000,Standard Grant,CAREER: Real-time Convex Optimization for High-Performance Control of Autonomous Systems,University of Texas at Austin
1454574,2015-01-06,500000,Standard Grant,CAREER: Understanding Behavior and Properties of Nano-Sized Particles in Cement-Based Materials,University of Connecticut
1454668,2015-01-06,500000,Standard Grant,CAREER: In-situ Advancements for Study of Multi-axial Micromechanics of Solid Materials,Colorado School of Mines
1452999,2015-01-07,500000,Standard Grant,CAREER: Optimal Management of Chronic Diseases Caused by Infections,Georgia Tech Research Corporation
1453912,2015-01-07,500000,Standard Grant,CAREER: Efficient Experimental Optimization for High-Performance Airborne Wind Energy Systems,University of North Carolina at Charlotte
1453929,2015-01-07,500000,Standard Grant,CAREER: Embracing Randomness and Uncertainty in Inventory Problems: Algorithms and Insights,Georgia Tech Research Corporation
1454012,2015-01-07,500000,Standard Grant,CAREER: Sensor-based Modeling and Control of Nonlinear Dynamics in Complex Systems for Quality Improvements in Manufacturing and Healthcare,University of South Florida
1454151,2015-01-07,500000,Standard Grant,CAREER: Scalable Liquid Exfoliation Processing of Ultrathin Two-Dimensional Metal Dichalcogenides Nanosheets for Energy Storage Devices,Kansas State University
1454293,2015-01-07,500000,Standard Grant,"CAREER: Fabricating Free-Standing Three-Dimensional Graphene Nanostructures through Functionalization, Folding, and Self-Assembly",University of Minnesota-Twin Cities
1454310,2015-01-07,500000,Standard Grant,CAREER: Data to Operational Decisions: A Predictive Analytics Approach,New York University
1523287,2015-01-07,199999,Standard Grant,Collaborative Research: Risk Management and Control of Dynamic Rate Queues for Healthcare and Transportation Services,Regents of the University of Michigan - Ann Arbor
1523453,2015-01-07,89750,Standard Grant,Collaborative Research: Modeling and Analyzing Extreme Risks in Insurance and Finance,Regents of the University of Michigan - Ann Arbor
1452728,2015-01-08,500000,Standard Grant,CAREER: Directing Epithelial-Mesenchymal Tissue Self-Structuring and Remodeling With Multi-scale Mechanical Interactions and Principles of Mechanobiology,University of Iowa
1453757,2015-01-08,500000,Standard Grant,CAREER: Increasing Resiliency and Sustainability of Reinforced Concrete against Aging and Seismic Hazards through Novel Materials,University of Houston
1453881,2015-01-08,500000,Standard Grant,CAREER: Multi-Physics Modeling for Probabilistic Design and Engineering of Sustainable Infrastructure,Stanford University
1454412,2015-01-08,500000,Standard Grant,CAREER: Growth and Remodeling of the Uterine Cervix During Pregnancy,Columbia University
1454413,2015-01-08,500000,Standard Grant,CAREER: Experimental Modeling of Tidal Current Turbine Foundations: An Integrated Research and Education Plan,University of Illinois at Urbana-Champaign
1454547,2015-01-08,500000,Standard Grant,CAREER: Mesoscale Modeling of Defect Structure Evolution in Metallic Materials,University of Connecticut
1454737,2015-01-08,500000,Standard Grant,CAREER: Driving the Future: Models and Control Methods to Coordinate Fleets of Self-Driving Vehicles in Future Transportation Networks,Stanford University
1509232,2015-01-08,99999,Standard Grant,RAPID: Improved Detection of Ebola through Nanomanufacturing of Bio-Inspired Diagnostics,Case Western Reserve University
1515702,2015-01-08,41197,Standard Grant,RAPID: Capturing Behavioral Response and Perceived Risk to Ebola Using Social Media,Kent State University
1523276,2015-01-08,114593,Standard Grant,Quantitative Prediction of Ductile Fracture Surface Roughness,Texas A&M Engineering Experiment Station
1452488,2015-01-09,500000,Standard Grant,CAREER: Adaptive Acoustic Metamaterials with Switchable Functionality: A Design Platform Enabled by Nonlinearity,University of Minnesota-Twin Cities
1453934,2015-01-09,500000,Standard Grant,CAREER: Optimization and Sampling in Stochastic Simulation,Georgia Tech Research Corporation
1453960,2015-01-09,500000,Standard Grant,CAREER: Innovative Structural Systems for Multi-hazard Resistance  Using Steel Plate with Cutouts,Virginia Polytechnic Institute and State University
1454072,2015-01-09,500000,Standard Grant,CAREER: Identifying the Micromechanisms Leading to Hydrogen-Induced Intergranular  Fracture in Metals,Johns Hopkins University
1454104,2015-01-09,500000,Standard Grant,CAREER: Modeling Materials Across the Length Scales to Achieve Enhanced Thermomechanical Properties,Georgia Tech Research Corporation
1454276,2015-01-09,500000,Standard Grant,CAREER: A Design Methodology for Bio-Inspired Soft Mechanical Systems,University of Illinois at Urbana-Champaign
1454548,2015-01-09,500000,Standard Grant,CAREER: Fundamentals of Low-complexity Relaxations for Nonconvex Optimization Problems with Conic Structure,Carnegie Mellon University
1454601,2015-01-09,500000,Standard Grant,CAREER: Fast Surrogate Modeling for Design under Uncertainty of Complex Engineering Systems,University of Colorado at Boulder
1522877,2015-01-09,294495,Standard Grant,3D-Printed Porous Structure and Polymer Infiltration for Fabrication of Functionally Gradient Material with Complex Shape,Texas A&M Engineering Experiment Station
1523048,2015-01-09,137335,Standard Grant,High-speed 3D Optical Metrology for In-situ Applications,Purdue University
1452820,2015-01-12,500000,Standard Grant,CAREER: Foundational Aspects of Discrete Optimization: Theory and Algorithms,Johns Hopkins University
1454139,2015-01-12,500000,Standard Grant,CAREER: Cooperative Control and Decision-Making for Human-Agent Collaborative Teams,Clemson University
1454153,2015-01-12,500000,Standard Grant,CAREER: Understanding and Controlling the Deformation of Thin Rods within Soft and Fragile Matter,Trustees of Boston University
1453949,2015-01-16,500000,Standard Grant,CAREER: Pathway to a Driverless Highway Transportation System: A Behavior Analysis and Trajectory Control Approach,Mississippi State University
1520952,2015-01-20,300000,Standard Grant,Chip-Scale Cavity Optomechanics for Precision Sensing: Science and Education,University of California-Los Angeles
1452463,2015-01-21,500000,Continuing Grant,CAREER: Semidefinite Programming (SDP) Extended Formulations,Georgia Tech Research Corporation
1454654,2015-01-21,500000,Standard Grant,CAREER: Risk Monitoring of Civil Infrastructures Using Correlated Change Patterns in Spatiotemporal Data,Arizona State University
1452875,2015-01-23,500000,Continuing Grant,"CAREER: A Closed-Loop Methodology for Investigating Trust, Culture, and Information Sharing in Global Supply Chains",Massachusetts Institute of Technology
1531048,2015-01-30,266669,Standard Grant,CAREER: Dense Superfast 3D Sensing of Extremely Rapidly Changing Mechanical and Biological Scenes,Purdue University
1452708,2015-02-02,400000,Standard Grant,RSB/Collaborative Research: A Risk-Informed Decision Framework to Achieve Resilient and Sustainable Buildings that Meet Community Objectives,University of Oklahoma Norman Campus
1452725,2015-02-02,760000,Standard Grant,RSB/Collaborative Research: A Risk-Informed Decision Framework to Achieve Resilient and Sustainable Buildings that Meet Community Objectives,Colorado State University
1454675,2015-02-02,120000,Standard Grant,RSB/Collaborative Research: A Risk-Informed Decision Framework to Achieve Resilient and Sustainable Buildings that Meet Community Objectives,University of Washington
1455424,2015-02-02,410811,Standard Grant,RSB/Collaborative Research: A Sequential Decision Framework to Support Trade Space Exploration of Multi-Hazard Resilient and Sustainable Building Designs,University of Pittsburgh
1455444,2015-02-02,849189,Standard Grant,RSB/Collaborative Research: A Sequential Decision Framework to Support Trade Space Exploration of Multi-Hazard Resilient and Sustainable Building Designs,Pennsylvania State Univ University Park
1455450,2015-02-02,1122687,Standard Grant,RSB: A Decision and Design Framework for Multi-Hazard Resilient and Sustainable Buildings,Northeastern University
1455466,2015-02-02,1260000,Standard Grant,RSB: Performance-based Decision Support System for Resilient and Sustainable Multi-Hazard Building Design,Virginia Polytechnic Institute and State University
1525316,2015-02-03,266983,Standard Grant,Collaborative Research: The Impact of Cytoskeletal Dynamics on the Mechanical Behaviors of Cells,Yale University
1532894,2015-02-03,114873,Standard Grant,Collaborative Research: Measuring Information Content of the Artifacts of Early Design,Florida Institute of Technology
1529380,2015-02-06,194821,Standard Grant,Vibration Control of Tall Buildings Using Electricity Generating Tuned Mass Dampers,Virginia Polytechnic Institute and State University
1530965,2015-02-06,118356,Standard Grant,"A Quantitative Investigation of the Impact of Supply Chain Leadership on Coordination under Information, Demand, and Supply Uncertainty",Southern Methodist University
1532136,2015-02-06,355241,Standard Grant,CAREER: Electroactive Graphene-Polymer System with Extreme Actuation and Tunable Properties,Massachusetts Institute of Technology
1533532,2015-02-06,120634,Standard Grant,CAREER:  Integrated Research and Education in Self-powered Micro-sensing for Embedded and Implantable Structural Health Monitoring,Washington University
1535826,2015-02-10,71258,Standard Grant,CAREER:  Exploring Novel Organic Thermoelectric Composites with Hierarchical Architecture and High Figure of Merit,Texas A&M Engineering Experiment Station
1462993,2015-02-20,300000,Standard Grant,"GOALI: Fundamental Studies on High Impact Pressure, Supersonic Water Droplets for Material Deformation and Removal",University of New Hampshire
1463577,2015-02-20,400000,Standard Grant,Bondline Integrity Monitoring of Adhesively Bonded Joints in Aircraft Structures,Stanford University
1518450,2015-02-23,24600,Standard Grant,"Travel Support to Attend the 14th International Conference on Wind Engineering, Port Alegre, Brazil, June 21-26, 2015",Texas Tech University
1462158,2015-02-25,300000,Standard Grant,Learning Graphical Models: Hardness and Tractability,Massachusetts Institute of Technology
1535849,2015-03-06,33401,Standard Grant,"Workshop: Advanced Manufacturing for Smart Goods; Vancouver, Washington; May 19-20, 2015",Oregon State University
1462656,2015-03-10,330000,Standard Grant,Ultrafast Velocity Measurement of Shock Wave using Microwave Photonic Velocimetry,University of Rhode Island
1462752,2015-03-10,310132,Standard Grant,Dynamic Stabilization of Electro-Spinning Process for Production of Inflatable Drug-Delivery Stents,University of Arizona
1463440,2015-03-10,204773,Standard Grant,Collaborative Research: Intentionally Nonlinear Design of High-frequency Atomic Force Microscopy for Enhanced Material Characterization,Texas Tech University
1463558,2015-03-10,290078,Standard Grant,Collaborative Research: Intentionally Nonlinear Design of High-frequency Atomic Force Microscopy for Enhanced Material Characterization,University of Illinois at Urbana-Champaign
1522547,2015-03-10,38536,Standard Grant,"RAPID: Spontaneous Planning, Governance Structure, and a Public Health Emergency: Ebola in Dallas Texas",University of North Texas
1532057,2015-03-10,39939,Standard Grant,RAPID: Modeling Communication Management and Trust Networks in Ebola Response in the Dallas-Fort Worth Metropolitan Region,University of North Texas
1461516,2015-03-12,300682,Standard Grant,Nanoscale Sintering Understanding,Virginia Polytechnic Institute and State University
1462295,2015-03-12,300000,Standard Grant,"Combining Laser Melting, Alloying, and Nanoparticles to Make Harder and Smoother Surfaces on Metal Alloys",University of Wisconsin-Madison
1462389,2015-03-12,299890,Standard Grant,High-density Plasma for Efficient Manufacturing of Electronic Devices,South Dakota State University
1462771,2015-03-12,300000,Standard Grant,Manufacturing Aligned Arrays of Semiconducting Carbon Nanotubes for Faster and More Energy Efficient Next-Generation Electronics,University of Wisconsin-Madison
1462895,2015-03-12,307033,Standard Grant,Mechanics in Photopolymerization Based Additive Manufacturing,Georgia Tech Research Corporation
1463451,2015-03-12,300000,Standard Grant,Large-Scale Fabrication of Multi-Nanopillar Transistors for Energy-Efficient Electronics,University of Texas at Arlington
1462151,2015-03-13,276015,Standard Grant,Optically-based Processing of Nanostructures in Polymer Matrix Nanocomposites,Johns Hopkins University
1462267,2015-03-13,300000,Standard Grant,Construction of Single Molecule Nanostructures by Self-Assembly and Fixation,Regents of the University of Michigan - Ann Arbor
1462499,2015-03-13,199990,Standard Grant,Hydropower Plant on a Chip: Frictionless Nanochannel Systems for Hydroelectric Power Generation,Stevens Institute of Technology
1462622,2015-03-13,198828,Standard Grant,Computationally-Guided Manufacturing of Nanowires and Nanowire Devices,Purdue University
1462648,2015-03-13,300000,Standard Grant,3D Printing of Hierarchical Fiber-Reinforced Soft-Composites,Rensselaer Polytechnic Institute
1462916,2015-03-13,300000,Standard Grant,Nanomanufacturing of Biopolymer Nanofiber Hierarchical Assemblies,Virginia Polytechnic Institute and State University
1463103,2015-03-13,299816,Standard Grant,3D Printing of Smart Structural Composites by Thermoelectric Extrusion with Molecular Precision,"OHIO STATE UNIVERSITY, THE"
1463411,2015-03-13,300000,Standard Grant,Electric Field Guided Micro Additive Manufacturing Process,Northwestern University
