id,date,estimatedTotalAmt,transType,title,awardeeName
1500907,2014-10-17,44898,Standard Grant,BRIGE: A Fully Distributed Multi-Agent System Based Energy Management Solution for Microgrids,Lehigh University
1463987,2014-10-21,161847,Standard Grant,GOALI: ELASTIC WAVE RESONATORS,Worcester Polytechnic Institute
1463756,2014-11-03,161292,Standard Grant,Collaborative Research: A Novel Wireless Power Transmission Architecture for Devices Implanted in Human Bodies,University of Houston
1500007,2014-11-03,151149,Standard Grant,EAGER: Novel photoacoustic sensor using piezoresistive GaN microcantilever,Clemson University
1515677,2014-11-20,127032,Standard Grant,All-Optical Magnonic Spin Torque Devices,Rochester Institute of Tech
1464146,2014-11-21,164385,Standard Grant,Collaborative Research: Kinetics of Autonomous Catalytic Nanomotors in Confined and Crowded Environments,Virginia Polytechnic Institute and State University
1452670,2014-12-17,500000,Standard Grant,CAREER: Static and Dynamic Magnetization Properties of Spintronic Devices,University of Alabama Tuscaloosa
1454411,2014-12-17,500000,Standard Grant,CAREER: Mixed-Signal Photonic Integrated Circuits for Energy-Efficient High-Speed Data Interfaces,Boise State University
1454608,2015-01-05,500000,Standard Grant,CAREER: Ultrasensitive Point-of-Care Diagnostics using Magnetic Biosensors,University of California-San Diego
1454691,2015-01-05,500000,Standard Grant,CAREER: Short-Wavelength Vertical-Cavity Surface-Emitting Laser Arrays Using Nonpolar and Semipolar GaN,University of New Mexico
1452916,2015-01-07,500000,Standard Grant,CAREER: 2D Nanoelectronic Devices Integrated with Nanofluidic Structures for Biosensing Applications,Regents of the University of Michigan - Ann Arbor
1503446,2015-01-08,25000,Standard Grant,"KAUST-NSF Research Conference on Electronic Materials, Devices and Systems for a Sustainable Future at",New Jersey Institute of Technology
1522933,2015-01-14,322949,Standard Grant,CAREER: Novel Nonlinear and Quantum Multimode Optical Fiber and Waveguide Devices,University of New Mexico
1453675,2015-01-16,500000,Standard Grant,CAREER: Interactions of Radiofrequency Electromagnetic Fields with Biological Tissue: New Tools to Address Challenges and Exploit Opportunities,New York University Medical Center
1453921,2015-01-16,500000,Standard Grant,"CAREER: Modeling, Analysis, and Control of Low-Inertia Microgrids",University of Minnesota-Twin Cities
1454022,2015-01-16,500000,Standard Grant,CAREER: Systemic Performance and Robustness Measures for Large-Scale Dynamical Networks,Lehigh University
