id,date,estimatedTotalAmt,transType,title,awardeeName
1460461,2015-01-05,357920,Standard Grant,"REU site: Offshore wind energy: Solving the Engineering, Environmental & Socio-Economic Challenges.",University of Massachusetts Amherst
1460674,2015-01-06,412151,Standard Grant,Research Experience for Undergraduates (REU) Site for Computational Sensing and Medical Robotics (CS&MR),Johns Hopkins University
1460995,2015-01-09,399997,Standard Grant,EBICS:VITA REU Site,Georgia Tech Research Corporation
1461038,2015-01-09,360000,Standard Grant,REU Site: Discoveries in Bioimaging,University of Illinois at Urbana-Champaign
1461116,2015-01-09,482687,Standard Grant,Explore it! Building the Next Generation of Sustainable Forest Bioproduct Researchers,University of Maine
1461152,2015-01-09,360757,Standard Grant,REU Site: Integrated Nanomanufacturing,Trustees of Boston University
1461165,2015-01-09,344099,Standard Grant,REU Site: Research Experience in Cyber and Civil Infrastructure Security for Students with ADHD: Fostering Innovation,University of Connecticut
1460486,2015-01-12,376672,Standard Grant,REU Site:  A Multidisciplinary Research Experience in Engineered Bioactive Interfaces and Devices,University of Kentucky Research Foundation
1460776,2015-01-12,361264,Standard Grant,"REU Site: Earth, Wind, and Fire: Sustainable Energy in the 21st Century",Kansas State University
1461215,2015-01-12,322510,Standard Grant,REU Site: Summer Engineering Research Experiences in Diabetes for Undergraduates,Illinois Institute of Technology
1460183,2015-01-14,348405,Standard Grant,REU Site in Additive Manufacturing- Advances and Applications,Milwaukee School of Engineering
1451657,2015-01-20,21000,Standard Grant,University of Puerto Rico-Mayaguez Early Career Faculty Research Enhancement,University of Puerto Rico Mayaguez
1460935,2015-01-20,252096,Standard Grant,REU SITE: Summer Internships in Composites for Extreme Performance,North Carolina State University
1454558,2015-01-21,500000,Standard Grant,CAREER: Assessing and Improving Online Learning Spaces for Diverse and High-Attrition Engineering Students,Purdue University
1460723,2015-01-21,360000,Standard Grant,REU Site:  Research in Optics (RIO) at the University of Arizona,University of Arizona
1449238,2015-01-23,500000,Standard Grant,CAREER: Authentic Modeling and Simulation Practices for Enhancing Model-Based Reasoning in Engineering Education,Purdue University
1461192,2015-01-23,287684,Standard Grant,REU Site: BME Community of Undergraduate Research Scholars for Cancer (BME CUReS Cancer),University of Texas at Austin
1454152,2015-01-26,505375,Standard Grant,CAREER: Broadening Contexts to Motivate Participation in Engineering,Purdue University
1461248,2015-02-03,327818,Standard Grant,Nanotechnology REU with a Focus on Community Colleges,William Marsh Rice University
1516074,2015-02-09,105427,Standard Grant,IUCRC RAPID: Collaborative Research: Rapid Detection & Systems Modeling for Containment and  Casualty Mitigation in Ebola Outbreak,Georgia Tech Research Corporation
1516207,2015-02-09,94573,Standard Grant,IUCRC RAPID: Collaborative Research: Rapid Detection & Systems Modeling for Containment and Casualty Mitigation in Ebola Outbreak,University of Wisconsin-Milwaukee
1461231,2015-02-17,335572,Standard Grant,REU Site: Engineering Applications of Extreme Ultra-Violet (EUV) Laser Light,Colorado State University
1407165,2015-02-24,375000,Standard Grant,RET in Engineering and Computer Science Site: Integrated Nanomanufacturing,Trustees of Boston University
1460988,2015-02-25,356668,Standard Grant,REU Site: Advanced Materials and Manufacturing,University of Massachusetts Lowell
1460984,2015-02-27,365845,Standard Grant,"REU Site: A National REU Site in Wind Energy Science, Engineering and Policy",Iowa State University
1533561,2015-03-02,49981,Standard Grant,Early Career Faculty Travel Grant Program,National Society of Black Engineers
