id,date,estimatedTotalAmt,transType,title,awardeeName
1523295,2015-03-12,463233,Standard Grant,Exploring Innovation Frontiers Initiative,Council on Competitiveness
1505123,2015-03-24,110000,Standard Grant,"2015 Frontiers of Engineering Symposia (German-American: Potsdam, Germany, April 2015; China-America: Irvine, California, June 2015; U.S.: Irvine, California, September 2015)",National Academy of Sciences
1542707,2015-07-01,2000000,Standard Grant,EFRI 2-DARE: Two-dimensional nanopores with electro-optical control for next generation biotechnological applications,University of Pennsylvania
1542815,2015-07-10,2000000,Standard Grant,EFRI 2-DARE: Few-layer and Thin-film Black Phosphorus for Photonic Applications,Yale University
1539798,2015-07-16,1131250,Standard Grant,"The Future of Center-Based, Multidisciplinary Engineering Research",National Academy of Sciences
1542864,2015-07-20,1999966,Standard Grant,EFRI 2DARE: Thermal Transport in 2D Materials for Next Generation Nanoelectronics- From Fundamentals to Devices,University of Illinois at Chicago
1542879,2015-07-20,1999999,Standard Grant,EFRI 2-DARE: Functionalized Monolayer Heterostructures for Biosensors with Optical Readout,University of Pennsylvania
1542883,2015-07-20,2000000,Standard Grant,EFRI 2-DARE: Energy Efficient Electronics with Atomic Layers (E3AL),Stanford University
1542863,2015-08-13,1999994,Standard Grant,EFRI 2-DARE: Excitonics and Polaritonics using 2D materials (ExPo2D),CUNY City College
1542741,2015-08-25,2000000,Standard Grant,EFRI 2-DARE: Valley Optoelectronics with Atomically Thin Transition Metal Dichalcogenides,University of California-Berkeley
1542807,2015-08-28,2000000,Standard Grant,"EFRI 2-DARE: Quantum Optoelectronics, Magnetoelectronics and Plasmonics in 2-Dimensional Materials Heterostructures",Harvard University
1433459,2015-09-02,2000000,Continuing Grant,"EFRI 2-DARE: Phosphorene, an Unexplored 2D High-mobility Semiconductor",Purdue University
1552534,2015-09-09,5801323,Cooperative Agreement,Consortium for Advanced Manufacturing Foresights: Defining the Critical Needs of the Advanced Manufacturing Research Community,Regents of the University of Michigan - Ann Arbor
1542747,2015-09-11,1999999,Standard Grant,EFRI 2-DARE: From Atoms to Devices: Pathways to Atomic Layer Optoelectronics via Multi-Scale Imaging and Spectroscopy,University of Texas at Austin
1542798,2015-09-13,2000000,Continuing Grant,EFRI 2-DARE: Engineering novel topological interface states in 2D chalcogenide heterostructures,Rutgers University New Brunswick
1551283,2015-10-28,162417,Standard Grant,Collaborative Research: EFRI-REM: Mentoring Catalyst Initiative,University of Wisconsin-Madison
1551323,2015-10-28,137493,Standard Grant,Collaborative Research: EFRI-REM Mentoring Catalyst Initiative,North Carolina State University
1551018,2015-11-03,50000,Standard Grant,EAGER: Influence of source location and type of demolition waste in New York City and Istanbul on the properties and sustainability of concrete with recycled concrete aggregate,CUNY City College
1606406,2015-11-15,957251,Standard Grant,EFRI-BioFlex: A Flexible Glucose Fuel Cell,Dartmouth College
1623796,2016-01-27,16808,Standard Grant,Support for 2016 Workshop on EFRI-ODISSEI Research,Florida International University
1628237,2016-03-30,92953,Standard Grant,EAGER Germination: From 0 to 2,University of Minnesota-Twin Cities
1628916,2016-03-30,99996,Standard Grant,EAGER Germination: Cultivating Creativity and Innovation in Engineering Research through Mindfulness Training,University of Wisconsin-Madison
1629367,2016-03-30,100000,Standard Grant,EAGER Germination: Crystallizing Transformative Ideas by Seeding a Diverse Knowledge Community,University of Illinois at Urbana-Champaign
1629586,2016-03-30,100000,Standard Grant,EAGER Germination: A Seed-Funding and Analytics Platform for High-Risk/High-Impact Research,University of Chicago
1629659,2016-03-30,99991,Standard Grant,EAGER Germination: Aligning Stakeholders and Structures to Enable Risk Taking (ASSERT),Boise State University
1640988,2016-04-14,42320,Contract Interagency Agreement,NSF's Contribution Towards the Federal Lab Consortium (IAA),NIST/Center for Atomic Molecular and Optical Physics
1640008,2016-05-11,49728,Standard Grant,Biomedical Science and Engineering Summer School,University of Connecticut Health Center
1611723,2016-07-19,140000,Standard Grant,"2016 Frontiers of Engineering Symposia (Japan-America: Irvine, California, June 2016; U.S.: Houston, Texas, September 2016; and European Union-U.S.: October 2016)",National Academy of Sciences
1650680,2016-07-28,23528,Contract Interagency Agreement,NSF's Contribution Towards the Federal Lab Consortium (IAA),NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY
1640959,2016-08-02,2000000,Standard Grant,EFRI ACQUIRE: Integrated Nanophotonic Solid State Memories for Telecom Wavelength Quantum Repeaters,Yale University
1640968,2016-08-02,2000000,Standard Grant,EFRI ACQUIRE: Microchip Photonic Devices for Quantum Communication over Fiber,University of California-San Diego
1640986,2016-08-02,2000000,Standard Grant,EFRI ACQUIRE: An Integrated Quantum Communication Transmission Node,University of Washington
1641064,2016-08-02,2000000,Standard Grant,EFRI ACQUIRE: Scalable Quantum Communications with Error-Corrected Semiconductor Qubits,Massachusetts Institute of Technology
1641094,2016-08-02,2000000,Standard Grant,EFRI ACQUIRE: Development of Heterogenous Platform for Chip-Based Quantum Information Applications,Columbia University
1641099,2016-08-02,2000000,Standard Grant,EFRI ACQUIRE: A Scalable Integrated Quantum Photonic Interconnect,University of Rochester
1641078,2016-08-03,2000000,Standard Grant,"EFRI NewLAW: Dynamic Elastic media: Passive and Active non-Reciprocal Theory, Experiment and Design",Rutgers University New Brunswick
1651359,2016-08-04,80000,Standard Grant,EAGER:   Minimally invasive biosensors for detecting flavivirus infection,North Carolina State University
1640860,2016-08-08,1943863,Standard Grant,EFRI NewLAW:: Non-reciprocal Elastic Wave Propagation in dynamically modulated Photo-elastic media,University of Arizona
1641069,2016-08-08,2000000,Standard Grant,"EFRI NewLAW: New frontiers for topologically-protected propagation of light, sound, elastic and mechanical waves",University of Texas at Austin
1641084,2016-08-08,2000000,Standard Grant,EFRI NewLAW: Reconfigurable pathways and directionality for sound using time-varying engineered materials,University of Illinois at Urbana-Champaign
1641100,2016-08-08,2000000,Standard Grant,EFRI NewLAW: Novel Approaches to RF Non-Reciprocity in Semiconductor Systems,Columbia University
1641101,2016-08-08,1963939,Standard Grant,EFRI NewLaw: Controlling Thermal Transport with Topologically Guided Heat Carriers,Purdue University
1641109,2016-08-08,2000000,Standard Grant,EFRI NewLAW: Engineering Multiscale Photonic Systems with Broken Time-Reversal Invariance,Washington University
1641128,2016-08-08,2000000,Standard Grant,"EFRI NewLAW: Non-Reciprocal, Parametric Amplification of Acoustic Waves for Future Generation of RF Front-Ends",University of California-Los Angeles
1641989,2016-08-08,2000000,Standard Grant,EFRI NewLAW: Non-Reciprocal Magneto-Acoustic Waves in Chiral Magnetic Systems,University of California-Irvine
1638298,2016-08-15,49999,Standard Grant,"U.S. Travel Fellowships to the 24th International Congress of Theoretical and Applied Mechanics; Montreal, Canada; August 21-26, 2016",National Academy of Sciences
1643182,2016-08-15,900000,Continuing Grant,Grand Challenges and Opportunities in Environmental Engineering and Science for the Twenty-first Century,National Academy of Sciences
1651323,2016-08-31,49997,Standard Grant,FRONTIERS OF ENGINEERING EDUCATION SYMPOSIUM,National Academy of Sciences
1664275,2017-01-26,113762,Standard Grant,Collaborative Research: RIPS Type 1: Human Geography Motifs to Evaluate Infrastructure Resilience,New York University
1722658,2017-03-01,1097647,Standard Grant,Collaborative Research:   RIPS Type 2: Quantifying Disaster Resilience of Critical Infrastructure-based Societal Systems with Emergent Behavior and Dynamic Interdependencies,George Mason University
1721198,2017-03-08,49500,Standard Grant,NSF EFRI-2DARE Grantees Meeting 2016,Cornell University
1742991,2017-04-20,24696,Contract Interagency Agreement,NSF's 2017 Contribution Towards the Federal Lab Consortium (IAA),NIST/Center for Atomic Molecular and Optical Physics
1724425,2017-05-02,110000,Standard Grant,"2017 Frontiers of Engineering Symposia (US, German-America, China-America, EU-US)",National Academy of Sciences
1741565,2017-07-10,2000000,Standard Grant,EFRI NewLAW: Non-reciprocity in Acoustic Systems with Nonlinear Hierarchical Internal Structure and Asymmetry,Georgia Tech Research Corporation
