id,date,estimatedTotalAmt,transType,title,awardeeName
1464824,2014-10-17,71255,Continuing Grant,Collaborative Research:  P2C2--Controls on Water Isotope Variability in the Tropical Pacific: A Strategy to Improve Paleoclimate Interpretations,Oregon State University
1459489,2014-10-29,20000,Standard Grant,"Travel Support for Young Scientists to Attend the 7th International GEOS-Chem Meeting (IGC7) held at Harvard University; Cambridge, MA; May 4-7, 2015",Harvard University
1464458,2014-11-03,99426,Standard Grant,EAGER: Quantifying Reversible and Irreversible Aqueous Secondary Organic Aerosol (SOA) Formation in the Atmosphere,University of Maryland Baltimore County
1454125,2014-11-05,68200,Standard Grant,RAPID: The GNSS Instrument System for Multistatic and Occultation Sensing (GISMOS) for Future Application to Precipitation Processes in Atmospheric River Events,University of California-San Diego Scripps Inst of Oceanography
1440425,2014-11-18,313872,Standard Grant,RUI Ramifications of Ethanol Usage as a Biofuel: Quantifying Sources and Impacts on the Light Absorbing Properties of Rainwater,University of North Carolina at Wilmington
1418309,2014-12-05,283791,Standard Grant,"Collaborative Research: Self-Aggregation of Moist Convection, Radiative-Convective Instability, and the Regulation of Tropical Climate",SUNY at Stony Brook
1418508,2014-12-05,314878,Standard Grant,"Collaborative Research: Self-Aggregation of Moist Convection, Radiative-Convective Instability, and the Regulation of Tropical Climate",Massachusetts Institute of Technology
1419614,2014-12-05,449942,Continuing Grant,Turbulent Flows and Scalar Transport in the Forest-Atmosphere Interface over a Complex Terrain,Washington State University
1431053,2014-12-05,86000,Fellowship Award,AGS-PRF:  Aerosols in Shallow Tropical Convection: Impact on Cloud Microphysics and Precipitation,Nugent                  Alison         D
1461305,2014-12-05,49915,Standard Grant,International Workshop on Comparing Ice Nucleation Measuring Systems 2014 (ICIS 2014),Massachusetts Institute of Technology
1441916,2014-12-08,493011,Standard Grant,Tropical Intraseasonal Variability in Models and Observations,Colorado State University
1450811,2014-12-10,177632,Standard Grant,Revisiting Coupled Instability Theory and the Initiation of ENSO (El Nino/Southern Oscillation),University of Miami
1359645,2014-12-15,749999,Continuing Grant,Airborne Measurements of the Nocturnal Low-level Jet and Wave Disturbances in the Stable Boundary Layer in PECAN (Plains Elevated Convection At Night),University of Wyoming
