id,date,estimatedTotalAmt,transType,title,awardeeName
1357216,2014-11-18,278746,Continuing Grant,"Collaborative Research: Elucidating Conduit, Eruption, and Pyroclast Transport Dynamics of Large Silicic Submarine Eruptions",Woods Hole Oceanographic Institution
1357443,2014-11-18,454871,Continuing Grant,"Collaborative Research: ELUCIDATING CONDUIT, ERUPTION AND PYROCLAST TRANSPORT DYNAMICS OF LARGE SILICIC SUBMARINE ERUPTIONS",University of Hawaii
1464396,2014-11-18,163684,Standard Grant,Collaborative Research:   Calibration and application of vascular plant and aqueous microbial biomarkers to examine transformations of dissolved organic matter,Florida State University
1503430,2014-11-18,20587,Standard Grant,Collaborative Research: RAPID: A hyper-thermal anomaly in the Florida Reef Tract: An opportunity to explore the mechanisms underpinning patterns of coral bleaching and disease,University of Miami
1503483,2014-11-18,177913,Standard Grant,Collaborative Research:RAPID: A hyper-thermal anomaly in the Florida Reef Tract: An opportunity to explore the mechanisms underpinning patterns of coral bleaching and disease,Florida International University
1355870,2014-12-03,64720,Continuing Grant,"Collaborative Research: The Thermal Regime of the Hikurangi Subduction Zone and Shallow Slow Slip Events, New Zealand.",University of California-Santa Cruz
1355878,2014-12-03,297144,Continuing Grant,"Collaborative Research:  The Thermal Regime of the Hikurangi Subduction Zone and Shallow Slow Slip Events, New Zealand",Oregon State University
1435056,2014-12-05,328737,Continuing Grant,Collaborative Research: GEOTRACES Arctic Section: Marine Cycling of Bioactive Trace Metals in the Arctic Ocean,Woods Hole Oceanographic Institution
1436694,2014-12-05,515901,Continuing Grant,Collaborative Research: GEOTRACES Arctic Section: Marine Cycling of Bioactive Trace Metals in the Arctic Ocean,University of South Carolina at Columbia
1439253,2014-12-05,366783,Continuing Grant,GEOTRACES Arctic Section: Shipboard determination of key trace elements,University of Hawaii
1505158,2014-12-05,163308,Standard Grant,"RAPID: Tracking Recovery from the 2014 Coral Bleaching Event in Hawaiian Waters: Water Quality Gradients, Ecological Factors, and Reef Resilience to Climate Change",University of Hawaii
1434493,2014-12-10,497314,Continuing Grant,GEOTRACES Arctic section: Dissolved micronutrient trace metal distributions and size partitioning,Rutgers University New Brunswick
1464484,2014-12-10,325885,Standard Grant,Defining the noble gas composition of highly depleted mantle domains,University of California-Davis
1434650,2014-12-16,178759,Continuing Grant,Collaborative Research: GEOTRACES Arctic Section: Mercury Speciation and Cycling in the Arctic Ocean,Wright State University
1434653,2014-12-16,393680,Continuing Grant,Collaborative Research: GEOTRACES Arctic Section: Mercury Speciation and Cycling in the Arctic Ocean,Woods Hole Oceanographic Institution
1464392,2014-12-18,149844,Standard Grant,Collaborative Research:  Marine priming effect - molecular mechanisms for the biomineralization of terrigenous dissolved organic matter in the ocean,Florida State University
1505604,2014-12-22,394395,Standard Grant,"Collaborative Research: Identification of nitrogen sources for toxic Alexandrium blooms using a novel species-specific tracer, d15N-saxitoxin",College of William & Mary Virginia Institute of Marine Science
1518110,2014-12-22,203412,Continuing Grant,Collaborative Research: GEOTRACES Pacific Section: The Geochemistry of Size-fractionated Suspended Particles Collected by In-situ Filtration,University of California-Santa Cruz
1514859,2015-01-05,158420,Standard Grant,RAPID collaborative proposal:  Will corals recover from bleaching under ocean acidification conditions?,"OHIO STATE UNIVERSITY, THE"
1514861,2015-01-05,27880,Standard Grant,RAPID collaborative proposal:  Will corals recover from bleaching under ocean acidification conditions?,University of Hawaii
1516411,2015-01-05,18225,Standard Grant,RAPID: Collaborative Research: Surviving Climate Change - The Role of Acclimatization in Reef-Building Corals,University of Miami
1516763,2015-01-05,138816,Standard Grant,RAPID: Collaborative Research: surviving climate change - the role of acclimatization in reef-building corals,Pennsylvania State Univ University Park
