id,date,estimatedTotalAmt,transType,title,awardeeName
1433651,2014-12-10,30000,Standard Grant,Doctoral Dissertation Improvement Grant:  Reindeer and Dogs in Modern Tozhu Mixed Economy in the Republic of Tyva (Russia),University of Alaska Fairbanks Campus
1341712,2014-12-16,198158,Standard Grant,"Collaborative Proposal: Decades-long Experiment on Wind-Driven Rock Abrasion in the Ice-Free Valleys, Antarctica",University of Washington
1341754,2014-12-16,193994,Standard Grant,"Collaborative Proposal: Decades-long Experiment on Wind-Driven Rock Abrasion in the Ice-Free Valleys, Antarctica",Malin Space Science Systems Inc
1417609,2014-12-16,11486,Standard Grant,Doctoral Dissertation Improvement Grant: Detecting Epidemiologic Transitions in Pre-Contact Kodiak,University of Washington
1464733,2014-12-23,8961,Continuing Grant,Learning about environmental research in the context of climate change: an international scholastic interchange,University of Alaska Fairbanks Campus
1360624,2015-01-09,48737,Standard Grant,The Place Names of Franz Josef Land:  A workshop on the historical geography of an archipelago of polar explorers,Pennsylvania State Univ University Park
1500667,2015-01-26,345996,Contract Interagency Agreement,Defense Information Systems Agency (DISA),Defense Information Systems Agency
1341728,2015-01-28,376812,Continuing Grant,"EXPROBE-WAIS: Exposed Rock Beneath the West Antarctic Ice Sheet, A Test for Interglacial Ice Sheet Collapse",University of Washington
1417462,2015-01-28,29505,Standard Grant,Doctoral Dissertation Improvement Grant: Alaska Native Leaders Knowledge: Impact on Policy Implementation and Resource Management,University of Alaska Fairbanks Campus
1418268,2015-01-28,30240,Standard Grant,Doctoral Dissertation Research:  The Economic and Socialcultural Effects of Developing Cyber-Infrastructure for Global information Storage in Iceland,University of California-Santa Cruz
1464167,2015-02-03,82159,Standard Grant,Sweden-US Workshop to Discuss Potential Joint-Arctic Research using the I/B Oden,Bigelow Laboratory for Ocean Sciences
1500169,2015-02-04,435075,Standard Grant,Detecting the Signature of Permafrost Thaw in Arctic Rivers,Florida State University
1417772,2015-02-06,683881,Continuing Grant,"Colonization and Christianity:  the development of Viking Age and medieval hierarchies in Skagafjordur, North Iceland",University of Massachusetts Boston
1535542,2015-02-09,768603,Contract Interagency Agreement,Aviation Managment Service,Department of Interior
1534673,2015-02-23,49024,Standard Grant,The Second Polar Data Forum: Understanding the Polar Regions through Globally Collaborative Data Management,University of Colorado at Boulder
1443267,2015-03-09,120000,Standard Grant,"Collaborative Research: Using Stable Isotopes to Constrain the Atmospheric Carbon Monoxide Budget over the Last 20,000 Years",University of Rochester
1443482,2015-03-09,209886,Standard Grant,"Collaborative Research: Using Stable Isotopes to Constrain the Atmospheric Carbon Monoxide Budget over the Last 20,000 Years",SUNY at Stony Brook
1443703,2015-03-09,330458,Continuing Grant,Assimilative Mapping of Interhemispheric Polar Ionospheric Electrodynamics,University of Colorado at Boulder
1445635,2015-03-11,600000,Continuing Grant,Activities of the Polar Research Board,National Academy of Sciences
1533726,2015-03-16,65386,Standard Grant,Arctic Science Summit Week 2015 Travel Support,University of Alaska Fairbanks Campus
1341557,2015-03-24,864803,Continuing Grant,Troposphere-Ionosphere Coupling via Atmospheric Gravity Waves,Boston College
1443320,2015-03-24,80931,Standard Grant,A Study of the Tidal Modulation of Ice-shelf Flow using a Viscoelastic Model of the Ross Ice Shelf,"University of Maryland, College Park"
1443550,2015-03-24,432410,Continuing Grant,"Controls on Variations in Atmospheric Carbon Dioxide and Nitrous Oxide During the Last 10,000 years",Oregon State University
1417767,2015-03-25,499956,Continuing Grant,"RCN: Facilitating Indigenous Research, Science and Technology (FIRST) in Alaska, Hawai'i, and the Continental U.S.",University of Kansas Center for Research Inc
1443637,2015-03-26,544756,Standard Grant,Analysis of Voltage-gated Ion Channels in Antarctic Fish,University of Texas at Austin
1541226,2015-03-30,1866000,Contract,CCG LSSL ship time for Beaufort Gyre support,Fisheries and Oceans Canada
1506155,2015-03-31,562490,Continuing Grant,A Dartmouth-JSEP Partnership for International Science Education in Greenland,Dartmouth College
1542032,2015-04-10,6035,Contract Interagency Agreement,The Council of Managers of National Antarctic Programs (COMNAP),University of Canterbury
