id,date,estimatedTotalAmt,transType,title,awardeeName
1464189,2014-10-16,68729,Standard Grant,Enhancing Accessibility in the Geoscience: A Field-Based Workshop for Accommodating Students with Disabilities,University of Cincinnati Main Campus
1441845,2014-12-08,1110000,Continuing Grant,Global Engagement and Collaboration: Strategic Initiatives of the U.S. National Committees for the Geosciences,National Academy of Sciences
1505241,2015-01-09,43867,Standard Grant,Collaborative Research: Initial development of the US Hub of the Future Earth Secretariat,Colorado State University
1505243,2015-01-09,31091,Standard Grant,Collaborative Research: Initial Development of the U.S. Hub of the Future Earth Secretariat,University of Colorado at Boulder
1440149,2015-02-06,3923577,Continuing Grant,USGCRP Support for International START Secretariat,"START International, Inc."
1528209,2015-02-10,200000,Standard Grant,GLOBE@20 Project,WestEd
1523628,2015-02-18,1163947,Standard Grant,CNH:   Ecosystems and Societies: Divergent Trajectories and Coevolution,Michigan State University
1450554,2015-04-15,1112223,Continuing Grant,Collaborative Research: Development of the U.S. Hub of the Future Earth Secretariat,University of Colorado at Boulder
1450657,2015-04-15,664775,Continuing Grant,Collaborative Research: Development of the U.S. Hub of the Future Earth Secretariat,Colorado State University
1542067,2015-04-29,74486,Standard Grant,ENGAGE: Educating the Next Generation of Geoscientists,San Francisco State University
1540718,2015-06-01,28140,Standard Grant,COLLABORATIVE RESEARCH: Getting it right. A strategic planning workshop to develop a sustainable pathway for educating underrepresented Puerto Rican students in geosciences,Universidad Del Turabo
1541071,2015-06-01,19580,Standard Grant,COLLABORATIVE RESEARCH: Getting it right. A strategic planning workshop to develop a sustainable pathway for educating underrepresented Puerto Rican students in geosciences,University of Maryland Center for Environmental Sciences
1545271,2015-06-15,75694,Standard Grant,"A Belmont Forum Scoping Workshop on Food, Water & Energy for Sustainable Global Urbanization: Accelerating Transitions to Sustainable Consumption and Production",University of Colorado at Boulder
1524216,2015-07-07,275877,Standard Grant,19th Annual GLOBE Partner Meeting and GLOBE Working Groups Meeting,University of California-Los Angeles
1536175,2015-07-15,451007,Continuing Grant,Arctic Observing and Science for Sustainability,University of Washington
1517823,2015-07-17,1799931,Standard Grant,"CNH-L: Linking Land-Use Decision Making, Water Quality, and Lake Associations to Understand Human-Natural Feedbacks in Lake Catchments",Virginia Polytechnic Institute and State University
1540195,2015-07-20,343272,Continuing Grant,Belmont Forum Collaborative Research: Delivering Food Security on Limited Land,University of Minnesota-Twin Cities
1540674,2015-07-21,424976,Standard Grant,Collaborative Research:  GP-EXTRA:  Preparing GeoSTEM Teachers for the Arctic Region (GeoSTEM),University of Alaska Fairbanks Campus
1544268,2015-07-21,267578,Standard Grant,Service-Learning in Undergraduate Geosciences: A Public Workshop,National Academy of Sciences
1540545,2015-07-22,237230,Standard Grant,GP-EXTRA: Supporting the Academic and Social Integration of Incoming Transfer Students,Fort Lewis College
1540702,2015-07-22,499855,Standard Grant,GP-EXTRA:  Building an affective pathway to the geosciences through experiential learning opportunities for non-geoscience majors,Clemson University
1531086,2015-07-24,589927,Continuing Grant,Belmont Forum Collaborative Research: Food Security and Land Use: The Telecoupling Challenge,Michigan State University
1540589,2015-07-27,226033,Standard Grant,GP-IMPACT: Broadening pathways to geosciences with an integrated program at The University of Michigan,Regents of the University of Michigan - Ann Arbor
1540596,2015-07-27,288404,Standard Grant,GP-IMPACT - Pathways into Geosciences at the University of Arizona,University of Arizona
1540721,2015-07-27,496786,Standard Grant,GP-EXTRA: Recruiting and Retaining Non-geoscience Minority STEM Majors for the Geoscience Workforce,CUNY New York City College of Technology
1540726,2015-07-27,414636,Standard Grant,GP EXTRA: MINORITIES STRIVING AND PURSUING HIGHER DEGREES OF SUCCESS in GEO REU (MS PHD?S-GEO REU) PROFESSIONAL DEVELOPMENT PROGRAM,Institute for Broadening Participation
1540731,2015-07-27,84815,Standard Grant,GP EXTRA: Minorities Striving and Pursuing Higher Degrees of Success in GEO REU (MS PHD'S-GEO REU) Professional Development Program,University of Texas at Arlington
1459322,2015-07-28,2493000,Continuing Grant,US Government Support for IAI Core Budget 2014-2017,Inter-American Institute for Global Change Research
1540901,2015-07-28,89990,Standard Grant,EarthCube IA: Collaborative Proposal: Integrated GeoScience Observatory,University of Chicago
1540937,2015-07-28,20000,Standard Grant,EarthCube IA: Collaborative Proposal: Integrated GeoScience Observatory,University of Southern California
1540996,2015-07-28,113015,Standard Grant,EarthCube IA: Collaborative Proposal: LinkedEarth: Crowdsourcing Data Curation & Standards Development in Paleoclimatology,Northern Arizona University
1541007,2015-07-28,72116,Standard Grant,EarthCube IA: Collaborative Proposal: Integrated GeoScience Observatory,Virginia Polytechnic Institute and State University
1541010,2015-07-28,100000,Standard Grant,EarthCube IA: Collaborative Proposal: Integrated GeoScience Observatory,University of Colorado at Boulder
1541029,2015-07-28,684779,Standard Grant,EarthCube IA: Collaborative Proposal: LinkedEarth: Crowdsourcing Data Curation & Standards Development in Paleoclimatology,University of Southern California
1541057,2015-07-28,517718,Standard Grant,EarthCube IA: Collaborative Proposal: Integrated GeoScience Observatory,SRI International
1516912,2015-07-30,1491539,Standard Grant,"CNH-L: Science-Driven, Community-Based Approach to Reducing Glacier Lake Outburst Flood Risks",University of Texas at Austin
1540700,2015-07-30,154360,Standard Grant,EarthCube IA: Collaborative Proposal: Enhancing Paleontological and Neontological Data Discovery API,Florida State University
1540719,2015-07-30,311994,Standard Grant,GP-Impact: Improving Geoscience Education Pathways through Engaging Scientific and Career Experiences,University of Rhode Island
1540902,2015-07-30,172303,Standard Grant,EarthCube IA: Collaborative Proposal: Enhancing Paleontological and Neontological Data Discovery API,American Museum Natural History
1540929,2015-07-30,115394,Standard Grant,EarthCube IA: Collaborative Proposal: Enhancing Paleontological and Neontological Data Discovery API,George Mason University
1540977,2015-07-30,68118,Standard Grant,EarthCube IA: Collaborative Proposal: Building Interoperable Cyberinfrastructure (CI) at the Interface between Paleogeoinformatics and Bioinformatics,University of California - Merced
1540979,2015-07-30,199895,Standard Grant,EarthCube IA: Collaborative Proposal: Building Interoperable Cyberinfrastructure (CI) at the Interface between Paleogeoinformatics and Bioinformatics,Pennsylvania State Univ University Park
1540984,2015-07-30,274244,Standard Grant,EarthCube IA: Collaborative Proposal: Enhancing Paleontological and Neontological Data Discovery API,Yale University
1540994,2015-07-30,78000,Standard Grant,EarthCubeIA:  Collaborative Proposal: Building Interoperable Cyberinfrastructure (CI) at the Interface between Paleogeoinformatics and Bioinformatics,Kent State University
1540997,2015-07-30,252843,Standard Grant,EarthCube IA: Collaborative Proposal: Building Interoperable Cyberinfrastructure (CI) at the Interface between Paleogeoinformatics and Bioinformatics,George Mason University
1541002,2015-07-30,228770,Standard Grant,EarthCube IA: Collaborative Proposal: Building Interoperable Cyberinfrastructure (CI) at the Interface between Paleogeoinformatics and Bioinformatics,University of Wisconsin-Madison
1541015,2015-07-30,70088,Standard Grant,EarthCube IA: Collaborative Proposal: Building Interoperable Cyberinfrastructure (CI) at the Interface between Paleogeoinformatics and Bioinformatics,University of Oregon Eugene
1541028,2015-07-30,82734,Standard Grant,EarthCube IA: Collaborative Proposal: Enhancing Paleontological and Neontological Data Discovery API,"The Geological Society of America, Inc."
1540652,2015-08-03,308376,Standard Grant,GP-EXTRA: Engaging Students in Inclusive Geoscience Field Experiences via Onsite-Remote Partnerships,James Madison University
1518563,2015-08-04,1525274,Standard Grant,CNH-L: Adaptive Coupling of Human Environment Linkages in Response to Globally Driven Changes in Subsistence in Rural Alaska,University of Alaska Fairbanks Campus
1540730,2015-08-04,371056,Standard Grant,GP-Impact: Freshman Year to Geoscience Career,CUNY Queens College
1541620,2015-08-04,44472,Standard Grant,EarthCube RCN: Collaborative Research: Research Coordination Network for High-Performance Distributed Computing in the Polar Sciences,University of Colorado at Boulder
1542052,2015-08-04,27300,Standard Grant,EarthCube RCN: Collaborative Research: Research Coordination Network for High-Performance Distributed Computing in the Polar Sciences,University of Notre Dame
1542058,2015-08-04,27326,Standard Grant,EarthCube RCN: Collaborative Research: Research Coordination Network for High-Performance Distributed Computing in the Polar Sciences,SUNY at Stony Brook
1542110,2015-08-04,200879,Standard Grant,EarthCube RCN: Collaborative Research: Research Coordination Network for High-Performance Distributed Computing in the Polar Sciences,Rutgers University New Brunswick
1546713,2015-08-10,338810,Standard Grant,United States Regional GLOBE Science Fairs,University of New Hampshire
1434450,2015-08-13,400000,Continuing Grant,IAI Professional Development Seminars to develop capacity building for global environmental change science and its policy application in the Americas,Inter-American Institute for Global Change Research
1540631,2015-08-18,348182,Standard Grant,GP-EXTRA: TU GEO Careers (Towson University Geoscience Educational Opportunities for Careers),Towson University
