id,date,estimatedTotalAmt,transType,title,awardeeName
1518599,2014-12-04,608298,Contract Interagency Agreement,Library of Congress (FEDLINK),Library of Congress
1541931,2015-04-28,1227943,Contract Interagency Agreement,"IAA for DOI, Acquisition Servives Directorate (AQD)",ACQUISITION SERVICES DIRECTORATE NATIONAL BUSINESS CENTER
1546995,2015-07-20,720881,Contract Interagency Agreement,ID Card Office Support,ACQUISITION SERVICES DIRECTORATE NATIONAL BUSINESS CENTER
1556179,2015-09-11,96858,Contract Interagency Agreement,IAA between DAS and Bureau of the Fiscal Service,"Administrative Resource Center, Treasury Franchise Services"
1623784,2016-01-13,715000,Contract Interagency Agreement,Interagency Agreement (IAA) 1623784,Library of Congress
1657642,2016-08-29,86143,Contract Interagency Agreement,IAA Between NSF/DAS and Treasury BFS for employee relocation support services.,"Administrative Resource Center, Treasury Franchise Services"
1706637,2016-11-03,10560,Contract Interagency Agreement,Inter Agency Agreement.,DEPARTMENT OF STATE
1723195,2016-12-22,577538,Contract Interagency Agreement,FEDLINK,Library of Congress
1723089,2017-02-08,105200,Contract Interagency Agreement,IAA with NARA.,National Archives and Records Administration
1745819,2017-07-24,750000,Contract Interagency Agreement,PrintWise,Government Printing Office
1750912,2017-07-24,565610,Contract Interagency Agreement,Interagency Agreement,Department of Interior
1758677,2017-09-06,89505,Contract Interagency Agreement,"Interagency Agreement with Administrative Resource Center, Treasury. For NSF employee relocation services.","Administrative Resource Center, Treasury Franchise Services"
1711509,2017-09-12,800,Contract Interagency Agreement,Inter Agency Agreement.,"GSA, OFFICE OF ACQUISITION SYSTEMS"
1802374,2017-10-24,8470,Contract Interagency Agreement,IAA for special issuance passports.,DEPARTMENT OF STATE
1803745,2017-11-09,32936,Contract Interagency Agreement,IAA with NCUA.,National Credit Union Administration
1813989,2017-11-17,50000,Contract Interagency Agreement,U.S. Government Publishing Office (GPO),Government Printing Office
1819146,2017-12-04,1000,Contract Interagency Agreement,IAA for GSA/FAS/ITS/HSPD-12 MSO,"GSA, OFFICE OF ACQUISITION SYSTEMS"
1819188,2017-12-15,50000,Contract Interagency Agreement,National Archives and Records Administration,National Archives and Records Administration
1822264,2018-01-12,559515,Contract Interagency Agreement,Interagency Agreement with FEDLINK.,Library of Congress
1830771,2018-02-27,407380,Contract Interagency Agreement,This requirement is for MOD 009 for the NSF PrintWISE Task Order 20100.,Government Printing Office
1831157,2018-03-06,3911,Contract Interagency Agreement,Inter-agency Agreement between Federal Occupational Health Service and National Science Foundation.,PROGRAM SUPPORT CENTER
1832598,2018-03-14,2049462,Contract Interagency Agreement,Inter-agency Agreement with U.S. General Services Administration,General Services Administration
1835639,2018-04-23,2049462,Contract Interagency Agreement,Interagency Agreement between NSF and GSA.,General Services Administration
1836121,2018-05-01,360016,Contract Interagency Agreement,Interagency Agreement between NSF and GPO.,Government Printing Office
1836112,2018-05-03,2005213,Contract Interagency Agreement,Interagency Agreement between NSF and FPS.,U.S. Department of Homeland Security-S&T and IAIP
1838971,2018-05-29,6200000,Contract Interagency Agreement,Interagency Agreement between GSA and NSF.,General Services Administration
1839402,2018-06-04,1390000,Contract Interagency Agreement,Inter-agency agreement between NSF and FPS.,U.S. Department of Homeland Security-S&T and IAIP
1840266,2018-06-05,474271,Contract Interagency Agreement,Inter-agency Agreement between NSF and DOI.,ACQUISITION SERVICES DIRECTORATE NATIONAL BUSINESS CENTER
1854278,2018-09-12,11650,Contract Interagency Agreement,Training,"PERSONNEL MANAGEMENT, U S OFFICE OF"
1905804,2018-11-07,14390,Contract Interagency Agreement,OPM Credit Monitoring Services,"PERSONNEL MANAGEMENT, U S OFFICE OF"
1923537,2019-02-14,200000,Contract Interagency Agreement,Federal Investigations Reimbursable Billing.,"PERSONNEL MANAGEMENT, U S OFFICE OF"
1933806,2019-05-22,200000,Contract Interagency Agreement,Federal Investigations Reimbursable Billing (NBIB),"PERSONNEL MANAGEMENT, U S OFFICE OF"
1950262,2019-08-29,43805,Contract Interagency Agreement,"IAA with Administrative Resource Center, Treasury.  For NSF employee relocation services.","Administrative Resource Center, Treasury Franchise Services"
1949345,2019-09-11,43805,Contract Interagency Agreement,"Interagency Agreement with Administrative Resource Center, Treasury. For NSF employee relocation services.","Administrative Resource Center, Treasury Franchise Services"
2001273,2019-10-28,1300000,Contract Interagency Agreement,Interagency Agreement between NSF and FPS,U.S. Department of Homeland Security-S&T and IAIP
2001275,2019-10-28,23936,Contract Interagency Agreement,IAA with NCUA,National Credit Union Administration
2001276,2019-11-06,4023,Contract Interagency Agreement,OPM Credit Monitoring Services,"PERSONNEL MANAGEMENT, U S OFFICE OF"
2012963,2019-12-03,13800,Contract Interagency Agreement,IAA for special issuance passports,DEPARTMENT OF STATE
2001271,2019-12-10,200000,Contract Interagency Agreement,Federal Investigations Reimbursable Billing,Defense Counterintelligence and Security Agency
2039237,2020-06-24,13800,Contract Interagency Agreement,IAA for special issuance passports.,DEPT OF STATE
2040593,2020-07-13,47637,Contract Interagency Agreement,"Interagency Agreement with Administrative Resource Center, Treasury. For NSF employee relocation services.","Administrative Resource Center, Treasury Franchise Services"
2041969,2020-07-29,988546,Contract Interagency Agreement,GPO Devices/Maintenance/Service Technicians,Government Printing Office
2041976,2020-07-29,312504,Contract Interagency Agreement,PrintWise contract (Print Shop Labor),Government Printing Office
2102180,2020-10-22,4425512,Contract Interagency Agreement,General Services Administration.,General Services Administration
2102223,2020-10-23,23936,Contract Interagency Agreement,National Credit Union Administration.,National Credit Union Administration
2102175,2020-10-27,1200000,Contract Interagency Agreement,Interagency Agreement between NSF and FPS.,U.S. Department of Homeland Security-S&T and IAIP
2102799,2020-10-29,11087,Contract Interagency Agreement,OPM Credit Monitoring Services.,"PERSONNEL MANAGEMENT, U S OFFICE OF"
2103468,2020-11-03,1000,Contract Interagency Agreement,IAA for GSA/FAS/ITS/HSPD-12 MSO,"GSA, OFFICE OF ACQUISITION SYSTEMS"
2102800,2020-12-08,100000,Contract Interagency Agreement,Federal Investigations Reimbursable Billing.,Defense Counterintelligence and Security Agency
2112538,2020-12-09,5604,Contract Interagency Agreement,Suitability and Credentialing,"PERSONNEL MANAGEMENT, U S OFFICE OF"
2102142,2020-12-17,60500,Contract Interagency Agreement,National Archives and Records Administration.,National Archives and Records Administration
2112530,2021-01-15,1295,Contract Interagency Agreement,IAA for special issuance passports Department of State,DEPT OF STATE
2124720,2021-02-24,100000,Contract Interagency Agreement,U.S. Government Printing Office (GPO) – Federal Register,Government Printing Office
2140188,2021-07-19,43787,Contract Interagency Agreement,"Interagency Agreement with Administrative Resource Center, Treasury. For NSF employee relocation services.","Administrative Resource Center, Treasury Franchise Services"
2140193,2021-07-20,898202,Contract Interagency Agreement,Interagency Agreement between NSF and GPO (Equipment).,Government Printing Office
2140197,2021-07-20,700143,Contract Interagency Agreement,NSF PrintWISE Task Order 20100 (Print Center Labor),Government Printing Office
2202173,2021-10-26,11134,Contract Interagency Agreement,OPM Credit Monitoring Services - IAA,"PERSONNEL MANAGEMENT, U S OFFICE OF"
2202809,2021-11-03,1300000,Contract Interagency Agreement,IAA - U.S. Department of Homeland Security-S&T and IAIP,U.S. Department of Homeland Security-S&T and IAIP
2202164,2021-11-09,23936,Contract Interagency Agreement,National Credit Union Administration - IAA,National Credit Union Administration
2202176,2021-11-09,21000,Contract Interagency Agreement,Sensitive Compartmented Information Facility - IAA,Department of Labor
2204790,2021-11-09,5545,Contract Interagency Agreement,Suitability and Credentialing,"PERSONNEL MANAGEMENT, U S OFFICE OF"
2202807,2021-11-16,1295,Contract Interagency Agreement,IAA for special issuance passports Department of State,DEPT OF STATE
2204902,2021-11-29,2050,Contract Interagency Agreement,IAA for GSA/FAS/ITS/HSPD-12 MSO,"GSA, OFFICE OF ACQUISITION SYSTEMS"
2202178,2021-12-09,250000,Contract Interagency Agreement,Federal Investigations Reimbursable Billing - IAA,Defense Counterintelligence and Security Agency
2219035,2022-03-22,300,Contract Interagency Agreement,SAVE Act 5 U.S.C. § 552,U.S. Department of Homeland Security-S&T and IAIP
2219890,2022-03-22,24162,Contract Interagency Agreement,National Archives and Records Administration,National Archives and Records Administration
2223213,2022-03-22,100000,Contract Interagency Agreement,U.S. Government Printing Office (GPO) – Federal Register,Government Printing Office
2227032,2022-04-19,4000000,Contract Interagency Agreement,Interagency Agreement between NSF and GSA for Rent,General Services Administration
2233959,2022-07-08,75913,Contract Interagency Agreement,"Interagency Agreement with Administrative Resource Center, Treasury. For NSF employee relocation services.","Administrative Resource Center, Treasury Franchise Services"
