id,date,estimatedTotalAmt,transType,title,awardeeName
1510269,2015-01-14,58321,Contract Interagency Agreement,Executive Coaching,"PERSONNEL MANAGEMENT, U S OFFICE OF"
1505379,2015-03-09,13349,Contract Interagency Agreement,Facilitation Services,"PERSONNEL MANAGEMENT, U S OFFICE OF"
1541522,2015-04-14,16000,Contract Interagency Agreement,Federal Employee Viewpoint Survey,"PERSONNEL MANAGEMENT, U S OFFICE OF"
1543896,2015-06-03,65217,Contract Interagency Agreement,HR Line Of Business,"PERSONNEL MANAGEMENT, U S OFFICE OF"
1551706,2015-07-29,1765373,Contract Interagency Agreement,HR Support,"USDA, Farm Service Agency"
1558348,2015-08-13,30000,Contract Interagency Agreement,Credit Monitoring Services,"PERSONNEL MANAGEMENT, U S OFFICE OF"
1555691,2015-09-16,725998,Contract Interagency Agreement,Academy funds for OPM contract,"PERSONNEL MANAGEMENT, U S OFFICE OF"
1614319,2016-01-20,23573,Contract Interagency Agreement,eOPF via OPM Interagency Agreement,"PERSONNEL MANAGEMENT, U S OFFICE OF"
1637224,2016-04-05,19000,Contract Interagency Agreement,FEVS,"PERSONNEL MANAGEMENT, U S OFFICE OF"
1661661,2016-09-22,50518,Contract Interagency Agreement,WorkLife4You and Emergency Backup Dependent Care Services,PROGRAM SUPPORT CENTER
1661920,2016-09-23,772418,Contract Interagency Agreement,FY 17 Health Unit Services,PROGRAM SUPPORT CENTER
1663908,2016-09-23,99000,Contract Interagency Agreement,Employee Labor Relations Advisory Services and Organizational Development,"PERSONNEL MANAGEMENT, U S OFFICE OF"
1664039,2016-09-23,9174,Contract Interagency Agreement,USAJOBS,"PERSONNEL MANAGEMENT, U S OFFICE OF"
1722611,2017-01-03,11904,Contract Interagency Agreement,Credit Monitoring,"PERSONNEL MANAGEMENT, U S OFFICE OF"
1741922,2017-05-10,19000,Contract Interagency Agreement,2017 Federal Employee Viewpoint Survey (FEVS),"PERSONNEL MANAGEMENT, U S OFFICE OF"
1741721,2017-05-17,636332,Contract Interagency Agreement,Organizational Effectiveness Support - TMAS Solutions,"PERSONNEL MANAGEMENT, U S OFFICE OF"
1742979,2017-05-25,20700,Contract Interagency Agreement,e-OPF Conversion Project,"PERSONNEL MANAGEMENT, U S OFFICE OF"
1745697,2017-06-15,9449,Contract Interagency Agreement,USAJobs,"PERSONNEL MANAGEMENT, U S OFFICE OF"
1749043,2017-08-10,65217,Contract Interagency Agreement,Human Resource Line of Business (HRLOB) FY 2017,"PERSONNEL MANAGEMENT, U S OFFICE OF"
1756071,2017-08-29,719,Contract Interagency Agreement,FY17 IBC MOD2 - WebTA Smart Licenses - True Up,Department of Interior
1755652,2017-08-30,15180,Contract Interagency Agreement,e-OPF Conversion Project,"PERSONNEL MANAGEMENT, U S OFFICE OF"
