id,date,estimatedTotalAmt,transType,title,awardeeName
1506297,2014-11-24,166502,Standard Grant,Collaborative Research: Pervasive Spectrum Sharing for Public Safety  Communications,Virginia Polytechnic Institute and State University
1440254,2015-01-08,6477314,Standard Grant,The Event Horizon Telescope Experiment,Smithsonian Institution Astrophysical Observatory
1463660,2015-01-08,20500,Standard Grant,SnowCluster 2015: The Art of Galaxy Cluster Mass Measurement,University of Utah
1513139,2015-01-31,25000,Standard Grant,EHT2014: Event Horizon Telescope Conference Support,Smithsonian Institution Astrophysical Observatory
1455042,2015-02-18,822205,Continuing Grant,CAREER: Bridging the gaps- connecting theory and observations of planet-forming disks and addressing underrepresented populations in STEM,Trustees of Boston University
1454333,2015-02-19,649853,Continuing Grant,"CAREER: Building a Unified Framework for Galactic Star Formation Rates, Citizen Science, and Minority Students in Astronomy","Cal Poly Pomona Foundation, Inc."
1461200,2015-02-20,395502,Continuing Grant,"REU Site: Collaborative Astronomy in Flagstaff, Arizona",Northern Arizona University
1455090,2015-02-23,720000,Continuing Grant,CAREER: Radio and gravitational-wave emission from the largest explosions since the Big Bang,Texas Tech University
1458915,2015-02-23,26422,Standard Grant,The Second Workshop on Measuring Precise Radial Velocities,Yale University
1460860,2015-02-23,101523,Continuing Grant,REU Site: Collaborative Research: Earth and Planetary Science and Astrophysics REU at the American Museum of Natural History in Collaboration With the City University of New York,CUNY College of Staten Island
1460939,2015-02-23,431750,Continuing Grant,REU Site: Collaborative Research:  Earth and Planetary Science and Astrophysics REU at the American Museum of Natural History in Collaboration with the City University of New York,American Museum Natural History
1510703,2015-02-23,261244,Standard Grant,Collaborative EAGER Proposal: The Dead Zones of Protoplanetary Disks are Not Dead - How Turbulence Transports Angular Momentum and Forms Planetesimals,University of California-Berkeley
1510708,2015-02-23,38349,Standard Grant,Collaborative EAGER Proposal: The Dead Zones of Protoplanetary Disks are Not Dead - How Turbulence Transports Angular Momentum and Forms Planetesimals,San Francisco State University
1454816,2015-02-25,808004,Standard Grant,CAREER:   Probing the Demographics of Supermassive Black Holes with Time-Domain Observations of Tidal Disruption Events,"University of Maryland, College Park"
1454881,2015-02-25,720565,Continuing Grant,CAREER: Probing Fundamental Physics and Cosmic Structure by Maximizing the Impact of Next Generation Microwave Surveys,Cornell University
1455151,2015-02-25,574719,Standard Grant,CAREER: Characterizing the First Billion Years of Galaxy Evolution with 21 cm Tomography,University of Pennsylvania
1524161,2015-02-26,206433,Continuing Grant,Collaborative Research: Detailed Elemental Abundance Patterns in Early-Type Galaxies,Harvard University
1520101,2015-03-06,367572,Continuing Grant,CAREER: Giant Planets in Dusty Disks,University of Delaware
1455342,2015-03-11,793755,Continuing Grant,"CAREER: The Ties that (Un)Bind: Understanding the Connection Between Galaxies, Stars, and Black Holes",California Institute of Technology
1460538,2015-03-11,474255,Standard Grant,REU Site: Consortium for Undergraduate Research Experiences (CURE),Los Angeles City College
1535809,2015-03-11,84031,Standard Grant,Probing the Origins of Solar Systems with Millimeter-wave Interferometry,William Marsh Rice University
1536036,2015-03-13,30000,Standard Grant,Support Student and Early Career Attendance at the Inaugural Triennial Earth Space Summit,American Astronomical Society
1455260,2015-03-16,754824,Standard Grant,CAREER: The Dynamics of the Milky Way's Local Group Substructure as the Key to Understanding Dark Matter and Galaxy Formation,University of Virginia Main Campus
1522582,2015-04-17,34950,Standard Grant,Inclusive Astronomy Conference and Workshop,Vanderbilt University
1501208,2015-04-21,89000,Fellowship Award,Supermassive Star Collapse: Probing a Pathway to Supermassive Black Hole Formation,Moran                   Christine      C
1501294,2015-04-21,89000,Fellowship Award,Characterizing Star Formation in the Tidal Debris of Minor Galaxy Mergers,Knierman                Karen          A
1501374,2015-04-21,89000,Fellowship Award,"Balancing Gas Loss, Star Formation, and Black Hole Activity in Cluster Galaxies",Vijayaraghavan          Rukmani
1501418,2015-04-21,89000,Fellowship Award,Measuring the Ages of Stars in the Era of Big Data Time-Domain Astronomy,Davenport               James
1501422,2015-04-21,89000,Fellowship Award,Mapping the Primordial Universe in Unprecedented Detail with POLARBEAR,Barron                  Darcy
1501443,2015-04-21,89000,Fellowship Award,Investigating the Nature of the Circumgalactic Medium Using Realistic Synthetic Observations,Hummels                 Cameron
1460743,2015-05-01,198207,Standard Grant,REU Site Program at the National Solar Observatory,"Association of Universities for Research in Astronomy, Inc."
1501205,2015-05-06,89000,Fellowship Award,Constraining Stellar Evolution Models using Observations of Stars in Nearby Galaxies,Rosenfield              Philip
1501440,2015-05-06,89000,Fellowship Award,An Unexpected Planet Population: How Did Super-Earths Acquire Their Currently Observed Properties?,Wolfgang                Angie
1533814,2015-05-06,186790,Standard Grant,"Review of Progress Toward the Decadal Survey Vision in New Worlds, New Horizons in Astronomy and Astrophysics",National Academy of Sciences
1536212,2015-05-15,10174,Standard Grant,Chile-US Astronomy Education Outreach Summit,"Associated Universities, Inc."
1535742,2015-05-18,250000,Standard Grant,COMMITTEE ON ASTRONOMY AND ASTROPHYSICS,National Academy of Sciences
1523283,2015-05-26,34000,Standard Grant,2015 Summer School in Statistics for Astronomers,Pennsylvania State Univ University Park
1516075,2015-05-27,239198,Standard Grant,Collaborative Research: EARS: Creating an Ecosystem for Enhanced Spectrum Utilization Through Dynamic Market Mechanisms,Regents of the University of Michigan - Ann Arbor
1440338,2015-05-29,4999157,Standard Grant,"POLARBEAR/Simons Array: High-fidelity maps of CMB polarization to study large-scale structure, measure neutrino masses, and search for the signature of inflation",University of California-Berkeley
1541952,2015-05-29,15000,Standard Grant,"Adaptive Optics: Analysis, Methods & Systems (AO)",Optical Society of America
1514763,2015-06-01,212591,Continuing Grant,Collaborative Research: Rethinking the Fundamentals of Massive Star Clusters,Michigan State University
1515084,2015-06-01,40718,Continuing Grant,Collaborative Research: Rethinking the Fundamentals of Massive Star Clusters,San Jose State University Foundation
1518294,2015-06-01,244540,Continuing Grant,Collaborative Research: Rethinking the Fundamentals of Massive Star Clusters,University of California-Santa Cruz
1400450,2015-06-02,184748912,Cooperative Agreement,AURA Management and Operation of the National Solar Observatory,"Association of Universities for Research in Astronomy, Inc."
1543894,2015-06-04,1057223,Standard Grant,"Enabling Algorithms, Signal Processing, and Circuits for Agile Cognitive Radio in CMOS Technology",University of California-Santa Barbara
1501342,2015-06-10,89000,Fellowship Award,Measuring the Gas Content of Extreme Star-forming Galaxies across Cosmic Time,"Fernandez, Ximena"
1501785,2015-06-10,89000,Fellowship Award,An Observational Investigation of Gamma-Ray Bright Blazars,Isler                   Jedidah        C
1518273,2015-06-15,344857,Standard Grant,Star Formation in Extreme Environments,University of Hawaii
1518974,2015-06-24,27520,Standard Grant,"Fellows On the Frontier 2015; September - 4, 2015; Evanston, IL",Northwestern University
1514737,2015-07-06,221591,Standard Grant,Understanding Interacting Binary Stars Identified in Astronomical Surveys,University of Washington
1515392,2015-07-06,293576,Continuing Grant,Measuring the mass and time available to form planets,University of Arizona
1516266,2015-07-06,289757,Standard Grant,Accounting for Baryons in Dark Energy Constraints: From DES to LSST,University of Pittsburgh
1516932,2015-07-06,160721,Standard Grant,Studying Stellar Nurseries in the Near Part of the Milky Way,University of Wisconsin-Oshkosh
1517006,2015-07-06,693710,Continuing Grant,Dynamical Mass and Heating of Galaxy Disks,University of Wisconsin-Madison
1517488,2015-07-06,325053,Continuing Grant,The Dynamical Echoes Of Dark Matter Sub-Structure: In Simulations & In Spirals Out To z ~ 0.1,Rochester Institute of Tech
1517510,2015-07-06,49230,Standard Grant,Collaborative Research:  RUI:  New Insights from a Systematic Approach to Quasar Variability,Middlebury College
