id,date,estimatedTotalAmt,transType,title,awardeeName
1445959,2014-10-21,181485,Standard Grant,RUI: Mossbauer Studies of Iron Containing Enzyme Active Sites and Model Complexes,Colgate University
1413677,2014-10-22,450000,Standard Grant,Novel PT(II) Reagents for RNA Biochemistry,University of Oregon Eugene
1500285,2014-11-03,420000,Standard Grant,Developing the multilayer multiconfiguration time-dependent Hartree theory,University of Colorado at Denver-Downtown Campus
1407180,2014-11-05,415000,Continuing Grant,Elucidating the Effects of Structure on the Redox Reactivity of Mycogenic Mn Oxide Nanoparticles,North Carolina State University
1404573,2014-11-06,375000,Standard Grant,Collaborative Research: Quantifying Secondary Organic Aerosol Formation from the Reactive Uptake of Isoprene-derived Epoxides to Submicron Aerosol Particles,University of Washington
1404644,2014-11-06,300000,Standard Grant,Collaborative Research: Quantifying Secondary Organic Aerosol Formation from the Reactive Uptake of Isoprene-derived Epoxides to Submicron Aerosol Particles,University of North Carolina at Chapel Hill
1413712,2014-11-06,415000,Continuing Grant,Kinetics and spectroscopy of free radical intermediates in tropospheric reactions,California Institute of Technology
1415883,2014-11-06,450000,Standard Grant,International Collaboration in Chemistry: Population Dynamics and Subdomain Stability of Folded Species in the Full-length Overhang Region of Human Telomeres,Kent State University
1404633,2014-11-07,215000,Standard Grant,Collaborative Research: Toward a unified model for ferrihydrite nanoparticles behavior in the environment: a multipronged investigation of surface structure and reactivity,"Georgia State University Research Foundation, Inc."
1404643,2014-11-07,190000,Standard Grant,Collaborative Research: Toward a unified model for ferrihydrite nanoparticles behavior in the environment: a multipronged investigation of surface structure and reactivity,University of Connecticut
1461831,2014-11-07,15000,Standard Grant,"Chemical Reactions at Surfaces GRC/GRS - From Model Studies to Complex Real World Systems, February 7-8, 2015",Gordon Research Conferences
1404459,2014-11-10,106000,Standard Grant,Collaborative Research: Organic Cation Interactions with Soil Aluminosilicates:  Structure-Sorption Relationships,Bowdoin College
1404998,2014-11-10,410000,Standard Grant,Collaborative Research: Organic Cation Interactions with Soil Aluminosilicates:  Structure-Sorption Relationships,University of Connecticut
1411547,2014-11-10,420000,Continuing Grant,Collaborative Research: Gaining a molecular level understanding of the sorption of model organic molecules to engineered soil surrogates,Louisiana State University
1411687,2014-11-10,250000,Standard Grant,Collaborative Research: Gaining a molecular level understanding of the sorption of model organic molecules to engineered soil surrogates,Pennsylvania State Univ University Park
1412309,2014-11-10,406624,Continuing Grant,Organic Aerosol Dynamics: Single Particles and Modest Driving Forces,Carnegie Mellon University
1411265,2014-11-14,420000,Standard Grant,Stable But Conflicted Interfaces,University of Houston
1413641,2014-11-17,429429,Standard Grant,"Macromolecular, Supramolecular and/or Nanomolecular Photophysics and Photochemistry of d10 and d8 Complexes",University of North Texas
1410075,2014-11-24,90000,Standard Grant,Collaborative Research: Overproduction and Harvesting of Methylated Triterpenes in a Heterologous Host,SUNY at Buffalo
1410219,2014-11-24,135000,Standard Grant,Collaborative Research: RUI: Overproduction and Harvesting of Methylated Triterpenes in a Heterologous Host,UTAH TECH UNIVERSITY
1412628,2014-11-24,75000,Standard Grant,Collaborative Research: Overproduction and Harvesting of Methylated Triterpenes in a Heterologous Host,Northern Arizona University
1462121,2014-12-01,598329,Continuing Grant,CAREER: Catalysis on Singly Dispersed Bimetallic Catalytic Sites,University of Kansas Center for Research Inc
1450496,2014-12-10,49990,Standard Grant,U.S. Young Observer Program for the 2015 Congress and General Assembly of the International Union of Pure and Applied Chemistry (IUPAC),National Academy of Sciences
1454289,2014-12-18,650000,Continuing Grant,CAREER: Metalloenzyme mechanisms probed by resonance Raman spectroscopy,"OHIO STATE UNIVERSITY, THE"
1454747,2014-12-18,650000,Continuing Grant,CAREER: Understanding the Reactivity of Hydrogen Sulfide with Bio(in)organic Targets,University of Oregon Eugene
1522525,2014-12-21,60309,Continuing Grant,Catch and Release of Small Molecules With Porous Nanocapsules,University of Connecticut
1361998,2015-01-02,435000,Standard Grant,New Tools for Absolute Molecular Structure Assignment,University of California-Irvine
1415828,2015-01-02,228033,Standard Grant,International Collaboration in Chemistry: CDS&E: Multiscale Simulations of Bifunctional Catalysis,University of Delaware
1416571,2015-01-02,299205,Standard Grant,International Collaboration in Chemistry: CDS&E: Multiscale Simulations of Bifunctional Catalysis,University of California-San Diego
1416116,2015-01-06,261000,Standard Grant,International Collaboration in Chemistry: Mechanistic studies of oxygen electrocatalysis by nanoelecrochemical techniques,CUNY Queens College
1411435,2015-01-20,500000,Standard Grant,Fundamental Studies of Nanocrystalline Silicon Hybrids,SUNY at Buffalo
1500217,2015-01-23,267334,Continuing Grant,Radical Chemistry on Cloud and Aerosol Surfaces,University of Nebraska-Lincoln
1362215,2015-02-03,482211,Standard Grant,Nonlinear Optical and Simulation Studies of Perturbed Liquids,"University of Maryland, College Park"
1416428,2015-02-03,502245,Standard Grant,International Collaboration in Chemistry: Development and Application of Direct Dynamics Simulations for Studying the Fragmentation and Reaction of Biological Molecules,Texas Tech University
1450865,2015-02-03,48784,Standard Grant,Accelerating our Understanding of Supramolecular Chemistry in Aqueous Solutions: A Workshop Proposal,Tulane University
1454807,2015-02-03,654978,Continuing Grant,CAREER: Iron Polymerization Catalysis for the Synthesis of High Performance Degradable Polymers,Boston College
1452596,2015-02-04,606515,Standard Grant,CAREER: New Methods for Dynamical Quantum Chemistry,University of Utah
1454060,2015-02-04,675000,Continuing Grant,CAREER: Oxygen Reduction Catalysis at Tunable Metal Sulfide Nanofilms,Massachusetts Institute of Technology
1453483,2015-02-06,650000,Continuing Grant,CAREER: Cyclodextrin-Promoted Energy Transfer: From Fundamental Molecular Interactions to Complex System Performance,University of Rhode Island
1454007,2015-02-06,650000,Continuing Grant,CAREER: Chemically-Enabled Strategies for the Discovery and Characterization of Novel Enzymatic Function,Harvard University
1454036,2015-02-06,640933,Continuing Grant,CAREER: Atomic-Scale Visualization of Excitonic States in Individual Carbon Nanotubes,University of Oregon Eugene
1454501,2015-02-06,625000,Continuing Grant,CAREER: Characterizing the Glycoproteome with Effective MS-based Chemical and Enzymatic Methods,Georgia Tech Research Corporation
1454879,2015-02-06,631516,Continuing Grant,CAREER: Copper Catalyzed Oxidative Decarboxylative Coupling Reactions for the Direct Functionalization of Arenes,West Virginia University Research Corporation
1452967,2015-02-10,637226,Continuing Grant,CAREER: Elucidating conformational landscapes in proteins using high-sensitivity pulse EPR spectroscopy,University of Washington
1454370,2015-02-10,675000,Continuing Grant,CAREER: Iron- and Cobalt-Catalyzed Direct C-H Functionalization,University of Rochester
1454845,2015-02-10,675000,Continuing Grant,CAREER: Novel Methods for the Stereoselective Synthesis of Nitrogen Containing Heterocycles,North Carolina State University
1362890,2015-02-12,430221,Standard Grant,Strong Field Chemistry: Control Using the Radical Cation Launch State,Temple University
1452489,2015-02-13,700000,Continuing Grant,CAREER: Synthetic Strategies for the Production and Utilization of Enamides,New Mexico State University
1454184,2015-02-13,650000,Continuing Grant,CAREER: Mechanistic studies of the spore photoproduct lyase,Indiana University
1455306,2015-02-13,650000,Continuing Grant,CAREER: Chemical Genetic Dissection of Cell Signaling,University of Southern California
1455353,2015-02-18,650000,Standard Grant,CAREER: Revealing fluorescence mechanisms of emerging fluorescent protein biosensors using femtosecond stimulated Raman spectroscopy,Oregon State University
1453204,2015-02-19,625000,Standard Grant,"CAREER: Many-body Ab initio Potentials and Quantum Dynamics Methods for ""First Principles"" Simulations in Solution: Hydration, Vibrational Spectroscopy, & Proton Transfer/Transport",University of California-San Diego
1465125,2015-02-19,432001,Continuing Grant,Structure and Electronic Anomalies of Amorphous Chalcogenides,University of Houston
1533833,2015-02-19,193635,Standard Grant,Exceptional Selectivities of Dirhodium Catalysts,University of Texas at San Antonio
1464551,2015-02-20,470000,Continuing Grant,Molecular Modeling of Biological Nanopores,University of Pittsburgh
1455335,2015-02-25,675000,Continuing Grant,CAREER: SusChEM: Exploiting the Versatile N-O Bond,University of Texas Southwestern Medical Center
1362396,2015-02-26,450000,Standard Grant,SusChEM - Sustainable Organic Synthesis Through Aerobic Carbon-Hydrogen Bond Functionalization Reactions,University of Pittsburgh
1512886,2015-03-04,360704,Continuing Grant,"CAREER: Surface-Enhanced Nonlinear Spectroscopy: Mapping Electronic Excited States, Probing Surface Adsorbate Structure, and Ultrasensitive Detection",University of Notre Dame
1518379,2015-03-06,372969,Continuing Grant,CAREER: Chemoselective Tools for Exploration of Natural Product Chemical Space,University of Minnesota-Twin Cities
1464914,2015-03-10,390000,Standard Grant,A New Paradigm for Ether Synthesis,University of Nebraska-Lincoln
