id,date,estimatedTotalAmt,transType,title,awardeeName
1462383,2014-10-14,555364,Continuing Grant,CAREER: Fractal Bandstructure by Superlattice Patterning,Columbia University
1461976,2014-11-07,114706,Standard Grant,MRS PREM Workshop,Materials Research Society
1462461,2014-11-13,5000,Standard Grant,"GRC Macromolecular Materials: From Synthesis to Application, January 11-15, 2015",Gordon Research Conferences
1452726,2014-11-20,525000,Continuing Grant,CAREER: Development of Force-Activated Materials for the Release of Small Organic Molecules,University of Washington
1463956,2014-11-25,4000,Standard Grant,"Support for DPOLY Short Course on Polymer Glasses. APS March Meeting, 2015",Texas Tech University
1419807,2014-12-04,16200000,Cooperative Agreement,MIT Materials Research Science and Engineering Center - Full Proposal,Massachusetts Institute of Technology
1420073,2014-12-04,14400000,Cooperative Agreement,NYU Materials Research Science and Engineering Center,New York University
1420451,2014-12-04,17918588,Cooperative Agreement,Center for Emergent Materials,"OHIO STATE UNIVERSITY, THE"
1420709,2014-12-04,20550000,Cooperative Agreement,Materials Research Science and Engineering Centers,University of Chicago
1453083,2014-12-04,525000,Continuing Grant,CAREER: Bottom-Up Approaches for Precisely Nanostructuring Hybrid Organic/Inorganic Multi-Component Composites,University of New Mexico
1420736,2014-12-05,12000000,Cooperative Agreement,Soft Materials Research Center,University of Colorado at Boulder
1410265,2014-12-09,366296,Continuing Grant,Tuning electronic instabilities in triangular surface lattices via subsurface doping,University of Tennessee Knoxville
1420382,2014-12-09,12000000,Cooperative Agreement,Bioinspired Soft Materials,Brandeis University
1420634,2014-12-10,14800000,Cooperative Agreement,MRSEC: Columbia Center for Precision Assembly of Superstratic and Superatomic Solids,Columbia University
1460428,2014-12-11,450000,Continuing Grant,REU/RET Site: Interdisciplinary Research Experience for Undergraduates (REU) and Teachers (RET) in Materials,Cornell University
1420620,2014-12-12,14928000,Cooperative Agreement,MRSEC: Center for Nanoscale Science,Pennsylvania State Univ University Park
1420645,2014-12-12,9600000,Cooperative Agreement,MRSEC:  Polarization and Spin Phenomena in Nanoferroic Structures (P-SPINS),University of Nebraska-Lincoln
1420541,2014-12-16,19325000,Cooperative Agreement,Princeton Center for Complex Materials,Princeton University
1420570,2014-12-16,12900000,Cooperative Agreement,Materials Research Science and Engineering Center,Harvard University
1449445,2014-12-19,87500,Standard Grant,PENN-UPR Partnership for Research and Education,University of Puerto Rico at Humacao
1449568,2014-12-19,87500,Standard Grant,Bridge funds for CCNY-Chicago MRSEC PREM,CUNY City College
1460920,2014-12-31,450000,Continuing Grant,REU/RET Site: Penn State REU and RET in Interdisciplinary Materials Physics,Pennsylvania State Univ University Park
1461019,2014-12-31,300000,Continuing Grant,REU Site: Condensed Matter and Materials Physics,University of Florida
1454836,2015-01-05,500000,Continuing Grant,CAREER: Fluctuation-Induced Phenomena in Microstructured Media,Princeton University
1460784,2015-01-06,282000,Continuing Grant,REU Site: Interactive Biomaterials,Syracuse University
