id,date,estimatedTotalAmt,transType,title,awardeeName
1604869,2016-03-11,46032,Contract Interagency Agreement,JASON Proposal,DEPARTMENT OF DEFENSE OASD for Research and Development
1649142,2016-09-12,292222,Standard Grant,NSF INCLUDES Launch Pilot: STEPs to STEM,Princeton University
1649297,2016-09-12,299787,Standard Grant,NSF INCLUDES: A National Network for Access and Inclusion in Physics Graduate Education,American Physical Society
1649361,2016-09-12,300000,Standard Grant,NSF INCLUDES:  Design & Development Launch Pilots:  UTAH PREP,Utah Valley University
1649365,2016-09-12,299024,Standard Grant,NSF INCLUDES: WATCH US  (Women Achieving Through Community Hubs) in the United States,University of Nebraska-Lincoln
1649381,2016-09-12,299981,Standard Grant,NSF INCLUDES:  STEM Core Initiative,Saddleback College
1649342,2016-11-07,299276,Standard Grant,Expanding STEM to INCLUDE the Bottom Quartile of the Nation's K-12 Graders Through the Teaching and Learning of Mathematics,Algebra Project Inc
1744440,2017-09-08,298416,Standard Grant,NSF INCLUDES DDLP: Southeastern Compact for Inclusive Student Transitions in Engineering and Physical Sciences (SCI-STEPS),Vanderbilt University
1744463,2017-09-08,299999,Standard Grant,NSF INCLUDES DDLP: Building on Strengths - A Design and Development Launch Pilot to Broaden Participation in Mathematics,Iowa State University
1744474,2017-09-08,299761,Standard Grant,NSF INCLUDES DDLP: Indigenous Math Circles Communities,Kansas State University
1744541,2017-12-14,299250,Standard Grant,NSF INCLUDES DDLP: Math FACESS (Families & Communities Empowering Student Success in Mathematics),Explora
1937126,2019-07-29,150000,Standard Grant,QLCI - CG: Texas Quantum Institute,William Marsh Rice University
1937055,2019-07-30,149713,Standard Grant,QLCI-CG: Design of Novel Functional Materials for Quantum Devices,SUNY at Buffalo
1937076,2019-07-30,149214,Standard Grant,QLCI - CG: Quantum Photonic Institute,Rochester Institute of Tech
1937147,2019-07-30,149658,Standard Grant,QLCI-CG Quantum Challenge Institute for Quantum Photonic Information Processing,Brigham Young University
1936246,2019-08-05,2000000,Standard Grant,QII-TAQS: Majorana Nanomanipulation for Topological Quantum Computing,Harvard University
1936314,2019-08-05,2000000,Standard Grant,QII-TAQS: Quantum Machine Learning with Photonics,"University of Maryland, College Park"
1936321,2019-08-05,1999728,Standard Grant,QII-TAQS: Quantum-Enhanced Telescopy,University of Illinois at Urbana-Champaign
1936353,2019-08-05,1994238,Standard Grant,QII-TAQS: Simulating Entangled Quantum Chemical Abstract Machines,Indiana University
1936526,2019-08-05,146551,Standard Grant,QLCI-CG: Center for Quantum Sensors,Washington University
1936726,2019-08-05,118125,Standard Grant,QLCI-CG: Center for Interdisciplinary Research in Quantum Information Theory and Simulation,Virginia Polytechnic Institute and State University
1936835,2019-08-05,150000,Standard Grant,QLCI-CG: The Open Quantum Frontier Institute,Colorado School of Mines
1936854,2019-08-05,143490,Standard Grant,QLCI-CG: Identification and Control of Fundamental Properties of Quantum Systems,Brown University
1936882,2019-08-05,149999,Standard Grant,QLCI-CG: Institute for Chiral-Quantum Materials Interfaces,Arizona State University
1937008,2019-08-05,142080,Standard Grant,QLCI-CG: Quantum Software for Scientific and Engineering Applications,University of Tennessee Knoxville
1937110,2019-08-05,103701,Standard Grant,QLCI-CG: Conceptualizing a Quantum Information Bioscience Institute for Quantum Sensing and Simulations in Novel Hybrid Architectures,Johns Hopkins University
1936100,2019-08-06,2000000,Continuing Grant,QII-TAQS: Strongly Interacting Photons in Coupled Cavity Arrays: A Platform for Quantum Many-Body Simulation,University of Washington
1936118,2019-08-06,2000000,Continuing Grant,QII-TAQS: Quantum Metrological Platform for Single-Molecule Bio-Sensing,University of Chicago
1936221,2019-08-06,2000000,Standard Grant,QII-TAQS: Spatially and Temporally Resolved Ultrasensitive Magnetic Sensing of Quantum Materials,Brown University
1936250,2019-08-06,1549179,Standard Grant,QII-TAQS: Topological Quantum Devices from Nanoscale Mechanical Control of Materials,University of Rochester
1936276,2019-08-06,1980000,Standard Grant,QII-TAQS: Quantum Circuits Through Symmetry-Driven Valley Optoelectronics,University of Pennsylvania
1936303,2019-08-06,1928242,Standard Grant,QII-TAQS: Quantum Control of Ultracold Atoms in Optical Lattices for Inertial Sensing for Space Applications,University of Colorado at Boulder
1936350,2019-08-06,1370200,Standard Grant,QII-TAQS: Quantum Photonics at Telecommunications Wavelengths Based on Metal-Ion-Doped Materials,Montana State University
1936351,2019-08-06,1948232,Standard Grant,QII-TAQS: Chip-Scale Quantum Emulators Based on Polaritonic Lattices,CUNY City College
1936375,2019-08-06,1646816,Continuing Grant,QII-TAQS: A Chip-Scale Spin-Photon Memory Interface with Coherence Exceeding One Second,University of California-Los Angeles
1936383,2019-08-06,1635591,Standard Grant,QII-TAQS: Quantum Devices with Majorana Fermions in High-Quality Three-Dimensional Topological Insulator Heterostructures,University of Utah
1936388,2019-08-06,2000000,Continuing Grant,QII-TAQS: Suppressing and Correcting Errors in Hybrid Superconducting Qubit Systems,University of Southern California
1936848,2019-08-06,149218,Standard Grant,QLCI-CG: Nevada Institute for Quantum Sciences and Technology,University of Nevada Las Vegas
1937025,2019-08-06,150000,Standard Grant,QLCI-CG: Towards a Boston Area Quantum Science and Engineering Institute,Trustees of Boston University
1936263,2019-08-09,1992000,Standard Grant,QII-TAQS: Characterizing and Utilizing 2D van der Wals Materials with Superconducting Qubits,Massachusetts Institute of Technology
1936345,2019-08-09,1440000,Standard Grant,QII-TAQS: All-Photonic Quantum Network,Columbia University
