id,date,estimatedTotalAmt,transType,title,awardeeName
1500818,2014-10-24,258942,Continuing Grant,Reduced Order Modeling for Gravitational Waves,University of California-San Diego
1414527,2014-11-07,10000,Standard Grant,Student Travel Support to Attend the 2014 Gaseous Electronics Conference in Raleigh NC 2 November 2014 - 8 November 2014,North Carolina State University
1404491,2014-11-24,750000,Continuing Grant,Gravitational Physics via Lunar Laser Ranging: Optimizing Data Quality,University of California-San Diego
1457995,2014-11-25,421000,Continuing Grant,CAREER: Towards a Definitive Test of DAMA's Annual Modulation Signal,Yale University
1404430,2014-12-08,3300000,Continuing Grant,Stanford Program in Support of LIGO,Stanford University
1460394,2014-12-11,180438,Continuing Grant,CAREER: Particle Phenomenology at the LHC Era,Research Foundation Of The City University Of New York (Lehman)
1461306,2014-12-19,161266,Continuing Grant,D0 Physics Research,SUNY at Stony Brook
1522717,2015-01-06,119258,Continuing Grant,Exploring the WIMP Parameter Space Above and Below the Neutrino Floor,Texas A&M University
1460882,2015-01-07,297711,Continuing Grant,REU Site in Physics at Indiana University,Indiana University
1460352,2015-01-08,403845,Continuing Grant,REU Site in Physics and Optics at Rochester,University of Rochester
1454083,2015-01-12,400000,Continuing Grant,CAREER: Conformal Field Theory and Quantum Gravity from the Bottom-Up,Johns Hopkins University
1452037,2015-01-14,400000,Continuing Grant,CAREER: Effective Field Theories from String Compactification,University of North Carolina at Chapel Hill
1502537,2015-01-20,198000,Standard Grant,"Workshop: Exploring Quantitative Approaches to Clinical Cancer Data; February 13-18, 2015, Princeton, New Jersey",Entertainment Industry Foundation
1460331,2015-01-26,397667,Continuing Grant,"REU Site: Modern Optics in the City of Light, A Collaborative REU Site in Paris",Regents of the University of Michigan - Ann Arbor
1460752,2015-01-26,231872,Continuing Grant,REU Site: Research In Neutrino Astrophysics at the University of Wisconsin-River Falls,University of Wisconsin-River Falls
1461089,2015-01-26,352855,Continuing Grant,REU Site: Training and Research Experiences in Nonlinear Dynamics (TREND),"University of Maryland, College Park"
1515590,2015-01-27,10000,Standard Grant,The 23rd International Conference on Supersymmetry and Unification of Fundamental Interactions (SUSY 2015),University of California-Davis
1457413,2015-01-29,114111,Standard Grant,Workshop Series to Gauge Community Requirements for Public Access to Data from NSF-Funded Research,University of Notre Dame
1455351,2015-01-30,698433,Continuing Grant,CAREER: R&D for Future Noble-Liquid-Based Dark Matter Searches: Hybrid Photosensors and Intrinsic Background Rejection,University of California-Davis
1460838,2015-01-30,342300,Continuing Grant,REU Site: Gravitational-Wave Astrophysics in the LIGO Project,California Institute of Technology
1503986,2015-02-04,49964,Standard Grant,"Conference: Dynamics Days 2015, January 9-11, 2015, Center for Theoretical Biological Physics, Houston, Texas",William Marsh Rice University
1453736,2015-02-13,550000,Continuing Grant,CAREER: Transport Phenomena in Ultracold Neutral Plasmas,University of Iowa
1455357,2015-02-13,699991,Continuing Grant,CAREER: Finessing Optical Frequency Combs for Direct Cooling and Trapping of Molecules,University of California-Los Angeles
1461168,2015-02-13,369686,Continuing Grant,REU Site:  Summer Research Projects in Contemporary Physics,University of Chicago
1505881,2015-02-13,5000,Standard Grant,"PACIFIC Symposium September 14-20, 2015 at the University of California Gump Station, Moorea, French Polynesia.",University of California-Los Angeles
1521933,2015-02-13,7000,Standard Grant,"Young Physicist Support for UHECR2014 Symposium October 13-15, 2014 in Springdale, Utah.",University of Utah
1524244,2015-02-13,7500,Standard Grant,"""Pre-conference symposium for the 23rd International Conference on Supersymmetry and Unification of Fundamental Interactions "" in Tahoe City, California, August 23-29, 2015.",University of California-Davis
1453252,2015-02-20,499986,Continuing Grant,CAREER: Integrated Research and Education on Gravitational Wave Detector Optics,American University
1455210,2015-02-20,436000,Continuing Grant,CAREER: Understanding of Neutral Particle Physics to Generate a Helicon Wave Driven High Density Laboratory Plasma,University of Wisconsin-Madison
1454931,2015-02-23,450000,Continuing Grant,CAREER: Theory of Optomechanical Nanorotation Sensing - Approaching the Quantum Regime,Rochester Institute of Tech
1460899,2015-02-23,408105,Continuing Grant,REU Site: Multidisciplinary Physics at Purdue University,Purdue University
1522993,2015-02-24,10000,Standard Grant,"2015 Nuclear Chemistry GRC/GRS - 2015 Gordon Research Conference on Nuclear Chemistry New London, New Hampshire, May 31 - June 5, 2015",Gordon Research Conferences
1521027,2015-02-25,7000,Standard Grant,"Support for Cygnus 2015 June 2-4, 2015 on the Occidental College Campus in Los Angeles, CA.",Occidental College
1460055,2015-02-26,404663,Standard Grant,REU Site: Frontier Physics and Astronomy Research with Technical Presentations,University of California-Los Angeles
1461111,2015-02-26,404625,Continuing Grant,REU Site: Accelerator Physics and Synchrotron Radiation Science,Cornell University
1523395,2015-02-26,12000,Standard Grant,"2015 Summer Program at Center for Theoretical Underground Physics and Related Areas (CETUP*)/PPC June 15-July 17, 2015 in Lead/Deadwood, SD.",Dakota State University
1420602,2015-03-04,36000,Standard Grant,"Travel Support Request for Institute for Advanced Study Workshop on Physics Approach to Simplifying Complexity in Biology; Hong Kong University, China; December 15-19, 2014.",Princeton University
1460803,2015-03-06,652046,Continuing Grant,International REU Site for Gravitational Physics,University of Florida
1454389,2015-03-09,400000,Continuing Grant,CAREER: Enabling Multimessenger Astrophysics with Real-Time Gravitational Wave Detection,Pennsylvania State Univ University Park
1460828,2015-03-09,399850,Continuing Grant,REU Site: Summer Bridge Program in Experimental Physics,University of Arizona
1452636,2015-03-10,493658,Continuing Grant,CAREER: Valence and Sea Quark Dynamics at Fermilab,Regents of the University of Michigan - Ann Arbor
1460853,2015-03-10,291232,Continuing Grant,"REU Site: Research Experience for Undergraduates in Astrophysics, Nuclear, and Particle Physics",Wayne State University
1454815,2015-03-11,975000,Continuing Grant,CAREER: Boosting Signals for Hidden Supersymmetry with the ATLAS Hadronic Calorimeter,University of Chicago
1506139,2015-03-13,7000,Standard Grant,"BOOST 2015 Workshop Hosted by the Enrico Fermi Institute at the University of Chicago; Chicago, IL; August 10-14, 2015.",University of Chicago
1460141,2015-03-16,198863,Standard Grant,REU/RET Site: Physics and Astronomy at the University of Minnesota: Renewal,University of Minnesota-Twin Cities
1519308,2015-03-16,8000,Standard Grant,"XXIII International Workshop on Deep-Inelastic Scattering; Dallas, TX; April 27 - May 1, 2015",Southern Methodist University
1430284,2015-03-18,14496573,Cooperative Agreement,NANOGrav Physics Frontier Center,University of Wisconsin-Milwaukee
1505373,2015-03-20,210000,Continuing Grant,"RUI: Parameter Estimation, Data Analysis, and Detector Characterization for LIGO",Carleton College
1506254,2015-03-20,152384,Continuing Grant,RUI: Sensitive Searches for Compact Binary Coalescence in LIGO Data,Abilene Christian University
1540513,2015-03-23,92457,Continuing Grant,Ultrashort Single Photon Generation via Conditional Excitation of an Atomic Barium Ensemble,University of Illinois at Urbana-Champaign
1461204,2015-03-24,406539,Continuing Grant,REU Site: Undergraduate Research in Nuclear and Particle Physics at TUNL and Duke University,Duke University
1461237,2015-03-24,395000,Continuing Grant,REU and RET Site in Physics at The University of Texas at Brownsville,The University of Texas Rio Grande Valley
1542132,2015-04-15,9987,Standard Grant,"Workshop: What's Next for LIGO to be held in Silver Spring, MD; May 7-8, 2015.","University of Maryland, College Park"
1461219,2015-04-20,428823,Continuing Grant,REU Site: Physics Research at Brigham Young University,Brigham Young University
1534731,2015-04-20,30000,Standard Grant,"IPAC'15 - Student and Teacher support - The International Particle Accelerator Conference (IPAC'15) will hold it's Sixth Annual Meeting in Richmond, Virginia, May 3-8, 2015.",Southeastern Universities Research Association
1415388,2015-04-27,12000000,Cooperative Agreement,SuperCDMS SNOLAB,University of California-Berkeley
1506453,2015-05-06,270000,Continuing Grant,Theoretical Research on LIGO Noise Reduction and Advanced Interferometer Configurations,California Institute of Technology
1410545,2015-05-12,220000,Continuing Grant,Collaborative Research: Multicellular Communication in Gradient Sensing,Yale University
1410593,2015-05-12,145800,Continuing Grant,Collaborative Research: Multicellular Communication in Gradient Sensing,Johns Hopkins University
1410978,2015-05-12,200000,Continuing Grant,Collaborative Research: Multicellular Communication in Gradient Sensing,Emory University
1505719,2015-05-12,600000,Continuing Grant,Experimental Flavor Physics,University of Cincinnati Main Campus
1505861,2015-05-12,450000,Continuing Grant,Support of LIGO Data Analysis Activities at the University of Texas at Brownsville,The University of Texas Rio Grande Valley
1506130,2015-05-12,407745,Continuing Grant,Research in High Energy Physics on the CMS Experiment,Purdue University
1505855,2015-05-13,675000,Continuing Grant,The EPP-Supported Neutrino Program at MIT,Massachusetts Institute of Technology
1464909,2015-05-14,5000,Standard Grant,"14th Workshop on the Physics of Dusty Plasmas- Held May of 2015, the 14th WPDP will be held at Auburn University located in Auburn, Alabama",Wittenberg University
1538923,2015-05-14,10000,Standard Grant,"2015 Conference on Science at the Sanford Underground Research Facility; Rapid City, South Dakota at the South Dakota School of Mines; May 18-20, 2015.",South Dakota School of Mines and Technology
1464823,2015-05-15,5000,Standard Grant,"VERTEX2015: The 24th International Workshop on Vertex Detectors - University of New Mexico; June 1-5, 2015",University of New Mexico
1505147,2015-05-15,299995,Continuing Grant,RUI: Spatial and Temporal Dynamics of Matter in Intense Laser Fields,Board of Trustees of Illinois State University
1505824,2015-05-15,600000,Continuing Grant,Compact Objects and Gravitational Radiation,Georgia Tech Research Corporation
1505863,2015-05-15,10000,Standard Grant,"Support for Young Scientists for the 12th Conference on the Intersections of Particle and Nuclear Physics (CIPANP 2015) May 19-24, 2015 in Vail, CO.",Yale University
1505870,2015-05-15,360000,Continuing Grant,Searching for the Stochastic Gravitational-Wave Background with Advanced LIGO,University of Minnesota-Twin Cities
1513524,2015-05-15,46075,Standard Grant,International Summer School on Data Science for Scattering Reactions,Indiana University
1516088,2015-05-18,300000,Continuing Grant,Hard Scattering Processes in QCD,Temple University
