id,date,estimatedTotalAmt,transType,title,awardeeName
1547896,2015-08-11,13694,Contract Interagency Agreement,ERulemaking Initiative,ENVIRONMENTAL PROTECTION AGENCY
1634026,2016-08-02,10374,Contract Interagency Agreement,eRulemaking,ENVIRONMENTAL PROTECTION AGENCY
1740277,2017-06-05,14360,Contract Interagency Agreement,eRulemaking program annual contribution for FY17,ENVIRONMENTAL PROTECTION AGENCY
1837945,2018-07-11,18938,Contract Interagency Agreement,eRulemaking program annual contribution for FY18,ENVIRONMENTAL PROTECTION AGENCY
1928284,2019-07-29,19862,Contract Interagency Agreement,eRulemaking program annual contribution for FY19,ENVIRONMENTAL PROTECTION AGENCY
2035012,2020-08-07,95000,Contract Interagency Agreement,iEdison,National Institutes of Health (NIH/OD/OER)
2037595,2020-08-12,18904,Contract Interagency Agreement,eRulemaking program annual contribution for FY20,GENERAL SERVICES ADMINISTRATION
2134208,2021-07-06,17253,Contract Interagency Agreement,eRulemaking program annual contribution for FY21,GENERAL SERVICES ADMINISTRATION
2149586,2021-08-24,95000,Contract Interagency Agreement,iEdison,National Institutes of Health (NIH/OD/OER)
2222025,2022-07-28,71250,Contract Interagency Agreement,iEdison,National Institutes of Health (NIH/OD/OER)
2231614,2022-09-06,21627,Contract Interagency Agreement,eRulemaking program annual contribution for FY22,GENERAL SERVICES ADMINISTRATION
