id,date,estimatedTotalAmt,transType,title,awardeeName
1538998,2015-03-04,18000,Contract Interagency Agreement,National Medal of Science & Technology Innovation 2012-Honorees,Office of Science & Technology
1521666,2015-03-27,200000,Standard Grant,"EPSCoR Workshop Series: Innovation, Entrepreneurship, and Translational Research",University of Tennessee Knoxville
1457425,2015-06-05,989656,Continuing Grant,"Core Activities of the Committee on Science, Engineering, and Public Policy (COSEPUP)",National Academy of Sciences
1457769,2015-07-31,6000000,Cooperative Agreement,Guam Ecosystems Collaboratorium,University of Guam
1457888,2015-07-31,20000000,Cooperative Agreement,"RII Track-1: Arkansas Advancing and Supporting Science, Engineering, and Technology (ASSET) III - Multifunctional and Tunable Nanostructured Surfaces",Arkansas Science & Technology Authority
1458952,2015-07-31,20000000,Cooperative Agreement,RII Track-1: Gravitational Wave Astronomy and the Appalachian Freshwater Initiative,Higher Education Policy Commission
1538893,2015-07-31,4000000,Cooperative Agreement,"RII Track-2 FEC: Low-Cost, Efficient Next-Generation Solar Cells for the Coming Clean Energy Revolution",Brown University
1539034,2015-07-31,4000000,Cooperative Agreement,RII Track-2 FEC:  Bridging Cognitive Science and Neuroscience Using Innovative Imaging Technologies,Medical University of South Carolina
1539035,2015-07-31,6000000,Cooperative Agreement,RII Track-2 FEC: Feeding and Powering the World - Capturing Sunlight to Split Water  and Generate Fertilizer and Fuels,University of Mississippi
1539067,2015-07-31,5858210,Cooperative Agreement,RII Track-2 FEC: Developmental Chronnecto-Genomics (Dev-CoG): A Next Generation Framework for Quantifying Brain Dynamics and Related Genetic Factors in Childhood,The MIND Research Network
1539068,2015-07-31,5999853,Cooperative Agreement,"RII Track-2 FEC: Innovative, Broadly Accessible Tools for Brain Imaging, Decoding, and Modulation",University of Rhode Island
1539070,2015-07-31,5995869,Cooperative Agreement,RII Track-2 FEC: Unmanned Aircraft System for Atmospheric Physics,Oklahoma State University
1539071,2015-07-31,6000000,Cooperative Agreement,"RII Track-2 FEC: Strengthening the scientific basis for making decisions about dams: Multi-scale, coupled-systems research on ecological, social, and economic trade-offs",University of New Hampshire
1539105,2015-07-31,4000000,Cooperative Agreement,"RII Track-2 FEC: Catalysis for Renewables: Applications, Fundamentals and Technologies (CRAFT)",University of Kansas Center for Research Inc
1541079,2015-07-31,20000000,Cooperative Agreement,RII Track-1: Louisiana Consortium for Innovation in Manufacturing and Materials (CIMM),Louisiana Board of Regents
1545810,2015-09-03,510000,Continuing Grant,Core Support for the Federal Demonstration Partnership,National Academy of Sciences
1625595,2016-01-14,18000,Contract Interagency Agreement,"National Medal of Science, Technology and Innovation 2013-2014 Honorees",White House Staff Mess
1556770,2016-03-15,20000000,Cooperative Agreement,RII Track-1 Lake Champlain Basin Resilience to Extreme Events,University of Vermont & State Agricultural College
1557349,2016-04-29,20000000,Cooperative Agreement,RII Track-1: Ike Wai: Securing Hawaii's Water Future,University of Hawaii System
