id,date,estimatedTotalAmt,transType,title,awardeeName
1505270,2014-11-03,765140,Contract Interagency Agreement,Interagency Agreement to Support NSF Overseas Offices,DEPT OF STATE
1443833,2014-11-21,824392,Continuing Grant,"Enhancing Connections: The National Academy of Science, International Council for Science, Pacific Science Association, and International Visitors Office",National Academy of Sciences
1502853,2014-11-24,40928,Standard Grant,"US-URUGUAY-BRAZIL Collaborative IRES: Ampullariidae Model using Phylogeography, Laboratory Integration with Field Investigations into Ecology and Diversity (AMPLIFIED)",Howard University
1518659,2014-12-05,38715,Standard Grant,Catalyzing New International Collaboration: US-Singapore collaborative initial data gathering activities on mechanics of quantum and semi-classical conductors,Temple University
1444206,2015-01-21,30820,Standard Grant,"U.S.-Nepal Research Planning Visit:  Impacts of Climate on Rural Communities in the Gandaki River Watershed, Nepal",University of New Mexico
1513559,2015-01-21,50171,Interagency Agreement,International Cooperative Administrative Support Services (ICASS) Cost,International Cooperative Administrative Support Services
1444102,2015-01-23,12460,Standard Grant,U.S.-Brazil Planning Visit: Facilitating Collaborative Research on the Southern Brazilian Continental Shelf,Coastal Carolina University
1444195,2015-01-23,10430,Standard Grant,Collaborative Research: U.S.-Brazil Planning visit: Facilitating collaborative research on the Southern Brazilian Continental Shelf,University of Georgia Research Foundation Inc
1444160,2015-02-02,38821,Standard Grant,US-Japan Planning Visit for Complementary Experimental Programs Toward Validated Advanced Damping Systems,"University of Maryland, College Park"
1444192,2015-02-02,26975,Standard Grant,US-Costa Rica Planning Visit: Evolution of Functional Traits in the Melastomataceae,Wilkes University
1444184,2015-02-04,59896,Standard Grant,"US-Pacific Islands Planning Visits: Conceiving biocultural resilience with Pacific island communities: bridging disciplines, language, and culture",American Museum Natural History
1444143,2015-02-06,10899,Standard Grant,Collaborative Research: US-KU-QA-AE Planning Visit - The Impact of American Higher Education in the Gulf Arab States,Syracuse University
1444144,2015-02-06,8650,Standard Grant,Collaborative Research: US-KU-QA-AE Planning Visit - The Impact of American Higher Education in the Gulf Arab States,Lafayette College
1444104,2015-02-27,27582,Standard Grant,US-Korea Planning Visit: On-the-Fly Manufacturing of 3D Shaped Particles,Rensselaer Polytechnic Institute
1444100,2015-03-17,67107,Standard Grant,US-Taiwan Planning Visit: Interrogating Nanodiamond-Cellular Interactions,University of California-Los Angeles
1444166,2015-03-17,30000,Standard Grant,US-Korea Workshop on Security and Privacy for Internet of Things,George Washington University
1444198,2015-03-17,29835,Standard Grant,"US-Canada Planning Visit: Investigating Multiphase, Multiscale Transport Phenomena in PEM Fuel Cells with Synchrotron X-Ray Radiography",Montana State University
1540765,2015-03-18,1230,Contract Interagency Agreement,Interagency agreement to Fund NSF Director International Transportation,DEPARTMENT OF STATE
1460045,2015-04-01,249946,Standard Grant,IRES: US-Germany collaboration to advance research and education in materials for extreme environments,The University of Central Florida Board of Trustees
1443920,2015-04-02,44793,Standard Grant,US-Iceland Workshop: The Neural Basis of Icelandic Language Processing,Michigan State University
1359877,2015-04-09,18357,Standard Grant,"US-Mexico Planning Visit: Collaborative Study of Active Faulting in Baja California, Mexico",University of Texas at Austin
1460058,2015-04-09,249987,Standard Grant,IRES: Undergraduate Research Opportunities in Microbiology and Biogeosciences of Siberian Deep Subsurface Permafrost,University of Tennessee Knoxville
1444220,2015-04-13,48695,Standard Grant,US-Switzerland Planning Visit: Gene Expression and Genetic Manipulation of House Fly Sex Determination,University of Houston
1444147,2015-04-17,14571,Standard Grant,US-Canada Planning Visit On the Hurwitz Spaces and Isomonodromy Deformations,University of Texas at Dallas
1444182,2015-04-17,33608,Standard Grant,CNIC: U.S.-Netherlands Planning Visit for Cooperative Research on Intelligent Methods Under Uncertainty for Renewable Energy Driven Smart Grids,University of Georgia Research Foundation Inc
1444123,2015-04-23,61679,Standard Grant,CNIC: U.S.-Swedish Workshop on Assessment of Multimodal-Multilingual Development in Deaf and Hard-of-Hearing Children,University of Illinois at Urbana-Champaign
1459838,2015-04-27,248419,Standard Grant,International Undergraduate Research Experience: The Development and Application of Novel Micro- and Nano-Sized Sensing Arrays Capable of Detecting Small Molecules,DOANE UNIVERSITY
1460031,2015-04-28,249990,Standard Grant,IRES: Nanomaterials undergraduate Research in Germany (NanoRING),Northwestern University
1443249,2015-05-01,20000,Standard Grant,"U.S.-Romania-Poland Planning for Cooperative Research in Nuclear Astrophysics at the Exteme Light Infrastructure-Nuclear Physics(ELI-NP)Facility in Bucharest, Romania",University of Connecticut
1543796,2015-05-05,881517,Contract Interagency Agreement,Interagency Agreement to Support NSF OISE Overseas Offices,DEPARTMENT OF STATE
1444127,2015-05-12,46480,Standard Grant,Catalyzing new international collaboration. US-Taiwan collaboration of experimental and theoretical study of rovibrational spectra of small hydrogen-containing molecules and ions.,University of Arizona
1515457,2015-05-18,5070,Fellowship Award,EAPSI: Determining the relative location of malicious nodes within Vehicle-to-Vehicle wireless networks for driver safety,Kihei                   Billy
1514659,2015-05-21,5070,Fellowship Award,EAPSI:Assessing Seed Dispersal Limitation as a Cause of Abrupt Treelines in New Zealand,Johnson                 Jeremy         S
1514801,2015-05-21,5070,Fellowship Award,EAPSI:Resolving sources of volcanic and hydrothermal gases from the North Island of New Zealand,House                   Brian          M
1514937,2015-05-21,5070,Fellowship Award,EAPSI:Ultra High Frequency Implantable Antennas for Healthcare Applications,Chrysler                Andrew         M
1515034,2015-05-21,5000,Fellowship Award,EAPSI:Developing a Coral-Based Climate Reconstruction to Better Understand Tropical Pacific Hydroclimate,Lopatka                 Alex
1515064,2015-05-21,5070,Fellowship Award,EAPSI:Assessing and Quantifying Resilience of Commercial Sectors to Natural Hazards,Boston                  Megan
1515116,2015-05-21,5070,Fellowship Award,"EAPSI: A comparison of lake monitoring and modeling approaches - protecting freshwater resources in Lake Tahoe and Lake Taupo, and globally",Roberts                 Derek          C
1515132,2015-05-21,5070,Fellowship Award,EAPSI:Linguistic Analysis of the conceptualization of science by students and instructors in the Korean university context,King                    Seth           L
1515548,2015-05-21,5070,Fellowship Award,EAPSI: Directly Measuring the Surface Reaction Constant of Solid Oxide Fuel Cell Cathodes,Khan                    Anupama        Q
1513669,2015-05-22,5070,Fellowship Award,EAPSI: Incorporation of Nano-Sized Diamonds in Advanced Composite Coatings for Reduction of Friction and Wear,Nieto                   Andy
1515226,2015-05-22,5070,Fellowship Award,EAPSI:Predicting Bed Elevation Change in Rivers Using Computer Simulation,Kim                     HanSang
1515399,2015-05-22,5070,Fellowship Award,EAPSI:Towards Combining Magnetic Switching with Conductivity in Molecular Materials,Hrudka                  Jeremy         J
1514568,2015-05-26,5242,Fellowship Award,EAPSI:Understanding Cloud Security-Architectural Analysis Using Security Patterns,Anand                   Priya
1514665,2015-05-26,5070,Fellowship Award,EAPSI:Understanding the Formation of Local Identities in Relation to Foreign Military Bases,Kajihiro                Kyle
1514778,2015-05-26,5070,Fellowship Award,EAPSI:Transgenerational Impacts of Coral Bleaching on Larval Dispersal and Recruitment Success,Kuba                    Alyson         G
1514779,2015-05-26,70,Fellowship Award,EAPSI:Identifying Gene Networks that Control Root Hair Growth in Arabidopsis Thaliana,Clark                   Natalie        M
1514793,2015-05-26,5070,Fellowship Award,EAPSI: Discovering Novel Functions of Protein Repeats Critical to Gene Expression,Babokhov                Michael
1514891,2015-05-26,5070,Fellowship Award,EAPSI: Benchmarking Carbon Dioxide Emissions from a Carbon-Cycle Simulation Model Against Observations of Atmospheric Carbon Dioxide from Space,Calle                   Leonardo
1514932,2015-05-26,5070,Fellowship Award,EAPSI:Characterizing Cultural Differences in Responses to Personal Insults,LeClair                 Jessica        E
1514956,2015-05-26,5070,Fellowship Award,EAPSI:Characterization of a Plant Cell-Produced Drug for the Treatment of Nerve Agent Exposure,Corbin                  Jasmine        M
1515049,2015-05-26,5070,Fellowship Award,EAPSI:Identification of Essential Protein Machinery of the Plant Disease-Signaling Pathway,Corrion                 Alex
1515058,2015-05-26,5258,Fellowship Award,"EAPSI:Structure and Deformation Rates of the North Canterbury Fold and Thrust Belt, South Island, New Zealand",Oakley                  David          O
1515100,2015-05-26,5070,Fellowship Award,EAPSI:Mechanical Behavior and Microscopic Changes of Arterial Tissues under External Loading,NGUYEN                  TRI            D
1515189,2015-05-26,5070,Fellowship Award,EAPSI:Investigating the Electronic and Magnetic Properties of Composites with Trapped Electrons,Nandadasa               Chandani       N
1515223,2015-05-26,5070,Fellowship Award,EAPSI: Understanding the Contribution of Class I Myosins to Cellular Processes Involving Membrane Deformation,Barger                  Sarah          R
1515305,2015-05-26,5070,Fellowship Award,EAPSI:Investigating the Origin and Evolution of Locomotion in the Microalgae Diatoms,Beals                   Jennifer       M
1515312,2015-05-26,5311,Fellowship Award,EAPSI:Aerodynamics and Stability of Hawk Inspired Ornithopter Utilizing a Multi- Degree of Freedom Wing,Matta                   Alexander
1515344,2015-05-26,5070,Fellowship Award,"EAPSI: Diversity and Evolution of Gyroporus, a Globally Distributed Group of Ectomycorrhizal Fungi",Davoodian               Naveed
