id,date,estimatedTotalAmt,transType,title,awardeeName
1503753,2014-10-27,102619,Standard Grant,Costs and Benefits of Biparental Care in Monogamous Owl Monkeys,Yale University
1504957,2014-10-31,99207,Standard Grant,An Anthropological Exploration of Totalitarianism,William Marsh Rice University
1509435,2014-11-18,4000,Standard Grant,RAPID: Collaborative Research: Harnessing Language to Reduce Anxiety and Enhance Rational Perspectives and Decision-Making in the Face of Ebola Concerns,Michigan State University
1509457,2014-11-18,114500,Standard Grant,RAPID: Collaborative Research: Harnessing Language to Reduce Anxiety and Enhance Rational Perspectives and Decision-Making in the Face of Ebola Concerns,Regents of the University of Michigan - Ann Arbor
1510183,2014-11-18,1500,Standard Grant,RAPID: Collaborative Research: Harnessing Language to Reduce Anxiety and Enhance Rational Perspectives and Decision-Making in the Face of Ebola Concerns,University of Chicago
1450104,2014-11-21,29737,Standard Grant,Doctoral Dissertation Improvement Grant: The Origins Of Social Stratification,Pennsylvania State Univ University Park
1452364,2014-11-21,28604,Standard Grant,Doctoral Dissertation Research Improvement Grant: The Impact Of Colonization On Island Ecology,University of California-Berkeley
1461348,2014-11-21,67829,Continuing Grant,Collaborative Research: Grounding the Behavioral Immune System in Mental and Physiological Processes,Regents of the University of Michigan - Ann Arbor
1505115,2014-11-21,15490,Standard Grant,"Big data analyses reveal social, emotional, and cognitive mechanisms in communication",SUNY at Albany
1516476,2014-11-25,128202,Standard Grant,RAPID: The Psychology of Fear: Cultural Orientation and Response to Ebola Threat,University of California-Santa Barbara
1458535,2014-12-03,24847,Standard Grant,Doctoral Dissertation Research Improvement Grant: Resilience In Adaptation To Social Change,University of Kentucky Research Foundation
1519005,2014-12-05,594113,Standard Grant,Interactive-specialization of language development,University of Texas at Austin
1446732,2014-12-10,299325,Continuing Grant,Strengthening the U.S. Voice in the International Union of Psychological Science (IUPsyS),National Academy of Sciences
1451812,2014-12-10,333396,Standard Grant,A National Longitudinal Study of Community Trauma Exposure,University of California-Irvine
1464039,2014-12-11,136102,Continuing Grant,CAREER: Life history transitions among the Toba in northern Argentina,Yale University
1519050,2014-12-11,51566,Standard Grant,MultiTree: Completing the Library of Language Relationships,Indiana University
1449577,2014-12-15,25200,Standard Grant,Doctoral Dissertation Research Improvement Grant: Accessing Social Geographies in Late Glacial Franco-Cantabria,New York University
1458122,2014-12-15,4763,Standard Grant,Doctoral Dissertation Research: Cultures of Sovereignty and Fiscal Order,Cornell University
1459432,2014-12-15,19997,Standard Grant,"Doctoral Dissertation Research Improvement Grant: ""U.S. Veterans:"" Two Fronts of Veteran Care among the Oglala, Lakota",The New School
1461806,2014-12-15,22235,Standard Grant,Doctoral Dissertation Improvement Grant: Regional Interaction as World-System Incorporation in Classic Period Mesoamerica,Arizona State University
1502792,2014-12-15,28577,Standard Grant,RAPID: Cultural Patterns in Stigma in the Transmission of Disease: Ebola in Two Dallas Neighborhoods,Southern Methodist University
1458136,2014-12-23,20066,Standard Grant,Doctoral Dissertation Research Improvement Grant: Geological Analysis To Determine Environmental Change,Washington University
1459004,2014-12-23,25200,Standard Grant,Doctoral Dissertation Research: Enterprising Value: Cultural Models of Entrepreneurship in Diverse Economic Landscapes,Arizona State University
1460338,2014-12-23,17185,Standard Grant,Doctoral Dissertation Research Improvement Grant: Subsistence Organization In A Traditional Society,SUNY at Albany
