id,date,estimatedTotalAmt,transType,title,awardeeName
1502457,2014-10-16,262000,Contract Interagency Agreement,Occupational Employment Statistics Survey Data Purchase,Department of Labor Bureau of Labor Statistics
1522475,2014-12-30,502941,Contract,Access to a Bibliometrics and Patent Database,ELSEVIER B.V.
1518588,2015-01-07,3948342,Contract Interagency Agreement,2014 Business Research and Development Survey Operations,Bureau of the Census
1521853,2015-04-28,115000,Contract Interagency Agreement,Statistical and Survey Methodology Research to Improve or Redesign Surveys,USDA/National Agricultural Statistics Service
1546582,2015-07-06,311208,Contract Interagency Agreement,FY 2014 and FY 2015 Survey of State Government R&D,Bureau of the Census
1539090,2015-07-31,28222,Standard Grant,Can Network Measures Serve as Indicators of Knowledge Creation and Flow? A Workshop Proposal,"OHIO STATE UNIVERSITY, THE"
1537879,2015-08-21,249811,Standard Grant,Collaboration Cosmopolitanism and Scientific and Technical Human Capital: Implications for Women and Underrepresented Minorities,Arizona State University
1537364,2015-08-25,14999,Standard Grant,DOCTORAL DISSERTATION RESEARCH: Sophisticated Rejection of Scientific Evidence,Carnegie Mellon University
1538763,2015-08-25,149451,Standard Grant,Measuring and Visualizing STEM Pathways,Indiana University
1550768,2015-09-02,4960450,Contract Interagency Agreement,National Survey of College Graduates Research,Bureau of the Census
1557745,2015-09-02,174993,Standard Grant,Collaborative Research: Scaling Insight into Science: Assessing the value and effectiveness of machine assisted classification within a statistical system,New York University
1538721,2015-09-10,67526,Standard Grant,Collaborative Research: Diversifying the STEM Labor Force: Are Women and the Foreign-Born Complementary or Additive?,University of Texas at Austin
1538748,2015-09-10,199673,Standard Grant,Collaborative Research: Diversifying the STEM Labor Force: Are Women and the Foreign-Born Complementary or Additive?,Cornell University
1538769,2015-09-14,209756,Standard Grant,Labor Market Outcomes of STEM Master's Education,Council of Graduate Schools
1538749,2015-09-16,102988,Standard Grant,Forecasting the Return Home of Non-US Citizens with US Ph.D.'s: Trends over time and why Non-US Citizens with US earned doctorates choose to return home,Arizona State University
1600630,2015-11-17,329000,Contract Interagency Agreement,Occupational Employment Statistics Survey,Department of Labor Bureau of Labor Statistics
1600629,2015-11-23,3668875,Contract Interagency Agreement,Business R&D and Innovation Survey Operations and Related Activities-Census Bureau,Bureau of the Census
1641251,2016-05-10,500000,Contract Interagency Agreement,NCSE-1641251-NSF/USDA IAA-statistical and survey methodology research use-base year funding,USDA/National Agricultural Statistics Service
1642304,2016-07-25,402327,Contract Interagency Agreement,FY 2016 Survey of State Government R&D,Bureau of the Census
1627883,2016-08-10,179999,Standard Grant,What's Happened with American Adult Understanding of Science Knowledge and Process: 1979-2014,Florida State University
1647924,2016-08-16,5481155,Contract Interagency Agreement,2016 Micro Business R&D and Innovation Survey,Bureau of the Census
1658617,2016-08-30,7299517,Contract Interagency Agreement,2017 National Survey of College Graduates Interagency Agreement with the U.S. Census Bureau,BUREAU OF THE CENSUS
1700286,2016-11-01,330000,Contract Interagency Agreement,"Occupational Employment Statistics on Science, Engineering, and Technical Personnel",Department of Labor Bureau of Labor Statistics
1701359,2016-11-03,3457030,Contract Interagency Agreement,2016 Business R&D and Innovation Survey Operations and Related Activities,Bureau of the Census
1743982,2017-05-22,71369,Contract Interagency Agreement,NCSE-1743982 Outgoing IAA with Dept. of Education National Center for Education Statistics - License Date Inspections and Security Plan Review,Department of Education National Center for Education Statistics
1727970,2017-05-23,115000,Contract Interagency Agreement,1727970 - USDA Outgoing IAA - Statistical and Survey Methodology Research to Improve or Redesign Surveys,USDA/National Agricultural Statistics Service
1729590,2017-07-28,91976,Standard Grant,Job Relatedness Measures in NCSES Surveys,Urban Institute
1743583,2017-07-31,405713,Contract Interagency Agreement,"NSF/US Census Bureau-IAA for the Operation of the FY 2017 Survey of State Government R&D, From FY 2017 Funds(NSF IAA No. NCSE-1743583; Census Bureau File Ref. No. 2064-2017-004)",Bureau of the Census
1756167,2017-08-17,4480264,Contract Interagency Agreement,2017 National Survey of College Graduates Interagency Agreement with Census Bureau Continuation,Bureau of the Census
1748418,2017-08-30,9891245,Contract Interagency Agreement,"2017-2021 Annual Business Survey Operations and Related Activities under IAA NCSE-1748418 with the Census Bureau (Census Bureau File Reference 2064-2017-039, Project 7554017)",Bureau of the Census
1751723,2017-08-31,299994,Standard Grant,EAGER: Consumer Innovation Survey Development,Stanford University
1801201,2017-10-26,370000,Contract Interagency Agreement,Funding for Interagency Agreement (NCSE 1801201) with BLS to Purchase Data From the Occupational Employment Statistics Survey (BLS-7-006),Department of Labor Bureau of Labor Statistics
1802996,2017-12-08,391574,Contract Interagency Agreement,NSF/US Census Bureau IAA for the Operation of the FY 2018 Survey of State Government R&D; Census Bureau File Reference No. 2064-2018-001,Bureau of the Census
1818993,2017-12-08,4000000,Contract Interagency Agreement,"2017 Business Research and Development Survey Operations and Related Activities; Census Bureau File Reference 2064-2017-005, Project 7497018",Bureau of the Census
1830769,2018-06-12,38730,Contract Interagency Agreement,NCSES License Data Security Inspections and Security Plan Document Review,Department of Education National Center for Education Statistics
1841971,2018-08-20,11999950,Contract Interagency Agreement,2019 National Survey of College Graduates Interagency Agreement with the U.S. Census Bureau,Bureau of the Census
1823479,2018-08-30,248485,Standard Grant,Novel Methods to Explore the Gender Composition of the STEM PhD Workforce: An Analysis using the SDR,Rand Corporation
1822391,2018-09-05,1249813,Standard Grant,Panel Study on Transparency and Reproducibility for NCSES Statistics and a Workshop on the Implications of Convergence for Measuring the S&E Workforce and the S&E Enterprise,National Academy of Sciences
1853488,2018-09-13,7000000,Contract Interagency Agreement,Outgoing IAA: Funding Request for the 2020 National Survey of College Graduates Expansion Study Content and Operations Test Interagency Agreement with the U.S. Census Bureau,Bureau of the Census
1902410,2018-10-19,375000,Contract Interagency Agreement,Outgoing IAA - Funding for IAA (NCSE-1902410) with BLS to Purchase Data from the Occupational Employment Statistics Survey (BLS-9-006),Department of Labor Bureau of Labor Statistics
