id,date,estimatedTotalAmt,transType,title,awardeeName
1502389,2014-10-23,16662,Standard Grant,Collaborative Research: Smart Grid: An Analysis of How Socio-Political Contexts Shape Energy Technology Development and Policy,University of Vermont & State Agricultural College
1460714,2014-10-29,84110,Standard Grant,"RAPID Proposal: Psychological distance, risk perceptions and communication behaviors  during the Ebola outbreak",SUNY at Buffalo
1433943,2014-10-31,11970,Standard Grant,"Doctoral Dissertation Research: Citizenship, Ethnic Identity and Health",Duke University
1434668,2014-10-31,11718,Standard Grant,"Doctoral Dissertation Research: Citizenship, Identity, and Rural-Urban Migration",Brown University
1435946,2014-10-31,11970,Standard Grant,Doctoral Dissertation Research: State Capacity and Labor Migration,New York University
1457784,2014-10-31,107543,Continuing Grant,Atomic Junction: Nuclear Power in an African Suburb,University of Texas at Austin
1465042,2014-11-10,53673,Continuing Grant,"CAREER:   A Legislative Theory of Public Spending, Debt and Taxation",Cornell University
1503802,2014-11-10,25000,Standard Grant,RAPID: Collaborative Research: Tracking and Explaining Americans' response to the Ebola outbreak,Smith College
1504032,2014-11-10,38750,Standard Grant,RAPID: Collaborative Research: Tracking and Explaining Americans' response to the Ebola outbreak,University of California-San Diego
1505353,2014-11-13,134760,Standard Grant,"RAPID: Evaluating Ebola Message Effects over Time: Risk Perceptions, Trust in and Attributions of Responsibility to Institutions, Personal Behavior and Policy Support",Decision Science Research Institute
1462110,2014-11-18,132670,Standard Grant,RAPID: Democratic State Capacity and Organizational Adaptation in Crisis Conditions,West Virginia University Research Corporation
1434965,2014-11-19,11991,Standard Grant,"Doctoral Dissertation Research:  Community Factors, Negotiation Processes and Land Acquisitions",Iowa State University
1436456,2014-11-19,11478,Standard Grant,Doctoral Dissertation Research: Social Media and the Transnational Mobilization of Social Movements,"OHIO STATE UNIVERSITY, THE"
1505184,2014-11-21,160306,Standard Grant,RAPID: Responding to Terror of a Different Kind: A National Study of the Ebola Epidemic,University of California-Irvine
1426642,2014-12-03,651735,Continuing Grant,Some Implications of Scarcity Thinking,Princeton University
1464182,2014-12-11,49656,Standard Grant,"Workshop on Multilevel Theory and Research: The Future of Multilevel Scholarship-May 16-17,2015; Pennsylvania State University",Pennsylvania State Univ University Park
1502325,2014-12-23,49221,Standard Grant,Privacy in the Infosphere: Developing Ethical Guidelines for Managing Big Data in Research,Georgetown University
1503092,2015-01-20,72214,Standard Grant,"Workshop On Methodological Challenges Across the Social, Behavioral, and Economic Sciences; NSF; Arlington, VA - February, 2015",Washington University
1436329,2015-01-21,5099,Standard Grant,"Doctoral Dissertation Research: Social and Economic Consequences of ""Minor"" Contacts with the Criminal Justice System",University of Washington
1462059,2015-01-21,40348,Standard Grant,Collaborative Research: Women in Science and Technology Policy,Georgia Tech Research Corporation
1447670,2015-01-22,899506,Standard Grant,BIGDATA: Multi-level predictive analytics & motif discovery across massive dynamic spatio-temporal networks in complex socio-technical systems: An organizational genetics approach,Temple University
1519411,2015-01-22,90000,Standard Grant,RAPID:   Networked Knowledge and Preparedness for Ebola,Louisiana State University
1457913,2015-01-26,168062,Standard Grant,Estimating an Altruism Adjusted Measure of the Value of a Statistical Life,University of Washington
1459021,2015-01-26,458547,Continuing Grant,The Relation between Decision Making and Valence Asymmetries: A Comparison of Older and Younger Adults,West Virginia University Research Corporation
1459150,2015-01-28,15442,Standard Grant,Doctoral Dissertation Research in DRMS: The coupled impact of conflict and imprecision of multiple forecasts,Fordham University
1505541,2015-01-28,42630,Continuing Grant,Collaborative Research:   Routine Formation in Organizations: Theory and Experimental Evidence,University of California-Irvine
1507241,2015-02-03,462929,Standard Grant,RCN: Coordination of the NSF-Census Research Network,Cornell University
1456984,2015-02-04,220800,Continuing Grant,Constructions of Traditional Medicine during Decolonization and the Global Cold War,Northwestern University
1455679,2015-02-05,152787,Standard Grant,Exploring the Use of British Slave Trade Ships to Gather Biological Specimens and Data,California Polytechnic State University Foundation
1456568,2015-02-05,226355,Standard Grant,Collaborative Research: Testing Models of Representation and Institutional Design in the State Courts' Consideration of Inequality,Washington University
1456580,2015-02-05,49716,Standard Grant,Collaborative Research: Testing Models of Representation and Institutional Design in the State Courts' Consideration of Inequality,Pennsylvania State Univ University Park
1456707,2015-02-05,240000,Standard Grant,An Ethnographic Study of Social Justice Issues in Community Synthetic Biology Labs,San Diego State University Foundation
1459208,2015-02-05,22816,Standard Grant,Doctoral Dissertation Research in DRMS - The Predictive Power of Beliefs:  Testing a Norm-Based Utility Function,Rutgers University New Brunswick
1455838,2015-02-11,101215,Standard Grant,A Study for Improving Animal Welfare by Focusing on Scientific Publications on Research with Laboratory Animals that Include a Discussion of Pain Management Practice,University of California-San Francisco
1455859,2015-02-11,295000,Continuing Grant,"Private Digital Currencies and Closed Payment Communities: Law, Regulation and Financial Exclusion After Bitcoin",University of California-Irvine
1456571,2015-02-11,184963,Continuing Grant,The Role of Diagnostic vs. Non-Diagnostic Facial Features in Eyewitness Identification,University of California-San Diego
1456878,2015-02-11,93070,Standard Grant,An Historical Study of Mendelian Genetics and Virus Disease Resistance Genes,Texas A&M AgriLife Research
1459713,2015-02-11,87524,Standard Grant,Dynamic Weighting of Panel Data,Washington University
1459719,2015-02-11,520000,Continuing Grant,Social and Cultural Influence on the Neurobiology of Adolescent Risk Taking,University of Illinois at Urbana-Champaign
