id,date,estimatedTotalAmt,transType,title,awardeeName
1461039,2014-11-13,353750,Standard Grant,REU Site: The Science of Language & The Language of Science,"OHIO STATE UNIVERSITY, THE"
1461099,2014-11-13,331682,Standard Grant,REU Site: Intensive mentored Research Experiences for Undergraduates in psychology and neuroscience at an urban public college,CUNY Brooklyn College
1506280,2014-11-21,202466,Standard Grant,Functional Anatomy of the Knee and Development-Implications for Interpreting Early Hominin Locomotion,American Museum Natural History
1460626,2014-12-05,360004,Continuing Grant,REU Site: NYU Center for Behavioral Statistics and the Study of Motivated Perception,New York University
1460986,2014-12-05,372998,Standard Grant,REU Site: Investigating the Behaviors of Middle Stone Age Humans in the Horn of Africa,University of Texas at Austin
1461056,2014-12-05,399661,Standard Grant,"REU Site: Building digital tools to support endangered languages and preserve environmental knowledge in Mexico, Micronesia, and Navajo Nation",Swarthmore College
1465279,2014-12-08,43876,Standard Grant,RUI: A Comparative Study of Structural Influences on User-Engaged Ecology Research,Western Washington University
1444875,2014-12-10,47845,Standard Grant,"Building Capacity for 21st Century Social Sciences; Washington, D.C., Spring, 2015",Arizona State University
1462967,2015-01-14,299410,Standard Grant,Contested resource inputs to science: How institutional provisions on the access and use of materials and data affect research collaboration structures and outcomes,Arizona State University
1460820,2015-01-21,358558,Standard Grant,REU Site: The Bronze Age Koros Off-Tell Archaeological (BAKOTA) Field School: Undergraduate Training in Fieldwork and Independent Research Reporting in European Archaeology,Quinnipiac University
1460942,2015-01-28,287551,Continuing Grant,REU Site: Advancing Psychological Research with Technology,Western Kentucky University Research Foundation
1460665,2015-02-10,159123,Standard Grant,REU Site: Ifugao Archaeological Project,University of California-Los Angeles
1461132,2015-02-11,349996,Continuing Grant,REU Site: Social Network Analysis for Solving Minority Health Disparities,University of Nebraska-Lincoln
1460787,2015-03-11,275111,Standard Grant,Long-term Perspectives on Human-River Dynamics at the Confluence of the Illinois and Mississippi Rivers: Interdisciplinary Research for Students in Ecology and Archeology,Center For American Archeology
1461846,2015-03-25,33772,Standard Grant,"Collaborative Research: University Commitment to Interdisciplinary Research: Scope, Causes, and Consequences",University of Georgia Research Foundation Inc
1461989,2015-03-25,270691,Standard Grant,"Collaborative Research:  University Commitment to Interdisciplinary Research: Scope, Causes, and Consequences",University of Arizona
1527370,2015-03-25,49992,Standard Grant,Forecasting Innovation Pathways of  Big Data & Analytics,Georgia Tech Research Corporation
1513501,2015-03-26,217611,Standard Grant,Chagas Disease in the ancient Americas: Investigating past to present human parasitism through the molecular and archaeological record,University of California-Santa Cruz
1460344,2015-04-01,375786,Standard Grant,"Early Career Choice, Funding Variation and Scientific Output",National Bureau of Economic Research Inc
1461935,2015-04-15,402743,Standard Grant,"Immigrant Entrepreneurship, Innovation, and Job Creation",Wellesley College
1513815,2015-04-15,211877,Standard Grant,The Psycholinguistics of Morality,Harvard University
1462008,2015-04-16,451442,Standard Grant,"The Effect of Accelerators on the Regional Entrepreneurial Ecosystem: Financing, Economic Development and Cluster Formation",National Bureau of Economic Research Inc
1514510,2015-04-16,209949,Standard Grant,Reducing Neural and Immune Threat Reactivity During Intergroup Mentoring in STEM,University of California-Berkeley
1462044,2015-04-27,238642,Standard Grant,Creating Impact from Governmental Open Data (OD): Innovation Process Transparency in OD Contest Design,Purdue University
1513395,2015-04-27,253317,Continuing Grant,Constructing Empirical Public Decision-Making: The Application of Situated Data to Development in Consolidated Informal Settlements,University of Texas at Austin
1513801,2015-04-27,226273,Continuing Grant,Modeling Synergistic Coordination in Multi-Agen Human and Human-Machine Systems,University of Cincinnati Main Campus
1513834,2015-04-27,144000,Standard Grant,Discovering Words in Speech,University of Wisconsin-Madison
