id,date,estimatedTotalAmt,transType,title,awardeeName
1939612,2019-09-05,90235,Standard Grant,NSF Convergence Accelerator: Industry-University Partnerships and the Future of Work,University Industry Demonstration Partnership
1939877,2019-09-05,99463,Standard Grant,Convergence Accelerator Phase I: Accelerating the Bioeconomy: Transformation of Engineering Biology through Public Biofoundries,University of California-Berkeley
1946329,2019-09-05,49999,Standard Grant,Convergence Accelerator Phase I:  Workshop: Scalable Quantum Computing Laboratory,"University of Maryland, College Park"
1946564,2019-09-05,85200,Standard Grant,Convergence Accelerator Phase I:  Project Scoping Workshop (PSW) on Quantum Interconnects (QuIC),Harvard University
1947215,2019-09-05,300000,Standard Grant,Convergence Accelerator Phase I: EAGER: Designing Curriculum for Convergence Accelerator Pilot and Workshops,IDEO LP
1936677,2019-09-10,999547,Standard Grant,"Convergence Accelerator Phase I (RAISE): Spatially-Explicit Models, Methods, and Services for Open Knowledge Networks",University of California-Santa Barbara
1936731,2019-09-10,994710,Standard Grant,Convergence Accelerator Phase I (RAISE): Linking the Open Knowledge Network to the Web with End-User Programming,University of Washington
1936857,2019-09-10,403086,Standard Grant,Convergence Accelerator Phase I (RAISE): AI-Based Decision Support for Linking Workers with Future Jobs and for Planning Work Transition and Career Pathway,Michigan State University
1936884,2019-09-10,948182,Standard Grant,Convergence Accelerator Phase I(RAISE): Network for Equity in the Era of Driverless Vehicles,Regents of the University of Michigan - Ann Arbor
1936915,2019-09-10,838722,Standard Grant,"RAISE: C-Accel Pilot-Track B1:DIRECT: A Framework for Diagnosis, Recommendation, and Training in Continuous Workforce Development",University of Massachusetts Amherst
1936940,2019-09-10,1000000,Standard Grant,Convergence Accelerator Phase I (RAISE): Simultaneous Knowledge Network Programming and Extraction,Regents of the University of Michigan - Ann Arbor
1936947,2019-09-10,417026,Standard Grant,Convergence Accelerator Phase I (RAISE): A Universal Framework of Micro-Credentials for Nation-Wide Employment,SUNY at Buffalo
1936950,2019-09-10,987955,Standard Grant,Convergence Accelerator Phase I (RAISE): Convergence Research to Meet Ocean Decision Challenges,Gulf of Maine Research Institute
1936956,2019-09-10,735320,Standard Grant,Convergence Accelerator Phase I (RAISE): Unpacking the Technology Career Path,University of Virginia Main Campus
1936968,2019-09-10,999992,Standard Grant,"Convergence Accelerator Phase I (RAISE): Toward Fair, Ethical, Efficient, and Trustworthy Crowdsourcing Platforms to Support Crowdworkers in Jobs of the Future",Colorado School of Mines
1936970,2019-09-10,1000000,Standard Grant,Convergence Accelerator Phase I(RAISE): Empowering Neurodiverse Populations for Employment through Inclusion AI and Innovation Science,Vanderbilt University
1936992,2019-09-10,905904,Standard Grant,Convergence Accelerator Phase I (RAISE): AI-Enabled Personalized Training for Displaced Workers in Materials Supply Chain,Colorado School of Mines
1937010,2019-09-10,999938,Standard Grant,"Convergence Accelerator Phase I(RAISE): Smart Platform of Personalized Learning, Assessment and Prediction for Future Career Training of Skilled Workers",University of North Carolina at Charlotte
1937017,2019-09-10,994433,Standard Grant,Convergence Accelerator Phase I (RAISE): MPrint-OKN,Virginia Commonwealth University
1937019,2019-09-10,973333,Standard Grant,"Convergence Accelerator Phase I (RAISE): Preparing the Future Workforce of Architecture, Engineering, and Construction for Robotic Automation Processes",Florida International University
1937033,2019-09-10,1000000,Standard Grant,Convergence Accelerator Phase I (RAISE): Building the Federalism Data and Advanced Statistics Hub (FDASH),University of North Carolina at Charlotte
1937036,2019-09-10,1000000,Standard Grant,"Convergence Accelerator Phase I (RAISE): Skill-LeARn: Affordable Augmented Reality Platform for Scaling Up Manufacturing Workforce, Skilling, a",Purdue University
1937037,2019-09-10,985485,Standard Grant,Convergence Accelerator Phase I (RAISE): Developing Intelligent Tech. for Workforce Empowerment: Credential Gap Diagnostics and Personalized Recommenders for Jobs and Retraining,North Carolina State University
1937043,2019-09-10,900000,Standard Grant,Convergence Accelerator Phase I (RAISE): Product Design and Manufacturing Graph-As-A-Service,North Carolina State University
1937053,2019-09-10,999327,Standard Grant,Convergence Accelerator Phase I (RAISE): Learning Environments with Advanced Robotics for Next-Generation Emergency Responders (LEARNER),Virginia Polytechnic Institute and State University
1937061,2019-09-10,996170,Standard Grant,Convergence Accelerator Phase I (RAISE): Unlocking the Power of Data and Science to Empower American Workers,National Bureau of Economic Research Inc
1937063,2019-09-10,999998,Standard Grant,Convergence Accelerator Phase I(RAISE): Rapid Dissemination of AI Microcredentials through Hands-On Industrial Robotics Education (RD-AIM-HIRE),Carnegie Mellon University
1937095,2019-09-10,962177,Standard Grant,Convergence Accelerator Phase I (RAISE): Network Science of Census Data,Tufts University
1937099,2019-09-10,1000000,Standard Grant,Convergence Accelerator Phase I (RAISE): The Urban Flooding Open Knowledge Network,University of Cincinnati Main Campus
1937115,2019-09-10,999999,Standard Grant,Convergence Accelerator Phase I (RAISE): Civil Infrastructure Systems Open Knowledge Network (CIS-OKN),University of Illinois at Urbana-Champaign
1937123,2019-09-10,1000000,Standard Grant,Convergence Accelerator Phase I (RAISE): Northwestern Open Access to Court Records Initiative,Northwestern University
1937134,2019-09-10,1000000,Standard Grant,Convergence Accelerator Phase I (RAISE): Scalable Knowledge Network to Enable Intelligent Textbooks,William Marsh Rice University
1937136,2019-09-10,999898,Standard Grant,Convergence Accelerator Phase I (RAISE): Knowledge Open Network Queries for Research (KONQUER),University of California-San Diego
1937137,2019-09-10,974140,Standard Grant,Convergence Accelerator Phase I (RAISE): Open Knowledge Network for the Global Energy Data Commons,Duke University
1937143,2019-09-10,999870,Standard Grant,Convergence Accelerator Phase I (RAISE): Credible Open Knowledge Network,University of Texas at Arlington
1937152,2019-09-10,892316,Standard Grant,Convergence Accelerator Phase I (RAISE): Convergence Hub for the Exploration of Space Science (CHESS),"ATMOSPHERIC & SPACE TECHNOLOGY RESEARCH ASSOCIATES, L.L.C."
1937153,2019-09-10,999117,Standard Grant,Convergence Accelerator Phase I (RAISE): Leveraging Financial and Economic Data - Business OKN,University of Southern California
1937160,2019-09-10,979204,Standard Grant,Convergence Accelerator Phase I (RAISE): A Multi-Scale Open Knowledge Network for Precision Medicine,University of California-San Francisco
1937165,2019-09-10,1000000,Standard Grant,"Convergence Accelerator Phase I (RAISE): Knowledge of Internet Structure: Measurement, Epistemology, and Technology (KISMET)",University of California-San Diego
1937833,2019-09-10,977566,Standard Grant,Convergence Accelerator Phase I (RAISE): Prepare the US labor Force for Future Jobs in the Hotel and Restaurant Industry: A hybrid Framework and Multi-Stakeholder Approach,The University of Central Florida Board of Trustees
1937888,2019-09-10,544504,Standard Grant,Convergence Accelerator Phase 1 (RAISE): Fostering a Diverse Artificial Intelligence (AI) Workforce,Columbia University
1937908,2019-09-10,999739,Standard Grant,Convergence Accelerator Phase I (RAISE): Open Knowledge Network for Spatial Decision Support,Portland State University
1937068,2019-09-11,499753,Standard Grant,Convergence Accelerator Phase I (RAISE): Competency Catalyst,Georgia Tech Research Corporation
1936997,2019-09-13,998588,Standard Grant,Convergence Accelerator Phase I (RAISE): Safe Skill-Aligned On-The-Job Training with Autonomous Systems,Arizona State University
1936656,2019-09-17,995000,Standard Grant,Convergence Accelerator Phase I (RAISE): Analytics-Driven Accessible Pathways To Impacts-Validated Education (ADAPTIVE),Indiana University
1936894,2019-09-17,1000000,Standard Grant,Convergence Accelerator Phase I(RAISE): Empowering a Digital Technology Workforce through Alignment and Coordination of Upskilling and Reskilling Opportunities,Business-Higher Education Forum
1939511,2019-09-17,80610,Standard Grant,NSF Convergence Accelerator: Landscape Carbon Sequestration for Atmospheric Recovery (LCSAR),University of Oregon Eugene
1945947,2019-09-17,74743,Standard Grant,Convergence Accelerator Phase I: Workshop: Architectures and Opportunities in Programmable Quantum Simulators,Colorado School of Mines
1937118,2019-09-18,404751,Standard Grant,Convergence Accelerator Phase I (RAISE): Connecting Indiana's Learn-And-Work Ecosystem,"CREDENTIAL ENGINE, INC."
1937026,2019-09-19,343252,Standard Grant,Convergence Accelerator Phase I (RAISE): Upskilling for Future Jobs through NLx Talent Demand Data,CENTER FOR EMPLOYMENT SECURITY EDUCATION AND RESEARCH
1954196,2019-12-19,95154,Standard Grant,"A Toolbox ""Train the Trainer"" Workshop for the C-Accel Program",Michigan State University
1956285,2020-01-29,99540,Standard Grant,"NSF Convergence Accelerator: Symposium on Big Data and AI-Driven Disaster Management for Planning, Response, Recovery, and Resiliency",University of South Carolina at Columbia
1939288,2020-01-30,37847,Standard Grant,NSF Convergence Accelerator: The Future of Privacy Technology-Inaugural Conference of the Privacy Tech Alliance,FPF Education and Innovation Foundation
1939471,2020-01-31,99999,Standard Grant,NSF Convergence Accelerator: NERIED Fall Meeting,"Associated Universities, Inc."
2029556,2020-04-28,164811,Standard Grant,RAPID: Rich and Accurate Auxiliary Databases for Supporting Virus Data Efforts,Regents of the University of Michigan - Ann Arbor
2029557,2020-04-28,159300,Standard Grant,RAPID: A Platform for Mitigating the Impacts of COVID-19 on the Healthcare System,Florida International University
2029919,2020-04-28,155000,Standard Grant,RAPID: Enhancing US manufacturing of small molecule active pharmaceutical ingredients (APIs) using Authoritative Systems Knowledge (ASK) - (ASK4APIs),Virginia Commonwealth University
2029457,2020-05-01,69998,Standard Grant,RAPID: Collecting Reliable COVID-19 Datasets in Crisis Conditions,University of Washington
2028310,2020-05-05,90658,Standard Grant,RAPID: COVIDGeoGraph – A Geographically Integrated Cross-Domain Knowledge Graph for Studying Regional Disruptions,University of California-Santa Barbara
2028411,2020-05-05,200000,Standard Grant,"RAPID: COVID-19-Net: Integrating Health, Pathogen and Environmental Data into a Knowledge Graph for Case Tracking, Analysis, and Forecasting",University of California-San Diego
2028999,2020-05-05,200000,Standard Grant,RAPID: COVID Information Commons (CIC),Columbia University
2029518,2020-05-18,159955,Standard Grant,RAPID: Improving Transportation Equity to Enhance Food Security for Families Vulnerable to COVID-19,Regents of the University of Michigan - Ann Arbor
2029788,2020-05-18,133934,Standard Grant,RAPID: Campus Coronavirus Response,Tufts University
2032040,2020-05-18,86177,Standard Grant,RAPID: Supply Chain Portal to Serve Entrepreneurs Producing Critical Items in Response to COVID-19,"University of Maryland, College Park"
2029590,2020-05-19,199114,Standard Grant,RAPID: Bridging the Health Care Skill Gap,Eduworks Corporation
2029584,2020-05-21,54250,Standard Grant,RAPID: Increasing Healthcare Credential Open Data in Response to COVID-19,"CREDENTIAL ENGINE, INC."
2029746,2020-05-21,148589,Standard Grant,RAPID: Developing a Benefits Distribution System to Facilitate Economic Recovery from the Impact of COVID-19,National Bureau of Economic Research Inc
2035143,2020-08-12,99506,Standard Grant,"NSF Convergence Accelerator: Future of Oceans: Innovation, Exploration, and Utilization",Massachusetts Institute of Technology
2035321,2020-08-12,99855,Standard Grant,"Transdisciplinary Convergence to Accelerate Strategies to Mitigate Institutional Racism in Criminal Justice, Education, and Health Systems",QEM Network HQ
2033521,2020-08-14,4998896,Cooperative Agreement,A1: KnowWhereGraph: Enriching and Linking Cross-Domain Knowledge Graphs using Spatially-Explicit AI Technologies,University of California-Santa Barbara
2033569,2020-08-14,4999998,Cooperative Agreement,A1: A Multi-Scale Open Knowledge Network for Biomedicine,University of California-San Francisco
2033607,2020-08-17,4999998,Cooperative Agreement,"A1: The Urban Flooding Open Knowledge Network (UF-OKN): Delivering Flood Information to AnyOne, AnyTime, AnyWhere",University of Cincinnati Main Campus
2033413,2020-08-20,5000000,Cooperative Agreement,B1: Inclusion AI for Neurodiverse Employment,Vanderbilt University
2033592,2020-08-20,4998274,Cooperative Agreement,B2: Learning Environments with Augmentation and Robotics for Next-gen Emergency Responders (LEARNER),Texas A&M Engineering Experiment Station
2033615,2020-08-20,5000000,Cooperative Agreement,B1 (Future Jobs and AI): Skill-XR: An Affordable and Scalable X-Reality (XR) Platform for Skills Training and Analytics in Manufacturing Workforce Education,Purdue University
2033604,2020-08-22,4999771,Cooperative Agreement,"A1: Systematic Content Analysis of Litigation Events (SCALES) Open Knowledge Network to Enable 
Transparency and Access to Court Records",Northwestern University
2040542,2020-08-22,1000000,Standard Grant,"NSF Convergence Accelerator - Track D: Hidden Water and Hydrologic Extremes: A Groundwater Data Platform for Machine Learning and 
Water Management",University of Arizona
2040581,2020-08-22,709707,Standard Grant,"NSF Convergence Accelerator- Track C: QuSTEAM: Convergent Undergraduate Education in Quantum Science, Technology, Engineering, Arts, and Mathematics","OHIO STATE UNIVERSITY, THE"
2040599,2020-08-22,1000000,Standard Grant,NSF Convergence Accelerator-Track D: AI-Enabled Provably Resilient Networked Microgrids,SUNY at Stony Brook
2033558,2020-08-28,4994542,Cooperative Agreement,A1: Knowledge Network Development Infrastructure with Application to COVID-19 Science and Economics,Regents of the University of Michigan - Ann Arbor
2033578,2020-08-28,4999964,Cooperative Agreement,B1: Competency Catalyst Phase II,Eduworks Corporation
