id,date,estimatedTotalAmt,transType,title,awardeeName
2318858,2023-04-25,88869,Standard Grant,Conference: NSF Industry Partnership Summit: A Workshop Proposal,University Industry Demonstration Partnership
2329784,2023-07-18,10000000,Continuing Grant,U.S.-Japan University Partnership for Workforce Advancement and Research & Development in Semiconductors (UPWARDS) for the Future,University of Washington
2335891,2023-08-28,99715,Standard Grant,Conference: Workshop to Build a Vision and Strategy for Creating a National Network of Academic Cloud and Self-Driving Labs,Carnegie Mellon University
2332571,2023-09-14,1594629,Cooperative Agreement,Collaborative Research: Industries of Ideas: A prototype system for measuring the effects of research investments on regional firms and jobs,Regents of the University of Michigan - Ann Arbor
2332572,2023-09-14,1663202,Cooperative Agreement,Collaborative Research: Industries of Ideas: A prototype system for measuring the effects of research investments on regional firms and jobs,"OHIO STATE UNIVERSITY, THE"
2332573,2023-09-14,1235110,Cooperative Agreement,Collaborative Research: Industries of Ideas: A prototype system for measuring the effects of research investments on regional firms and jobs,Social Science Research Council
2345797,2023-12-14,1303507,Standard Grant,"Project Office: Innovation, Culture, and Creativity",University of California-Los Angeles
2345664,2024-07-08,295520,Standard Grant,EAGER: AtlasJobs Ohio Pilot Program,"POD NETWORK, LLC"
2435452,2024-08-20,99776,Standard Grant,Conference: AI Aspirations,Johns Hopkins University
2447742,2024-09-23,322000,Standard Grant,Philanthropic Partnership Summit,Federation of American Scientists
2518186,2025-06-17,10024230,Cooperative Agreement,"Expanding the Industries of Ideas: Understanding the link between research investments, jobs, and skills",Regents of the University of Michigan - Ann Arbor
2537092,2025-08-21,499983,Standard Grant,Research Coordination Network on Assessing and Predicting Jobs Outcomes in AI (RCN APJO-AI),Howard University
2537485,2025-08-26,500000,Standard Grant,Prototyping a new Knowledge Resource for modern AI (Proto-KAI),Wright State University
2534232,2025-09-03,1326261,Standard Grant,Planning Grant: Advanced Cybersecurity for Power Distribution Infrastructure,University of Tennessee Chattanooga
2537470,2025-09-05,7000000,Cooperative Agreement,Economic Measurement Research Institute,National Bureau of Economic Research Inc
2535520,2025-09-09,3921993,Cooperative Agreement,US Ignite - Innovation Ecosystem Programs Technical Assistance and Support,"US Ignite, Inc."
2546645,2026-03-27,393066,Standard Grant,Developing a Rigorous Methodology to Enhance State-Level Technology Innovation and Workforce Development,"RENAISSANCE TEAMS, LLC"
2538883,2026-06-30,2164348,Standard Grant,SAFE-AI: Sandbox for Accelerated Feedback and Experimentation for AI Innovation,University of Utah
