id,date,estimatedTotalAmt,transType,title,awardeeName
1430609,2014-10-21,750000,Standard Grant,SBIR Phase II:  Sketch-based interaction for designing for laser cutters,Blank Slate Systems
1462613,2014-10-28,50000,Standard Grant,I-Corps:  Development of a bioengineered organic matrix for enhanced bone regeneration,Rensselaer Polytechnic Institute
1462640,2014-10-28,50000,Standard Grant,I-Corps:  Integrating Patient Facial Photographs with Medical Imaging Studies,Georgia Tech Research Corporation
1462849,2014-10-28,50000,Standard Grant,I-Corps:  Commercialization of Portable Sensor for Crop Disease Detection,University of Georgia Research Foundation Inc
1464101,2014-10-28,50000,Standard Grant,"I-Corps:  Ultrastrong, thermally stable aramid nanofibers (ANFs) membranes",Regents of the University of Michigan - Ann Arbor
1464153,2014-10-28,50000,Standard Grant,I-Corps:  Commercialization Feasibility of a Novel Electronic Tongue,University of Massachusetts Lowell
1464535,2014-10-28,50000,Standard Grant,I-Corps: A Closed Loop Process for Recycling Spent Lithium Ion Battery,Worcester Polytechnic Institute
1431020,2014-11-05,750000,Standard Grant,SBIR Phase II:  High-throughput Small RNA Sequencing,Bioo Scientific Corporation
1429972,2014-11-10,742778,Standard Grant,SBIR Phase II:  Controlled Drug Release from and Degradation of Hydrogels,ProLynx LLC
1430813,2014-11-10,608687,Standard Grant,SBIR Phase II:  Ultra Rapid Genome Engineering in Industrial Yeast Strains,"Enevolv, Inc."
1430894,2014-11-10,741634,Standard Grant,SBIR Phase II: A platform technology that significantly improves drug delivery,Extend Biosciences Inc.
1431004,2014-11-10,750000,Standard Grant,SBIR Phase II:  Development of an Innovative Total Knee Replacement Device Leveraging Truss Implant Technology,4-Web Spine Inc.
1431026,2014-11-10,696880,Standard Grant,SBIR Phase II:  Optimized Medication Administration Device for Palliative Care,Hospi Corporation
1464557,2014-11-10,50000,Standard Grant,I-Corps:  Fiber-Reinforced Elasto-Fluidic Systems,Regents of the University of Michigan - Ann Arbor
1503881,2014-11-10,50000,Standard Grant,I-Corps:  Large-Area 'eta6-Functionalized' Graphene Sheets with Preserved Lattice for Semiconductor Applications and Industry,University of Illinois at Chicago
1504652,2014-11-10,50000,Standard Grant,"I-Corps:  Technology Transfer for Commercialization of Industrial, Electronic and Medical Device Products Based on a Patented Ultrananocrystalline Diamond Coating",University of Texas at Dallas
1506335,2014-11-10,50000,Standard Grant,I-Corps:  A New Multi-DOF Reduced-Gravity Simulation Technology for Aerospace and Healthcare Applications,New Mexico State University
1506772,2014-11-10,50000,Standard Grant,I-Corps:  Commercialization of Microgrid Controllers,University of Denver
1506913,2014-11-10,50000,Standard Grant,I-Corps:  Universal Biaxial Compressive Strain Measurement System,University of Texas at Austin
1462365,2014-11-17,50000,Standard Grant,I-Corps:  Mistos-Enabling Write-once Run-everywhere High Performance Software,Regents of the University of Michigan - Ann Arbor
1462565,2014-11-17,50000,Standard Grant,I-Corps:  Remote Virtual Physical Examination,University of Akron
1463098,2014-11-17,50000,Standard Grant,I-Corps:  CELLDIPS-Cell Discovery Platforms for commercial and educational applications,Louisiana Tech University
1463918,2014-11-17,50000,Standard Grant,"I-Corps:  Blocking-, Censorship-, Surveillance-, and Disaster-Resistant Communication for Normal Smartphone Users",Regents of the University of Michigan - Ann Arbor
1464476,2014-11-17,50000,Standard Grant,I-Corps:  Practical and Provably Secure Random Number Generator,Regents of the University of Michigan - Ann Arbor
1464493,2014-11-17,50000,Standard Grant,I-Corps:  Models of Commercialization for Transportation Technology and Data Sources,University of Massachusetts Amherst
1464994,2014-11-17,50000,Standard Grant,"I-Corps:  Novel Vortex Raman Spectrometers for Materials, Clean Energy and Biological Applications",CUNY City College
1505962,2014-11-17,50000,Standard Grant,I-Corps:  The Domestic Violence Treatment Knowledge Bank,New York University
1506361,2014-11-17,50000,Standard Grant,I-Corps:  iLooc-Commercialization Feasibility Research and Implementation of Indoor Smartphone Localization via Indoor Positioning Satellites and Opportunistic Sensing,University of Florida
1506791,2014-11-17,50000,Standard Grant,I-Corps:  Soft Analytic Imaging,Regents of the University of Michigan - Ann Arbor
1507500,2014-11-17,50000,Standard Grant,I-Corps:  Commercialization of a Decontamination Process for Powders for Transparent Ceramics,Lehigh University
1507905,2014-11-17,50000,Standard Grant,I-Corps:  Plasma enhanced electrochemical capacitors,University of California-San Diego
1508276,2014-11-17,50000,Standard Grant,I-Corps:  Mobile Autonomous Remotely Controlled Observation Node (MARCON) Kit,University of South Florida
1513103,2014-11-17,50000,Standard Grant,I-Corps:  Wireless Invention Kits and Media Engagement Platform,New York University
1513589,2014-11-17,50000,Standard Grant,I-Corps:  Building Information Model (BIM)-Driven Real-Time Mobile Asset Tracking System for Construction Safety,Georgia Tech Research Corporation
1430536,2014-11-19,704733,Standard Grant,SBIR Phase II:  Enhanced Dexterity Minimally Invasive Surgical Platform,"FlexDex, Inc"
1430719,2014-11-25,749067,Standard Grant,SBIR Phase II:  A novel and cost effective mechanical ventilator for pandemic preparedness and emergency stockpiling,"OneBreath, Inc."
1430921,2014-11-25,749926,Standard Grant,SBIR Phase II:  Biodegradable Polymer Film for Sustained Delivery of Antibiotics to the Surface of the Eye,Jade Therapeutics
1431003,2014-11-25,746849,Standard Grant,SBIR Phase II:  Real-Time Biosensor for Measuring Hazardous Chemical Contaminants in Ground Water,OptiEnz Sensors
1447738,2014-11-25,150000,Standard Grant,SBIR Phase I:Feasibility of Adjustable Eye Pressure Control within an External Shunt,"Camras Vision, Inc."
1448204,2014-11-25,150000,Standard Grant,SBIR Phase I:  Implementing a low-cost seismic network using mobile phones and MEMS accelerometers,"Zizmos, Inc."
1507451,2014-11-25,50000,Standard Grant,I-Corps:  Growshare.net - An Urban Revitalization Civic Service,Temple University
1430878,2014-11-26,568652,Standard Grant,SBIR Phase II:  New Fluorescent Biosensors for Drug Discovery in Living Cells,Montana Molecular LLC
1430932,2014-11-26,658519,Standard Grant,SBIR Phase II:  Development and Commercialization of Nitrate-Selective Sensors for Precision Agriculture,"SupraSensor Technologies, LLC"
1430982,2014-11-26,748389,Standard Grant,SBIR Phase II:   Contactless and portable heart-rate device based on magnetic sensing technology,Picosense Inc.
1431033,2014-11-26,748007,Standard Grant,"SBIR Phase II:  A Cell Analysis Platform for Low-cost, Rapid Diagnosis of Sepsis Using Microfluidic Technologies","CytoVale, Inc"
1430703,2014-12-01,609394,Standard Grant,SBIR Phase II:  Low power hardware-software subsystem for intelligent sensory stream analysis,Thalchemy Corp
1430956,2014-12-01,659188,Standard Grant,SBIR Phase II:  A microscopic electronic chip with sensors that can be implanted into living cells to monitor events in real time,"PharmaSeq, Inc."
1448319,2014-12-01,150000,Standard Grant,SBIR Phase I:  Single molecule detection of biomarkers using gold nanorods for in-vitro diagnostics,"NexGen Arrays, LLC"
1448327,2014-12-01,149077,Standard Grant,SBIR Phase I:  Polyaniline Epoxy Primer with Related Topcoat: the Anticorrosion Coating System of a Barrier to Cations with a Barrier to Anions,AnCatt Co.
1448429,2014-12-01,149965,Standard Grant,SBIR Phase I:  Continuous Manufacturing of Nanoparticle DrugS Using Focused Acoustics,Covaris Incorporated
1446257,2014-12-02,149170,Standard Grant,SBIR Phase I:  Wireless sensors for obesity and associated chronic diseases,TF Health Co.
1447207,2014-12-02,149993,Standard Grant,SBIR Phase I:  Production of capsaicinoids from microorganisms.,Koliber Biosciences Inc.
1447402,2014-12-02,150000,Standard Grant,SBIR Phase I:  Simple and Effective Fouling Release Coatings To Make Industrial Heat Exchangers More Energy Efficient,"Nano Hydrophobics, Inc."
