Largest award-attributed gross flows

The five largest positive and negative linked File C entries for FY2026 are shown first, before same-award entries are netted within a reporting period. A negative entry may be a de-obligation or another downward adjustment; sign alone does not establish cancellation.

FY / period	Award	Recipient	Direction	Amount
FY2026 · FY2026P08	THE OVERALL GOAL OF THE COOPERATIVE AGRICULTURAL RESEARCH CENTER (CARC) IS TO CONDUCT AGRICULTURAL RESEARCH PROJECTS THAT WILL HELP SOLVE E…	PRAIRIE VIEW A&M UNIVERSITY	Positive entry	$4.3M
FY2026 · FY2026P08	THE PURPOSE OF THESE FUNDS IS TO CONDUCT RESEARCH IN ALL ASPECTS OF AGRICULTURE, INCLUDING PLANT AND ANIMAL HEALTH, PRODUCTION AND PROTECT…	TEXAS A&M AGRILIFE RESEARCH	Positive entry	$3.6M
FY2026 · FY2026P08	THROUGH INTEGRATED RESEARCH AND EXTENSION PROGRAMS, NC STATE IS SOLVING CHALLENGES RELATED TO THE PRODUCTIVITY AND PROFITABILITY OF BOTH LA…	NORTH CAROLINA STATE UNIVERSITY	Positive entry	$3.2M
FY2026 · FY2026P08	THE OHIO STATE UNIVERSITY APPROVED PLAN OF WORK (POW) ENCOMPASSES A FIVE-YEAR PERIOD AND REPRESENTS A JOINT EFFORT BY THE TWO CRITICAL COMP…	OHIO AGRICULTURAL RESEARCH & DEVELOPMENT	Positive entry	$3.2M
FY2026 · FY2026P08	COLLEGE OF AGRICULTURE AND ENVIRONMENTAL SCIENCES (CAES) AT NCA<(>&<)>T ENCOURAGES INNOVATIVE AND INTERDISCIPLINARY RESEARCH NECESSARY TO A…	NORTH CAROLINA AGRICULTURAL AND TECHNICAL STATE UNIVERSITY	Positive entry	$3.0M
FY2026 · FY2026P09	** AWARDS ISSUED PRIOR TO JANUARY 20, 2025, WERE FUNDED UNDER PREVIOUS ADMINISTRATIONS AND MAY NOT REFLECT THE PRIORITIES AND POLICIES OF T…	UTAH STATE UNIVERSITY	Negative entry	−$1.5M
FY2026 · FY2026P09	LANGSTON UNIVERSITY LAND-GRANT PROGRAMS ARE DEDICATED TO SERVING ALL CITIZENS OF OKLAHOMA. HOWEVER, PROGRAMS AND METHODS OF DELIVERY ARE DE…	LANGSTON UNIVERSITY	Negative entry	−$931K
FY2026 · FY2026P09	** AWARDS ISSUED PRIOR TO JANUARY 20, 2025, WERE FUNDED UNDER PREVIOUS ADMINISTRATIONS AND MAY NOT REFLECT THE PRIORITIES AND POLICIES OF T…	NORTH CAROLINA STATE UNIVERSITY	Negative entry	−$721K
FY2026 · FY2026P06	** AWARDS ISSUED PRIOR TO JANUARY 20, 2025, WERE FUNDED UNDER PREVIOUS ADMINISTRATIONS AND MAY NOT REFLECT THE PRIORITIES AND POLICIES OF T…	NORTH DAKOTA STATE UNIVERSITY	Negative entry	−$676K
FY2026 · FY2026P06	** AWARDS ISSUED PRIOR TO JANUARY 20, 2025, WERE FUNDED UNDER PREVIOUS ADMINISTRATIONS AND MAY NOT REFLECT THE PRIORITIES AND POLICIES OF T…	VIRGINIA POLYTECHNIC INSTITUTE & STATE UNIVERSITY	Negative entry	−$644K
Show 110 more flow rows (FY2024–FY2026)
